id_short	id_full	id_full_underscore	id_abbr	genus	species	subspecies
GV01	Gardnerella vaginalis 00703Bmash	Gardnerella_vaginalis_00703Bmash	G. vaginalis 00703Bmash	Gardnerella	vaginalis	NA
GV02	Gardnerella vaginalis 00703C2mash	Gardnerella_vaginalis_00703C2mash	G. vaginalis 00703C2mash	Gardnerella	vaginalis	NA
GV03	Gardnerella vaginalis 00703Dmash	Gardnerella_vaginalis_00703Dmash	G. vaginalis 00703Dmash	Gardnerella	vaginalis	NA
GV04	Gardnerella vaginalis 0288E	Gardnerella_vaginalis_0288E	G. vaginalis 0288E	Gardnerella	vaginalis	NA
GV05	Gardnerella vaginalis 101	Gardnerella_vaginalis_101	G. vaginalis 101	Gardnerella	vaginalis	NA
GV06	Gardnerella vaginalis 1400E	Gardnerella_vaginalis_1400E	G. vaginalis 1400E	Gardnerella	vaginalis	NA
GV07	Gardnerella vaginalis 1500E	Gardnerella_vaginalis_1500E	G. vaginalis 1500E	Gardnerella	vaginalis	NA
GV08	Gardnerella vaginalis 284V	Gardnerella_vaginalis_284V	G. vaginalis 284V	Gardnerella	vaginalis	NA
GV09	Gardnerella vaginalis 315-A	Gardnerella_vaginalis_315-A	G. vaginalis 315-A	Gardnerella	vaginalis	NA
GV10	Gardnerella vaginalis 409-05	Gardnerella_vaginalis_409-05	G. vaginalis 409-05	Gardnerella	vaginalis	NA
GV11	Gardnerella vaginalis 41V	Gardnerella_vaginalis_41V	G. vaginalis 41V	Gardnerella	vaginalis	NA
GV12	Gardnerella vaginalis 5-1	Gardnerella_vaginalis_5-1	G. vaginalis 5-1	Gardnerella	vaginalis	NA
GV13	Gardnerella vaginalis 55152	Gardnerella_vaginalis_55152	G. vaginalis 55152	Gardnerella	vaginalis	NA
GV14	Gardnerella vaginalis 6119V5	Gardnerella_vaginalis_6119V5	G. vaginalis 6119V5	Gardnerella	vaginalis	NA
GV15	Gardnerella vaginalis 6420B	Gardnerella_vaginalis_6420B	G. vaginalis 6420B	Gardnerella	vaginalis	NA
GV16	Gardnerella vaginalis 75712	Gardnerella_vaginalis_75712	G. vaginalis 75712	Gardnerella	vaginalis	NA
GV17	Gardnerella vaginalis AMD	Gardnerella_vaginalis_AMD	G. vaginalis AMD	Gardnerella	vaginalis	NA
GV18	Gardnerella vaginalis ATCC 14018	Gardnerella_vaginalis_ATCC_14018	G. vaginalis ATCC 14018	Gardnerella	vaginalis	NA
GV19	Gardnerella vaginalis ATCC 14019	Gardnerella_vaginalis_ATCC_14019	G. vaginalis ATCC 14019	Gardnerella	vaginalis	NA
GV20	Gardnerella vaginalis HMP9231	Gardnerella_vaginalis_HMP9231	G. vaginalis HMP9231	Gardnerella	vaginalis	NA
GV21	Gardnerella vaginalis JCP7275	Gardnerella_vaginalis_JCP7275	G. vaginalis JCP7275	Gardnerella	vaginalis	NA
GV22	Gardnerella vaginalis JCP7276	Gardnerella_vaginalis_JCP7276	G. vaginalis JCP7276	Gardnerella	vaginalis	NA
GV23	Gardnerella vaginalis JCP7659	Gardnerella_vaginalis_JCP7659	G. vaginalis JCP7659	Gardnerella	vaginalis	NA
GV24	Gardnerella vaginalis JCP7672	Gardnerella_vaginalis_JCP7672	G. vaginalis JCP7672	Gardnerella	vaginalis	NA
