SAMPLE_ID	SEQUENCE_ID
10203Vag1	Sample_10203Vag1
11201Vag1	Sample_11201Vag1
12006Vag1	Sample_12006Vag1
12601Vag1	Sample_12601Vag1
20201Vag1	Sample_20201Vag1
20911Vag1	Sample_20911Vag1
22301Vag1	Sample_22301Vag1
10206Vag1	Sample_10206Vag1
11207Vag1	Sample_11207Vag1
12108Vag1	Sample_12108Vag1
13502Vag1	Sample_13502Vag1
20210Vag1	Sample_20210Vag1
21506Vag1	Sample_21506Vag1
10208Vag1	Sample_10208Vag1
11505Vag1	Sample_11505Vag1
12407Vag1	Sample_12407Vag1
13505Vag1	Sample_13505Vag1
20501Vag1	Sample_20501Vag1
22006Vag1	Sample_22006Vag1
