id_short	genome_name	bv_status	biotype
GV35	Gardnerella vaginalis JCP8522	Unknown	Unknown
GV29	Gardnerella vaginalis JCP8070	Unknown	Unknown
GV28	Gardnerella vaginalis JCP8066	Unknown	Unknown
GV03	Gardnerella vaginalis 00703Dmash	BV patient	Unknown
GV15	Gardnerella vaginalis 6420B	Asymptomatic patient	2
GV14	Gardnerella vaginalis 6119V5	Asymptomatic patient	7
GV23	Gardnerella vaginalis JCP7659	Unknown	Unknown
GV05	Gardnerella vaginalis 101	Unknown	Unknown
GV32	Gardnerella vaginalis JCP8151B	Unknown	Unknown
GV31	Gardnerella vaginalis JCP8151A	Unknown	Unknown
GV25	Gardnerella vaginalis JCP7719	Unknown	Unknown
GV33	Gardnerella vaginalis JCP8481A	Unknown	Unknown
GV21	Gardnerella vaginalis JCP7275	Unknown	Unknown
GV02	Gardnerella vaginalis 00703C2mash	BV patient	Unknown
GV34	Gardnerella vaginalis JCP8481B	Unknown	Unknown
GV07	Gardnerella vaginalis 1500E	Patient (ambiguous)	5
GV01	Gardnerella vaginalis 00703Bmash	BV patient	Unknown
GV27	Gardnerella vaginalis JCP8017B	Unknown	Unknown
GV24	Gardnerella vaginalis JCP7672	Unknown	Unknown
GV17	Gardnerella vaginalis AMD	BV patient	Unknown
GV26	Gardnerella vaginalis JCP8017A	Unknown	Unknown
GV18	Gardnerella vaginalis ATCC 14018	Unknown	Unknown
GV10	Gardnerella vaginalis 409-05	Unknown	Unknown
GV22	Gardnerella vaginalis JCP7276	Unknown	Unknown
GV30	Gardnerella vaginalis JCP8108	Unknown	Unknown
GV13	Gardnerella vaginalis 55152	Patient (ambiguous)	3
GV08	Gardnerella vaginalis 284V	Patient (ambiguous)	1
GV09	Gardnerella vaginalis 315-A	Unknown	Unknown
GV12	Gardnerella vaginalis 5-1	Healthy	Unknown
GV11	Gardnerella vaginalis 41V	Healthy	Unknown
GV19	Gardnerella vaginalis ATCC 14019	Unknown	Unknown
GV16	Gardnerella vaginalis 75712	Asymptomatic patient	1
GV04	Gardnerella vaginalis 0288E	Patient (ambiguous)	1
GV06	Gardnerella vaginalis 1400E	Patient (ambiguous)	4
GV20	Gardnerella vaginalis HMP9231	Unknown	Unknown
