ortho_id	clade1	clade2	clade3	clade4
clust_0001	2	2	1.85714285714286	2
clust_0002	1.72727272727273	2	2	2
clust_0003	1.36363636363636	2	1.64285714285714	2
clust_0004	0.909090909090909	2	1.71428571428571	1
clust_0005	1	1	1.78571428571429	2
clust_0006	1	1	1.78571428571429	0.5
clust_0007	0.545454545454545	1.5	1.64285714285714	1
clust_0008	1	2	1	1
clust_0009	1	0.625	1.57142857142857	1
clust_0010	1	0.375	1.42857142857143	3
clust_0011	1	1.5	1.07142857142857	1
clust_0012	1	0	2	0
clust_0013	0.909090909090909	1.5	1.07142857142857	1
clust_0014	1.09090909090909	1	1	2
clust_0015	1	1.375	1	1
clust_0016	1	1.5	0.928571428571429	1
clust_0017	0.454545454545455	1.375	1.57142857142857	0
clust_0018	1	1.25	1	1
clust_0019	1	1	1.14285714285714	1
clust_0020	1.09090909090909	1	1.07142857142857	1
clust_0021	1	1	1.14285714285714	1
clust_0022	1	1	1.14285714285714	1
clust_0023	1	1	1	2
clust_0024	1	1.25	1	1
clust_0025	1	1.25	1	1
clust_0026	1	1	1.07142857142857	1
clust_0027	1.09090909090909	1	1	1
clust_0028	1	1	1.07142857142857	1
clust_0029	1	1	1.07142857142857	1
clust_0030	1	1	1.07142857142857	1
clust_0031	1	1	1.07142857142857	1
clust_0032	1	1	1.07142857142857	1
clust_0033	1	1	1.07142857142857	1
clust_0034	1	1	1.07142857142857	1
clust_0035	1	1	1.07142857142857	1
clust_0036	1	1	1.07142857142857	1
clust_0037	1	1	1.07142857142857	1
clust_0038	1.09090909090909	1	1	1
clust_0039	1	1	1.07142857142857	1
clust_0040	1	1.125	1	1
clust_0041	1	1	1.07142857142857	1
clust_0042	1	1	1.21428571428571	0
clust_0043	1.09090909090909	1	1.07142857142857	0.5
clust_0044	1	1	1.07142857142857	1
clust_0045	1	1	1.07142857142857	1
clust_0046	1	1	1	1
clust_0047	1	1	1	1
clust_0048	1	1	1	1
clust_0049	1	1	1	1
clust_0050	1	1	1	1
clust_0051	1	1	1	1
clust_0052	1	1	1	1
clust_0053	1	1	1	1
clust_0054	1	1	1	1
clust_0055	1	1	1	1
clust_0056	1	1	1	1
clust_0057	1	1	1	1
clust_0058	1	1	1	1
clust_0059	1	1	1	1
clust_0060	1	1	1	1
clust_0061	1	1	1	1
clust_0062	1	1	1	1
clust_0063	1	1	1	1
clust_0064	1	1	1	1
clust_0065	1	1	1	1
clust_0066	1	1	1	1
clust_0067	1	1	1	1
clust_0068	1	1	1	1
clust_0069	1	1	1	1
clust_0070	1	1	1	1
clust_0071	1	1	1	1
clust_0072	1	1	1	1
clust_0073	1	1	1	1
clust_0074	1	1	1	1
clust_0075	1	1	1	1
clust_0076	1	1	1	1
clust_0077	1	1	1	1
clust_0078	1	1	1	1
clust_0079	1	1	1	1
clust_0080	1	1	1	1
clust_0081	1	1	1	1
clust_0082	1	1	1	1
clust_0083	1	1	1	1
clust_0084	1	1	1	1
clust_0085	1	1	1	1
clust_0086	1	1	1	1
clust_0087	1	1	1	1
clust_0088	1	1	1	1
clust_0089	1	1	1	1
clust_0090	1	1	1	1
clust_0091	1	1	1	1
clust_0092	1	1	1	1
clust_0093	1	1	1	1
clust_0094	1	1	1	1
clust_0095	1	1	1	1
clust_0096	1	1	1	1
clust_0097	1	1	1	1
clust_0098	1	1	1	1
clust_0099	1	1	1	1
clust_0100	1	1	1	1
clust_0101	1	1	1	1
clust_0102	1	1	1	1
clust_0103	1	1	1	1
clust_0104	1	1	1	1
clust_0105	1	1	1	1
clust_0106	1	1	1	1
clust_0107	1	1	1	1
clust_0108	1	1	1	1
clust_0109	1	1	1	1
clust_0110	1	1	1	1
clust_0111	1	1	1	1
clust_0112	1	1	1	1
clust_0113	1	1	1	1
clust_0114	1	1	1	1
clust_0115	1	1	1	1
clust_0116	1	1	1	1
clust_0117	1	1	1	1
clust_0118	1	1	1	1
clust_0119	1	1	1	1
clust_0120	1	1	1	1
clust_0121	1	1	1	1
clust_0122	1	1	1	1
clust_0123	1	1	1	1
clust_0124	1	1	1	1
clust_0125	1	1	1	1
clust_0126	1	1	1	1
clust_0127	1	1	1	1
clust_0128	1	1	1	1
clust_0129	1	1	1	1
clust_0130	1	1	1	1
clust_0131	1	1	1	1
clust_0132	1	1	1	1
clust_0133	1	1	1	1
clust_0134	1	1	1	1
clust_0135	1	1	1	1
clust_0136	1	1	1	1
clust_0137	1	1	1	1
clust_0138	1	1	1	1
clust_0139	1	1	1	1
clust_0140	1	1	1	1
clust_0141	1	1	1	1
clust_0142	1	1	1	1
clust_0143	1	1	1	1
clust_0144	1	1	1	1
clust_0145	1	1	1	1
clust_0146	1	1	1	1
clust_0147	1	1	1	1
clust_0148	1	1	1	1
clust_0149	1	1	1	1
clust_0150	1	1	1	1
clust_0151	1	1	1	1
clust_0152	1	1	1	1
clust_0153	1	1	1	1
clust_0154	1	1	1	1
clust_0155	1	1	1	1
clust_0156	1	1	1	1
clust_0157	1	1	1	1
clust_0158	1	1	1	1
clust_0159	1	1	1	1
clust_0160	1	1	1	1
clust_0161	1	1	1	1
clust_0162	1	1	1	1
clust_0163	1	1	1	1
clust_0164	1	1	1	1
clust_0165	1	1	1	1
clust_0166	1	1	1	1
clust_0167	1	1	1	1
clust_0168	1	1	1	1
clust_0169	1	1	1	1
clust_0170	1	1	1	1
clust_0171	1	1	1	1
clust_0172	1	1	1	1
clust_0173	1	1	1	1
clust_0174	1	1	1	1
clust_0175	1	1	1	1
clust_0176	1	1	1	1
clust_0177	1	1	1	1
clust_0178	1	1	1	1
clust_0179	1	1	1	1
clust_0180	1	1	1	1
clust_0181	1	1	1	1
clust_0182	1	1	1	1
clust_0183	1	1	1	1
clust_0184	1	1	1	1
clust_0185	1	1	1	1
clust_0186	1	1	1	1
clust_0187	1	1	1	1
clust_0188	1	1	1	1
clust_0189	1	1	1	1
clust_0190	1	1	1	1
clust_0191	1	1	1	1
clust_0192	1	1	1	1
clust_0193	1	1	1	1
clust_0194	1	1	1	1
clust_0195	1	1	1	1
clust_0196	1	1	1	1
clust_0197	1	1	1	1
clust_0198	1	1	1	1
clust_0199	1	1	1	1
clust_0200	1	1	1	1
clust_0201	1	1	1	1
clust_0202	1	1	1	1
clust_0203	1	1	1	1
clust_0204	1	1	1	1
clust_0205	1	1	1	1
clust_0206	1	1	1	1
clust_0207	1	1	1	1
clust_0208	1	1	1	1
clust_0209	1	1	1	1
clust_0210	1	1	1	1
clust_0211	1	1	1	1
clust_0212	1	1	1	1
clust_0213	1	1	1	1
clust_0214	1	1	1	1
clust_0215	1	1	1	1
clust_0216	1	1	1	1
clust_0217	1	1	1	1
clust_0218	1	1	1	1
clust_0219	1	1	1	1
clust_0220	1	1	1	1
clust_0221	1	1	1	1
clust_0222	1	1	1	1
clust_0223	1	1	1	1
clust_0224	1	1	1	1
clust_0225	1	1	1	1
clust_0226	1	1	1	1
clust_0227	1	1	1	1
clust_0228	1	1	1	1
clust_0229	1	1	1	1
clust_0230	1	1	1	1
clust_0231	1	1	1	1
clust_0232	1	1	1	1
clust_0233	1	1	1	1
clust_0234	1	1	1	1
clust_0235	1	1	1	1
clust_0236	1	1	1	1
clust_0237	1	1	1	1
clust_0238	1	1	1	1
clust_0239	1	1	1	1
clust_0240	1	1	1	1
clust_0241	1	1	1	1
clust_0242	1	1	1	1
clust_0243	1	1	1	1
clust_0244	1	1	1	1
clust_0245	1	1	1	1
clust_0246	1	1	1	1
clust_0247	1	1	1	1
clust_0248	1	1	1	1
clust_0249	1	1	1	1
clust_0250	1	1	1	1
clust_0251	1	1	1	1
clust_0252	1	1	1	1
clust_0253	1	1	1	1
clust_0254	1	1	1	1
clust_0255	1	1	1	1
clust_0256	1	1	1	1
clust_0257	1	1	1	1
clust_0258	1	1	1	1
clust_0259	1	1	1	1
clust_0260	1	1	1	1
clust_0261	0.909090909090909	1	1.07142857142857	1
clust_0262	1	1	1	1
clust_0263	1	1	1	1
clust_0264	1	1	1	1
clust_0265	1	1	1	1
clust_0266	1	1	1	1
clust_0267	1	1	1	1
clust_0268	1	1	1	1
clust_0269	1	1	1	1
clust_0270	1	1	1	1
clust_0271	1	1	1	1
clust_0272	1	1	1	1
clust_0273	1	1	1	1
clust_0274	1	1	1	1
clust_0275	1	1	1	1
clust_0276	1	1	1	1
clust_0277	1	1	1	1
clust_0278	1	1	1	1
clust_0279	1	1	1	1
clust_0280	1	1	1	1
clust_0281	1	1	1	1
clust_0282	1	1	1	1
clust_0283	1	1	1	1
clust_0284	1	1	1	1
clust_0285	1	1	1	1
clust_0286	1	1	1	1
clust_0287	1	1	1	1
clust_0288	1	1	1	1
clust_0289	1	1	1	1
clust_0290	1	1	1	1
clust_0291	1	1	1	1
clust_0292	1	1	1	1
clust_0293	1	1	1	1
clust_0294	1	1	1	1
clust_0295	1	1	1	1
clust_0296	1	1	1	1
clust_0297	1	1	1	1
clust_0298	1	1	1	1
clust_0299	1	1	1	1
clust_0300	1	1	1	1
clust_0301	1	1	1	1
clust_0302	1	1	1	1
clust_0303	1	1	1	1
clust_0304	1	1	1	1
clust_0305	1	1	1	1
clust_0306	1	1	1	1
clust_0307	1	1	1	1
clust_0308	1	1	1	1
clust_0309	1	1	1	1
clust_0310	1	1	1	1
clust_0311	1	1	1	1
clust_0312	1	1	1	1
clust_0313	1	1	1	1
clust_0314	1	1	1	1
clust_0315	1	1	1	1
clust_0316	1	1	1	1
clust_0317	1	1	1	1
clust_0318	1	1	1	1
clust_0319	1	1	1	1
clust_0320	1	1	1	1
clust_0321	1	1	1	1
clust_0322	1	1	1	1
clust_0323	1	1	1	1
clust_0324	1	1	1	1
clust_0325	1	1	1	1
clust_0326	1	1	1	1
clust_0327	1	1	1	1
clust_0328	1	1	1	1
clust_0329	1	1	1	1
clust_0330	1	1	1	1
clust_0331	1	1	1	1
clust_0332	1	1	1	1
clust_0333	1	1	1	1
clust_0334	1	1	1	1
clust_0335	1	1	1	1
clust_0336	1	1	1	1
clust_0337	1	1	1	1
clust_0338	1	1	1	1
clust_0339	1	1	1	1
clust_0340	1	1	1	1
clust_0341	1	1	1	1
clust_0342	1	1	1	1
clust_0343	1	1	1	1
clust_0344	1	1	1	1
clust_0345	1	1	1	1
clust_0346	1	1	1	1
clust_0347	1	1	1	1
clust_0348	1	1	1	1
clust_0349	1	1	1	1
clust_0350	1	1	1	1
clust_0351	1	1	1	1
clust_0352	1	1	1	1
clust_0353	1	1	1	1
clust_0354	1	1	1	1
clust_0355	1	1	1	1
clust_0356	1	1	1	1
clust_0357	1	1	1	1
clust_0358	1	1	1	1
clust_0359	1	1	1	1
clust_0360	1	1	1	1
clust_0361	1	1	1	1
clust_0362	1	1	1	1
clust_0363	1	1	1	1
clust_0364	1	1	1	1
clust_0365	1	1	1	1
clust_0366	1	1	1	1
clust_0367	1	1	1	1
clust_0368	1	1	1	1
clust_0369	1	1	1	1
clust_0370	1	1	1	1
clust_0371	1	1	1	1
clust_0372	1	1	1	1
clust_0373	1	1	1	1
clust_0374	1	1	1	1
clust_0375	1	1	1	1
clust_0376	1	1	1	1
clust_0377	1	1	1	1
clust_0378	1	1	1	1
clust_0379	1	1	1	1
clust_0380	1	1	1	1
clust_0381	1	1	1	1
clust_0382	1	1	1	1
clust_0383	1	1	1	1
clust_0384	1	1	1	1
clust_0385	1	1	1	1
clust_0386	1	1	1	1
clust_0387	1	1	1	1
clust_0388	1	1	1	1
clust_0389	1	1	1	1
clust_0390	1	1	1	1
clust_0391	1	1	1	1
clust_0392	1	1	1	1
clust_0393	1	1	1	1
clust_0394	1	1	1	1
clust_0395	1	1	1	1
clust_0396	1	1	1	1
clust_0397	1	1	1	1
