all_core	group_core_not_uniq	group_core_uniq	accessory	singleton
ADO1	0.281424936386768	0.295165394402036	0.00203562340966921	0.202035623409669	0.219338422391857
BIF1	0.308077994428969	0.323119777158774	0.00222841225626741	0.171587743732591	0.194986072423398
ANI1	0.348456206679269	0.459987397605545	0.179584120982987	0.00693131695022054	0.00504095778197858
ANI2	0.348895899053628	0.460567823343849	0.17981072555205	0.00694006309148265	0.00378548895899054
ANI3	0.347143753923415	0.458254865034526	0.178907721280603	0.00502197112366604	0.0106716886377903
BRE1	0.296673819742489	0.5	0.00268240343347639	0.186695278969957	0.0139484978540773
BRE2	0.283299180327869	0.477459016393443	0.00256147540983607	0.222336065573771	0.014344262295082
BRE3	0.287422037422037	0.484407484407484	0.0025987525987526	0.211018711018711	0.0145530145530146
BRE4	0.290288713910761	0.489238845144357	0.0026246719160105	0.198425196850394	0.0194225721784777
BRE5	0.27362691736764	0.461157842652152	0.0024740227610094	0.184562097971301	0.0781791192478971
BRE6	0.274441687344913	0.462531017369727	0.00248138957816377	0.210918114143921	0.0496277915632754
BRE7	0.284904688304997	0.480164863472437	0.00257599175682638	0.202988150437919	0.0293663060278207
BRE8	0.289528795811518	0.487958115183246	0.00261780104712042	0.208376963350785	0.0115183246073298
BRE9	0.279858299595142	0.691801619433198	0	0	0.0283400809716599
GV01	0.440286624203822	0.0923566878980892	0.0270700636942675	0.417993630573248	0.0222929936305732
GV02	0.451428571428571	0.0946938775510204	0.0277551020408163	0.394285714285714	0.0318367346938776
GV03	0.476724137931034	0.1	0.0293103448275862	0.361206896551724	0.0327586206896552
GV04	0.411764705882353	0.0863737900223381	0.0253164556962025	0.454951600893522	0.0215934475055845
GV05	0.469838572642311	0.0985556499575191	0.0288870008496177	0.383177570093458	0.0195412064570943
GV06	0.411764705882353	0.0863737900223381	0.0253164556962025	0.446760982874162	0.0297840655249442
GV07	0.469041560644614	0.0983884648006785	0.0288379983036472	0.347752332485157	0.0559796437659033
GV08	0.42968142968143	0.0901320901320901	0.0264180264180264	0.432789432789433	0.020979020979021
GV09	0.424405218726017	0.089025326170376	0.0260936300844206	0.434382194934766	0.0260936300844206
GV10	0.473053892215569	0.0992301112061591	0.0290846877673225	0.37125748502994	0.0273738237810094
GV11	0.422137404580153	0.0885496183206107	0.0259541984732824	0.425954198473282	0.0374045801526718
GV12	0.436119873817035	0.0914826498422713	0.026813880126183	0.393533123028391	0.0520504731861199
GV13	0.427357032457496	0.089644513137558	0.0262751159196291	0.422720247295209	0.0340030911901082
GV14	0.473458904109589	0.0993150684931507	0.0291095890410959	0.361301369863014	0.0368150684931507
GV15	0.48296943231441	0.101310043668122	0.0296943231441048	0.345851528384279	0.040174672489083
GV16	0.427357032457496	0.089644513137558	0.0262751159196291	0.442812982998454	0.0139103554868624
GV17	0.461602671118531	0.0968280467445743	0.0283806343906511	0.377295492487479	0.0358931552587646
GV18	0.430350194552529	0.090272373540856	0.0264591439688716	0.405447470817121	0.0474708171206226
GV19	0.421172886519421	0.0883472962680883	0.0258948971820259	0.437166793602437	0.0274181264280274
GV20	0.409023668639053	0.0857988165680473	0.0251479289940828	0.459319526627219	0.0207100591715976
GV21	0.452907452907453	0.095004095004095	0.0278460278460278	0.392301392301392	0.0319410319410319
GV22	0.424405218726017	0.089025326170376	0.0260936300844206	0.442824251726784	0.0176515732924021
GV23	0.44524959742351	0.0933977455716586	0.0273752012882448	0.4170692431562	0.0169082125603865
GV24	0.448499594484996	0.0940794809407948	0.0275750202757502	0.412003244120032	0.0178426601784266
GV25	0.428350116189001	0.0898528272656855	0.0263361735089078	0.42292796281952	0.0325329202168861
GV26	0.415165165165165	0.0870870870870871	0.0255255255255255	0.458708708708709	0.0135135135135135
GV27	0.418622255866768	0.0878122634367903	0.0257380772142316	0.455715367146101	0.012112036336109
GV28	0.463149078726968	0.0971524288107203	0.0284757118927973	0.386097152428811	0.0251256281407035
GV29	0.461602671118531	0.0968280467445743	0.0283806343906511	0.382303839732888	0.0308848080133556
GV30	0.413922155688623	0.0868263473053892	0.0254491017964072	0.440868263473054	0.0329341317365269
GV31	0.444176706827309	0.0931726907630522	0.0273092369477912	0.408032128514056	0.0273092369477912
GV32	0.438193343898574	0.0919175911251981	0.0269413629160063	0.404120443740095	0.0388272583201268
GV33	0.4424	0.0928	0.0272	0.4096	0.028
GV34	0.447411003236246	0.0938511326860841	0.0275080906148867	0.41504854368932	0.0161812297734628
GV35	0.474678111587983	0.0995708154506438	0.0291845493562232	0.366523605150215	0.0300429184549356
INF1	0.279151943462898	0.435133770822817	0.0469459868753155	0.177183240787481	0.0615850580514891
LON1	0.305693753454947	0.476506357103372	0.0514096185737977	0.137092316196794	0.029297954671089
LON2	0.30202075368651	0.470780993992354	0.050791916985254	0.131622064445658	0.0447842708902239
LON3	0.282142857142857	0.439795918367347	0.0474489795918367	0.196938775510204	0.0336734693877551
LON4	0.284318766066838	0.44318766066838	0.0478149100257069	0.115167095115681	0.109511568123393
THE1	0.312429378531073	0.453672316384181	0.00734463276836158	0	0.226553672316384
