cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV32|SEQ00008	NA	VBIGarVag277040_0008	Gardnerella vaginalis JCP8151B	ATJH01000002	PATRIC	CDS	183997837	8773	8889	-	117		hypothetical protein	GV32
GV32|SEQ00044	NA	VBIGarVag277040_0044	Gardnerella vaginalis JCP8151B	ATJH01000004	PATRIC	CDS	183997918	20574	20741	+	168		hypothetical protein	GV32
GV32|SEQ00101	NA	VBIGarVag277040_0101	Gardnerella vaginalis JCP8151B	ATJH01000006	PATRIC	CDS	183998036	3991	4104	+	114		hypothetical protein	GV32
GV32|SEQ00158	NA	VBIGarVag277040_0158	Gardnerella vaginalis JCP8151B	ATJH01000012	PATRIC	CDS	183998158	2347	2493	+	147		hypothetical protein	GV32
GV32|SEQ00183	NA	VBIGarVag277040_0183	Gardnerella vaginalis JCP8151B	ATJH01000013	PATRIC	CDS	183998211	2	499	-	498		possible phospholipase/carboxylesterase	GV32
GV32|SEQ00213	NA	VBIGarVag277040_0213	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998272	25776	25919	-	144		hypothetical protein	GV32
GV32|SEQ00243	NA	VBIGarVag277040_0243	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998334	64367	65395	-	1029		Putative DNA-binding protein in cluster with Type I restriction-modification system	GV32
GV32|SEQ00244	NA	VBIGarVag277040_0244	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998336	65398	66726	-	1329		Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	GV32
GV32|SEQ00245	NA	VBIGarVag277040_0245	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998338	66723	68729	-	2007		Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	GV32
GV32|SEQ00247	NA	VBIGarVag277040_0247	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998342	70823	72079	-	1257		hypothetical protein	GV32
GV32|SEQ00249	NA	VBIGarVag277040_0249	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998346	72815	73690	+	876		unknown	GV32
GV32|SEQ00250	NA	VBIGarVag277040_0250	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998348	73703	74812	+	1110		hypothetical protein	GV32
GV32|SEQ00340	NA	VBIGarVag277040_0340	Gardnerella vaginalis JCP8151B	ATJH01000014	PATRIC	CDS	183998532	187755	188003	+	249		Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GV32
GV32|SEQ00402	NA	VBIGarVag277040_0402	Gardnerella vaginalis JCP8151B	ATJH01000021	PATRIC	CDS	183998671	4538	4660	+	123		hypothetical protein	GV32
GV32|SEQ00471	NA	VBIGarVag277040_0471	Gardnerella vaginalis JCP8151B	ATJH01000023	PATRIC	CDS	183998819	1864	2007	+	144		hypothetical protein	GV32
