GV12|SEQ00084
GV13|SEQ00371
GV31|SEQ00910
GV32|SEQ00110
GV15|SEQ00268
GV28|SEQ00097
GV29|SEQ00252
GV18|SEQ01151
GV19|SEQ01037
GV26|SEQ00697
GV23|SEQ00150
GV20|SEQ00521
GV21|SEQ00562
GV16|SEQ00592
GV25|SEQ01223
GV35|SEQ00317
GV22|SEQ01153
GV27|SEQ00581
GV30|SEQ00751
GV24|SEQ00922
GV14|SEQ00475
GV34|SEQ00122
GV33|SEQ00862
GV17|SEQ00073
GV07|SEQ00702
GV08|SEQ00739
GV09|SEQ00183
GV11|SEQ01030
GV10|SEQ00648
GV34|SEQ00916
GV33|SEQ00456
GV05|SEQ00730
GV06|SEQ00009
GV03|SEQ00708
GV04|SEQ00796
GV26|SEQ01112
GV27|SEQ00971
GV01|SEQ01163
