INF1|SEQ01663
LON3|SEQ01153
GV28|SEQ00253
GV31|SEQ00008
GV32|SEQ00267
GV35|SEQ00140
GV16|SEQ00928
GV20|SEQ00851
GV21|SEQ00304
GV24|SEQ01009
GV18|SEQ00531
GV19|SEQ00689
GV30|SEQ00278
GV22|SEQ00063
GV23|SEQ00113
GV29|SEQ00868
GV25|SEQ00723
GV26|SEQ00362
GV27|SEQ00120
BRE2|SEQ01816
BRE7|SEQ01811
BRE5|SEQ01873
BRE8|SEQ01767
BRE6|SEQ01234
BRE3|SEQ01780
BRE9|SEQ01873
BRE4|SEQ01752
GV13|SEQ00618
GV04|SEQ01070
GV11|SEQ00676
GV09|SEQ00981
GV06|SEQ00678
GV08|SEQ00153
GV01|SEQ00278
GV02|SEQ00673
ANI2|SEQ00512
ANI3|SEQ00514
BIF1|SEQ00206
BRE1|SEQ01712
ADO1|SEQ00731
ANI1|SEQ00512
