cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
BRE9|SEQ00038	VBIBifBre30019_0038	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444099	45330	45467	-	138		hypothetical protein	BRE9	NA
BRE9|SEQ00041	VBIBifBre30019_0041	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444105	48356	48487	-	132		hypothetical protein	BRE9	NA
BRE9|SEQ00199	VBIBifBre30019_0199	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444430	261043	261243	+	201		hypothetical protein	BRE9	NA
BRE9|SEQ00266	VBIBifBre30019_0266	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444574	352491	352604	-	114		LacI-type transcriptional regulator	BRE9	NA
BRE9|SEQ00269	VBIBifBre30019_0269	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444580	354145	354768	+	624		Putative glycosyl hydrolase of unknown function (DUF1680)	BRE9	NA
BRE9|SEQ00272	VBIBifBre30019_0272	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444587	356312	356926	-	615		Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	BRE9	NA
BRE9|SEQ00273	VBIBifBre30019_0273	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444589	356923	357324	-	402		Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	BRE9	NA
BRE9|SEQ00307	VBIBifBre30019_0307	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444659	392006	393826	-	1821	lacZ2	Beta-galactosidase (EC 3.2.1.23)	BRE9	NA
BRE9|SEQ00308	VBIBifBre30019_0308	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444661	393797	393943	+	147		hypothetical protein	BRE9	NA
BRE9|SEQ00309	VBIBifBre30019_0309	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444663	393977	394603	-	627		hypothetical protein	BRE9	NA
BRE9|SEQ00311	VBIBifBre30019_0311	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444667	395688	396062	+	375		hypothetical protein	BRE9	NA
BRE9|SEQ00326	VBIBifBre30019_0326	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444697	413611	413841	+	231		Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	BRE9	NA
BRE9|SEQ00328	VBIBifBre30019_0328	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444701	414281	414592	-	312		hypothetical protein	BRE9	NA
BRE9|SEQ00329	VBIBifBre30019_0329	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444703	414612	414860	-	249		hypothetical protein	BRE9	NA
BRE9|SEQ00331	VBIBifBre30019_0331	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444707	415452	416654	-	1203		hypothetical protein	BRE9	NA
BRE9|SEQ00334	VBIBifBre30019_0334	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444714	418693	418914	+	222		Mobile element protein	BRE9	NA
