cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV01|SEQ01099	clust_0873	VBIGarVag247323_1099	Gardnerella vaginalis 00703Bmash	ADET01000013	PATRIC	CDS	85496399	100122	102803	+	2682	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV01
GV02|SEQ00340	clust_0873	VBIGarVag242669_0340	Gardnerella vaginalis 00703C2mash	ADEU01000006	PATRIC	CDS	85497456	146557	149238	-	2682	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV02
GV03|SEQ00529	clust_0873	VBIGarVag247424_0529	Gardnerella vaginalis 00703Dmash	ADEV01000007	PATRIC	CDS	85500465	81337	84021	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV03
GV04|SEQ00762	clust_0873	VBIGarVag246433_0762	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481423	90917	93601	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV04
GV05|SEQ00550	clust_0873	VBIGarVag174900_0550	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52546844	142800	145484	+	2685		Alanyl-tRNA synthetase (EC 6.1.1.7)	GV05
GV06|SEQ00326	clust_0873	VBIGarVag244004_0326	Gardnerella vaginalis 1400E	ADER01000008	PATRIC	CDS	85489378	20188	22872	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV06
GV07|SEQ00862	clust_0873	VBIGarVag249177_0862	Gardnerella vaginalis 1500E	ADES01000014	PATRIC	CDS	85493395	135664	138348	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV07
GV08|SEQ00775	clust_0873	VBIGarVag251521_0775	Gardnerella vaginalis 284V	ADEL01000009	PATRIC	CDS	85475976	133025	135709	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV08
GV09|SEQ00221	clust_0873	VBIGarVag169280_0221	Gardnerella vaginalis 315-A	AFDI01000005	PATRIC	CDS	55259605	42901	45585	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV09
GV10|SEQ00346	clust_0873	VBIGarVag136958_0346	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32146730	401843	404527	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV10
GV11|SEQ00320	clust_0873	VBIGarVag171052_0320	Gardnerella vaginalis 41V	AEJE01000023	PATRIC	CDS	52548941	22105	24789	-	2685		Alanyl-tRNA synthetase (EC 6.1.1.7)	GV11
GV12|SEQ00888	clust_0873	VBIGarVag144721_0888	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854497	438088	440772	+	2685		Alanyl-tRNA synthetase (EC 6.1.1.7)	GV12
GV13|SEQ00427	clust_0873	VBIGarVag244533_0427	Gardnerella vaginalis 55152	ADEQ01000006	PATRIC	CDS	85486814	21193	23877	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV13
GV14|SEQ00834	clust_0873	VBIGarVag244375_0834	Gardnerella vaginalis 6119V5	ADEW01000008	PATRIC	CDS	85503557	25897	28581	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV14
GV15|SEQ00317	clust_0873	VBIGarVag249709_0317	Gardnerella vaginalis 6420B	ADEP01000005	PATRIC	CDS	85484147	41447	44131	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV15
GV16|SEQ00539	clust_0873	VBIGarVag246379_0539	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478226	585505	588189	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV16
GV17|SEQ00249	clust_0873	VBIGarVag146634_0249	Gardnerella vaginalis AMD	NZ_ADAM01000002	PATRIC	CDS	37850509	219961	222645	-	2685		Alanyl-tRNA synthetase (EC 6.1.1.7)	GV17
GV18|SEQ01306	clust_0873	VBIGarVag4823_1306	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000145	PATRIC	CDS	42071455	82730	85414	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV18
GV19|SEQ01072	clust_0873	VBIGarVag39333_1073	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	42629055	1310929	1313613	-	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV19
GV20|SEQ00435	clust_0873	VBIGarVag188338_0435	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	54189684	544975	547659	+	2685	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)	GV20
