cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
ANI3|SEQ00030	VBIBifAni108068_0030	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42762324	36056	36376	-	321		hypothetical protein	ANI3	NA
ANI3|SEQ00079	VBIBifAni108068_0079	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42762422	92748	92933	+	186		hypothetical protein	ANI3	NA
ANI3|SEQ00126	VBIBifAni108068_0126	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42762520	143896	144030	-	135		hypothetical protein	ANI3	NA
ANI3|SEQ00203	VBIBifAni108068_0203	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42762676	239259	239429	-	171		hypothetical protein	ANI3	NA
ANI3|SEQ00276	VBIBifAni108068_0276	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42762826	339324	339443	-	120		hypothetical protein	ANI3	NA
ANI3|SEQ00323	VBIBifAni108068_0323	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42762926	396453	396575	-	123		hypothetical protein	ANI3	NA
ANI3|SEQ00424	VBIBifAni108068_0424	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42763140	496065	496154	+	90		hypothetical protein	ANI3	NA
ANI3|SEQ00800	VBIBifAni108068_0800	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42763920	928019	928396	+	378		CrcB protein	ANI3	NA
ANI3|SEQ00918	VBIBifAni108068_0918	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42764171	1063316	1063486	+	171		hypothetical protein	ANI3	NA
ANI3|SEQ00959	VBIBifAni108068_0959	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42764253	1100500	1100646	-	147		hypothetical protein	ANI3	NA
ANI3|SEQ01091	VBIBifAni108068_1091	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42764527	1265491	1266465	-	975		Permeases of the major facilitator superfamily	ANI3	NA
ANI3|SEQ01097	VBIBifAni108068_1097	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42764539	1273978	1274184	-	207		hypothetical protein	ANI3	NA
ANI3|SEQ01270	VBIBifAni108068_1270	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42764888	1468998	1469111	+	114		hypothetical protein	ANI3	NA
ANI3|SEQ01326	VBIBifAni108068_1326	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42765012	1546812	1546937	+	126		hypothetical protein	ANI3	NA
ANI3|SEQ01397	VBIBifAni108068_1397	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42765154	1646396	1646707	+	312		CpsF	ANI3	NA
ANI3|SEQ01434	VBIBifAni108068_1434	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42765232	1697046	1697534	+	489		hypothetical protein	ANI3	NA
ANI3|SEQ01470	VBIBifAni108068_1470	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42765304	1750867	1750980	-	114		hypothetical protein	ANI3	NA
ANI3|SEQ01573	VBIBifAni108068_1574	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	42765534	1891540	1891668	-	129		hypothetical protein	ANI3	NA
