cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	pathway_id	pathway_name	anno_type	ortho_id
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	625	Tetrachloroethene degradation	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	140	C21-Steroid hormone metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	53	Ascorbate and aldarate metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	633	Trinitrotoluene degradation	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	830	Retinol metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	240	Pyrimidine metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	622	Toluene and xylene degradation	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	523	Polyketide sugar unit biosynthesis	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	650	Butanoate metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	520	Amino sugar and nucleotide sugar metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	562	Inositol phosphate metabolism	path	clust_3411
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	260	Glycine, serine and threonine metabolism	path	clust_3411
