cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV01|SEQ00001	VBIGarVag247323_0001	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494094	165	719	+	555		Nicotinamidase (EC 3.5.1.19)	GV01	clust_0918
GV01|SEQ00002	VBIGarVag247323_0002	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494096	978	3272	+	2295		FIG00672278: hypothetical protein	GV01	clust_0917
GV01|SEQ00004	VBIGarVag247323_0004	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494100	4520	6712	+	2193		FIG00672107: hypothetical protein	GV01	clust_0916
GV01|SEQ00005	VBIGarVag247323_0005	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494102	6731	8560	+	1830		Zinc ABC transporter, periplasmic-binding protein ZnuA	GV01	clust_0915
GV01|SEQ00006	VBIGarVag247323_0006	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494104	8604	9437	+	834		Zinc ABC transporter, ATP-binding protein ZnuC	GV01	clust_0914
GV01|SEQ00013	VBIGarVag247323_0013	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494118	14454	15464	+	1011		FIG00672090: hypothetical protein	GV01	clust_0622
GV01|SEQ00037	VBIGarVag247323_0037	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494170	51366	53444	+	2079		FIG00672237: hypothetical protein	GV01	clust_0785
GV01|SEQ00053	VBIGarVag247323_0053	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494204	71738	72685	+	948		FIG00671968: hypothetical protein	GV01	clust_0784
GV01|SEQ00072	VBIGarVag247323_0072	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494244	103940	104656	-	717		Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01	clust_0664
GV01|SEQ00077	VBIGarVag247323_0077	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494254	108547	109317	-	771		COG0847: DNA polymerase III, epsilon subunit and related 3'-5' exonucleases	GV01	clust_0901
GV01|SEQ00093	VBIGarVag247323_0093	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494286	122180	123832	+	1653		hypothetical protein	GV01	clust_0244
GV01|SEQ00095	VBIGarVag247323_0095	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494290	125942	127018	-	1077		tRNA(Ile)-lysidine synthetase	GV01	clust_0612
GV01|SEQ00120	VBIGarVag247323_0120	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494346	162283	162645	+	363		FIG00671985: hypothetical protein	GV01	clust_0730
GV01|SEQ00145	VBIGarVag247323_0145	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494397	3827	5167	+	1341		NADH oxidase H2O-forming (EC 1.6.-.-)	GV01	clust_0704
GV01|SEQ00146	VBIGarVag247323_0146	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494399	5351	6484	+	1134		NAD-dependent 4-hydroxybutyrate dehydrogenase (EC 1.1.1.61)	GV01	clust_0904
GV01|SEQ00148	VBIGarVag247323_0148	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494403	7601	9679	-	2079		FIG00672154: hypothetical protein	GV01	clust_0939
GV01|SEQ00149	VBIGarVag247323_0149	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494405	9669	10445	-	777		ABC transporter ATP-binding protein	GV01	clust_0938
GV01|SEQ00150	VBIGarVag247323_0150	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494407	11108	12910	+	1803		Lipid A export ATP-binding/permease protein MsbA	GV01	clust_0936
GV01|SEQ00151	VBIGarVag247323_0151	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494409	13280	14611	+	1332		Histidine permease YuiF	GV01	clust_0937
GV01|SEQ00152	VBIGarVag247323_0152	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494411	14770	15579	-	810		Uridine phosphorylase (EC 2.4.2.3)	GV01	clust_0889
GV01|SEQ00162	VBIGarVag247323_0162	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494431	24431	25147	+	717		Serine acetyltransferase (EC 2.3.1.30)	GV01	clust_0903
GV01|SEQ00163	VBIGarVag247323_0163	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494433	25155	25577	-	423		acetyltransferase, GNAT family	GV01	clust_0935
GV01|SEQ00164	VBIGarVag247323_0164	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494435	25722	26978	-	1257		Sodium/dicarboxylate symporter	GV01	clust_0902
GV01|SEQ00171	VBIGarVag247323_0171	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494449	36992	38674	-	1683		putative alpha-amylase	GV01	clust_0007
GV01|SEQ00179	VBIGarVag247323_0179	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494466	49016	50584	-	1569		Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01	clust_0004
GV01|SEQ00180	VBIGarVag247323_0180	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494468	50784	51386	-	603		Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01	clust_0059
GV01|SEQ00193	VBIGarVag247323_0193	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494498	68385	70241	-	1857		ABC-type cobalt transport system, ATPase component	GV01	clust_0862
GV01|SEQ00196	VBIGarVag247323_0196	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494506	72477	75158	-	2682		Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01	clust_0004
GV01|SEQ00204	VBIGarVag247323_0204	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494522	81628	82866	+	1239		glycosyl transferase, group 1 family protein	GV01	clust_0932
GV01|SEQ00206	VBIGarVag247323_0206	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494526	84216	84983	-	768		NLP/P60 family protein	GV01	clust_0660
GV01|SEQ00208	VBIGarVag247323_0208	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494530	86268	86522	+	255		FIG00425582: hypothetical protein	GV01	clust_0729
GV01|SEQ00213	VBIGarVag247323_0213	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494542	92219	94324	+	2106		FOG: TPR repeat	GV01	clust_0658
GV01|SEQ00214	VBIGarVag247323_0214	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494544	94324	94968	+	645		FIG00423972: hypothetical protein	GV01	clust_0657
GV01|SEQ00226	VBIGarVag247323_0226	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494568	107861	109264	-	1404		Similar to tetracycline resistance protein	GV01	clust_0022
GV01|SEQ00249	VBIGarVag247323_0249	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494614	132009	133367	-	1359		FIG00672439: hypothetical protein	GV01	clust_0933
GV01|SEQ00283	VBIGarVag247323_0283	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494689	18176	20716	-	2541		histidine kinase sensor of two-component system	GV01	clust_0673
GV01|SEQ00287	VBIGarVag247323_0287	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494697	24458	25276	+	819		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	GV01	clust_0810
GV01|SEQ00296	VBIGarVag247323_0296	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494715	39212	40027	-	816		Alkanesulfonates ABC transporter ATP-binding protein / Sulfonate ABC transporter, ATP-binding subunit SsuB	GV01	clust_0880
GV01|SEQ00297	VBIGarVag247323_0297	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494717	40071	41102	-	1032		Alkanesulfonates-binding protein	GV01	clust_0881
GV01|SEQ00298	VBIGarVag247323_0298	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494719	41133	41942	-	810		Alkanesulfonates transport system permease protein	GV01	clust_0882
GV01|SEQ00300	VBIGarVag247323_0300	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494723	43692	44606	+	915		L-lactate dehydrogenase (EC 1.1.1.27)	GV01	clust_0883
GV01|SEQ00305	VBIGarVag247323_0305	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494735	49885	51333	+	1449		Lysine-specific permease	GV01	clust_0016
GV01|SEQ00330	VBIGarVag247323_0330	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494797	28594	29094	+	501		FIG00672032: hypothetical protein	GV01	clust_0913
GV01|SEQ00333	VBIGarVag247323_0333	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494803	30793	31788	+	996		Permease of the drug/metabolite transporter (DMT) superfamily	GV01	clust_0712
GV01|SEQ00336	VBIGarVag247323_0336	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494811	34808	35644	+	837		FIG00424614: hypothetical protein	GV01	clust_0593
GV01|SEQ00369	VBIGarVag247323_0369	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494877	83971	84906	+	936		probable solute binding protein of ABC transporter system	GV01	clust_0738
GV01|SEQ00371	VBIGarVag247323_0371	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494881	86114	86935	+	822		ATP binding protein of ABC transporter	GV01	clust_0605
GV01|SEQ00387	VBIGarVag247323_0387	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494913	105703	106986	+	1284		Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	GV01	clust_0713
GV01|SEQ00392	VBIGarVag247323_0392	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494923	115502	116695	+	1194		possible transport protein	GV01	clust_0603
GV01|SEQ00394	VBIGarVag247323_0394	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494927	118614	119342	+	729		Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	GV01	clust_0809
GV01|SEQ00399	VBIGarVag247323_0399	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	85494937	124138	125508	+	1371		ABC transporter membrane-spanning permease, Pep export, Vex3	GV01	clust_0742
