cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
GV18|SEQ00010	42068655	VBIGarVag4823_0010	SEQ00010	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000013	PATRIC	CDS	NA	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	3.6.3.19	Maltose-transporting ATPase	ec	NA
GV18|SEQ00018	42068677	VBIGarVag4823_0018	SEQ00018	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000019	PATRIC	CDS	NA	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1.1.1.44	Phosphogluconate dehydrogenase (decarboxylating)	ec	NA
GV18|SEQ00050	42068757	VBIGarVag4823_0050	SEQ00050	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000033	PATRIC	CDS	NA	ATP synthase beta chain (EC 3.6.3.14)	3.6.3.14	H(+)-transporting two-sector ATPase	ec	NA
GV18|SEQ00062	42068784	VBIGarVag4823_0062	SEQ00062	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000036	PATRIC	CDS	NA	N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	3.5.1.47	N-acetyldiaminopimelate deacetylase	ec	NA
GV18|SEQ00197	42069086	VBIGarVag4823_0197	SEQ00197	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000067	PATRIC	CDS	NA	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	1.3.3.1	Transferred entry: 1.3.98.1	ec	NA
GV18|SEQ00214	42069125	VBIGarVag4823_0214	SEQ00214	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000070	PATRIC	CDS	NA	Topoisomerase IV subunit B (EC 5.99.1.-)	5.99.1.-	Sole sub-subclass for isomerases that do not belong in the other subclasses.	ec	NA
GV18|SEQ00378	42069480	VBIGarVag4823_0378	SEQ00378	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000093	PATRIC	CDS	NA	Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	ec	NA
GV18|SEQ00417	42069564	VBIGarVag4823_0417	SEQ00417	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000095	PATRIC	CDS	NA	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	3.6.1.23	dUTP diphosphatase	ec	NA
GV18|SEQ00580	42069918	VBIGarVag4823_0580	SEQ00580	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000113	PATRIC	CDS	NA	Cell division trigger factor (EC 5.2.1.8)	5.2.1.8	Peptidylprolyl isomerase	ec	NA
GV18|SEQ00869	42070537	VBIGarVag4823_0869	SEQ00869	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000131	PATRIC	CDS	NA	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	1.1.1.1	Alcohol dehydrogenase	ec	NA
GV18|SEQ00869	42070537	VBIGarVag4823_0869	SEQ00869	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000131	PATRIC	CDS	NA	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	1.2.1.10	Acetaldehyde dehydrogenase (acetylating)	ec	NA
GV18|SEQ00918	42070640	VBIGarVag4823_0918	SEQ00918	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000134	PATRIC	CDS	NA	DNA gyrase subunit A (EC 5.99.1.3)	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing)	ec	NA
GV18|SEQ00936	42070677	VBIGarVag4823_0936	SEQ00936	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000135	PATRIC	CDS	NA	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase	ec	NA
GV18|SEQ01074	42070972	VBIGarVag4823_1074	SEQ01074	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000140	PATRIC	CDS	NA	Glycosyltransferase (EC 2.4.1.-)	2.4.1.-	Hexosyltransferases.	ec	NA
