GV12|SEQ00902
GV15|SEQ00303
GV17|SEQ00235
GV14|SEQ00849
GV30|SEQ00798
GV24|SEQ00540
GV31|SEQ00199
GV32|SEQ00448
GV28|SEQ00611
GV22|SEQ01311
GV20|SEQ00992
GV18|SEQ01208
GV29|SEQ00225
GV13|SEQ00788
GV26|SEQ00740
GV27|SEQ00183
GV16|SEQ01082
GV19|SEQ00528
GV25|SEQ00294
GV23|SEQ00737
GV16|SEQ01081
GV19|SEQ00529
GV35|SEQ00221
GV21|SEQ01052
GV07|SEQ00846
GV10|SEQ00359
GV08|SEQ00380
GV09|SEQ00431
GV11|SEQ01331
GV02|SEQ00487
GV06|SEQ00818
GV04|SEQ00417
GV05|SEQ00565
GV03|SEQ00544
GV13|SEQ00787
GV01|SEQ00215
