cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
THE1|SEQ00093	124733349	VBIBifThe274299_0093	SEQ00093	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	ec	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	ec	NA
THE1|SEQ00366	124733907	VBIBifThe274299_0366	SEQ00366	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Serine acetyltransferase (EC 2.3.1.30)	2.3.1.30	Serine O-acetyltransferase	ec	NA
THE1|SEQ00367	124733909	VBIBifThe274299_0367	SEQ00367	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Siderophore biosynthesis diaminobutyrate--2-oxoglutarate aminotransferase (EC 2.6.1.76)	2.6.1.76	Diaminobutyrate--2-oxoglutarate transaminase	ec	NA
THE1|SEQ00512	124734200	VBIBifThe274299_0512	SEQ00512	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	S-adenosylmethionine synthetase (EC 2.5.1.6)	2.5.1.6	Methionine adenosyltransferase	ec	NA
THE1|SEQ00525	124734226	VBIBifThe274299_0525	SEQ00525	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	D-lactate dehydrogenase (EC 1.1.1.28)	1.1.1.28	D-lactate dehydrogenase	ec	NA
THE1|SEQ00645	124734468	VBIBifThe274299_0645	SEQ00645	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	NA
THE1|SEQ00795	124734773	VBIBifThe274299_0795	SEQ00795	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	1.5.1.2	Pyrroline-5-carboxylate reductase	ec	NA
THE1|SEQ00901	124734994	VBIBifThe274299_0901	SEQ00901	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Serine--pyruvate aminotransferase (EC 2.6.1.51) / L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	2.6.1.51	Serine--pyruvate transaminase	ec	NA
THE1|SEQ00901	124734994	VBIBifThe274299_0901	SEQ00901	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Serine--pyruvate aminotransferase (EC 2.6.1.51) / L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	2.6.1.44	Alanine--glyoxylate transaminase	ec	NA
THE1|SEQ00906	124735004	VBIBifThe274299_0906	SEQ00906	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Hydantoin racemase (EC 5.1.99.-)	5.1.99.-	Acting on other compounds.	ec	NA
THE1|SEQ01169	124735558	VBIBifThe274299_1169	SEQ01169	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	5.4.3.8	Glutamate-1-semialdehyde 2,1-aminomutase	ec	NA
THE1|SEQ01188	124735596	VBIBifThe274299_1188	SEQ01188	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	NA
THE1|SEQ01281	124735784	VBIBifThe274299_1281	SEQ01281	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	3.2.1.26	Beta-fructofuranosidase	ec	NA
THE1|SEQ01391	124736020	VBIBifThe274299_1391	SEQ01391	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Proline racemase (EC 5.1.1.4)	5.1.1.4	Proline racemase	ec	NA
THE1|SEQ01393	124736024	VBIBifThe274299_1393	SEQ01393	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	D-proline reductase, 26 kDa subunit (EC 1.21.4.1) @ selenocysteine-containing	1.21.4.1	D-proline reductase (dithiol)	ec	NA
THE1|SEQ01395	124736028	VBIBifThe274299_1395	SEQ01395	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	D-proline reductase, 45 kDa subunit (EC 1.21.4.1) / D-proline reductase, 23 kDa subunit (EC 1.21.4.1)	1.21.4.1	D-proline reductase (dithiol)	ec	NA
THE1|SEQ01526	124736304	VBIBifThe274299_1526	SEQ01526	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	NA
THE1|SEQ01589	124736435	VBIBifThe274299_1589	SEQ01589	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Possible glyoxylase family protein (Lactoylglutathione lyase) (EC 4.4.1.5)	4.4.1.5	Lactoylglutathione lyase	ec	NA
