cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
GV01|SEQ00279	85494681	VBIGarVag247323_0279	SEQ00279	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV02|SEQ00672	85498161	VBIGarVag242669_0672	SEQ00672	Gardnerella vaginalis 00703C2mash	GV02	Gardnerella vaginalis 00703C2mash	ADEU01000009	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV04|SEQ01071	85482063	VBIGarVag246433_1071	SEQ01071	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000008	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV06|SEQ00677	85490138	VBIGarVag244004_0677	SEQ00677	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000018	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV08|SEQ00152	85474675	VBIGarVag251521_0152	SEQ00152	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000001	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV09|SEQ00980	55261172	VBIGarVag169280_0980	SEQ00980	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000008	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV11|SEQ00675	52549697	VBIGarVag171052_0675	SEQ00675	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000042	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV13|SEQ00617	85487207	VBIGarVag244533_0617	SEQ00617	Gardnerella vaginalis 55152	GV13	Gardnerella vaginalis 55152	ADEQ01000010	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV16|SEQ00927	85479021	VBIGarVag246379_0927	SEQ00927	Gardnerella vaginalis 75712	GV16	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV18|SEQ00532	42069814	VBIGarVag4823_0532	SEQ00532	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000107	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV19|SEQ00690	42628274	VBIGarVag39333_0691	SEQ00690	Gardnerella vaginalis ATCC 14019	GV19	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV20|SEQ00850	54190534	VBIGarVag188338_0850	SEQ00850	Gardnerella vaginalis HMP9231	GV20	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV21|SEQ00303	183967258	VBIGarVag274454_0303	SEQ00303	Gardnerella vaginalis JCP7275	GV21	Gardnerella vaginalis JCP7275	ATJS01000011	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV22|SEQ00064	183969513	VBIGarVag276801_0064	SEQ00064	Gardnerella vaginalis JCP7276	GV22	Gardnerella vaginalis JCP7276	ATJR01000001	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV23|SEQ00115	183972527	VBIGarVag276017_0115	SEQ00115	Gardnerella vaginalis JCP7659	GV23	Gardnerella vaginalis JCP7659	ATJQ01000009	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV24|SEQ01008	183977247	VBIGarVag268944_1009	SEQ01008	Gardnerella vaginalis JCP7672	GV24	Gardnerella vaginalis JCP7672	ATJP01000086	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV25|SEQ00724	183979415	VBIGarVag270495_0724	SEQ00724	Gardnerella vaginalis JCP7719	GV25	Gardnerella vaginalis JCP7719	ATJO01000064	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
GV26|SEQ00364	183981506	VBIGarVag272749_0364	SEQ00364	Gardnerella vaginalis JCP8017A	GV26	Gardnerella vaginalis JCP8017A	ATJN01000023	PATRIC	CDS	NA	Lactaldehyde reductase (EC 1.1.1.77)	GO:0008912	lactaldehyde reductase activity	go	clust_0974
