all_core	group_core_not_uniq	group_core_uniq	accessory	singleton
GV04	0.515985130111524	0.208921933085502	0	0.24907063197026	0.0260223048327138
GV08	0.538401861908456	0.21799844840962	0	0.21799844840962	0.0256012412723041
GV09	0.531393568147014	0.215160796324655	0	0.22052067381317	0.0329249617151608
GV16	0.535080956052429	0.216653816499614	0	0.232074016962221	0.0161912104857363
GV18	0.537984496124031	0.217829457364341	0	0.192248062015504	0.051937984496124
GV19	0.526156178923427	0.213040181956027	0	0.226686884003033	0.0341167551175133
GV20	0.512555391432792	0.207533234859675	0	0.255539143279173	0.0243722304283604
GV22	0.531800766283525	0.215325670498084	0	0.229885057471264	0.0229885057471264
GV24	0.561034761519806	0.227162489894907	0	0.189167340339531	0.0226354082457559
GV06	0.515985130111524	0.225278810408922	0	0.223048327137546	0.0356877323420074
GV11	0.528963414634146	0.23094512195122	0	0.196646341463415	0.0434451219512195
GV13	0.535080956052429	0.233616037008481	0	0.193523515805705	0.0377794911333847
GV21	0.567457072771872	0.247751430907604	0	0.147996729354047	0.0367947669664759
GV30	0.518297236743839	0.226288274831964	0	0.215085884988798	0.0403286034353996
GV28	0.578815679733111	0.23185988323603	0.000834028356964137	0.153461217681401	0.0350291909924937
GV29	0.57689110556941	0.231088944305902	0.000831255195344971	0.1571072319202	0.0340814630091438
GV31	0.554313099041534	0.222044728434505	0.000798722044728434	0.190894568690096	0.0319488817891374
GV32	0.546456692913386	0.218897637795276	0.00078740157480315	0.190551181102362	0.0433070866141732
GV35	0.59265584970111	0.237403928266439	0.00085397096498719	0.132365499573015	0.0367207514944492
GV01	0.549920760697306	0.222662440570523	0.00316957210776545	0.194928684627575	0.0293185419968304
GV02	0.563311688311688	0.228084415584416	0.00324675324675325	0.168019480519481	0.0373376623376623
GV23	0.556535685645549	0.225340817963111	0.00320769847634322	0.191659983961508	0.0232558139534884
GV25	0.535493827160494	0.216820987654321	0.00308641975308642	0.207561728395062	0.037037037037037
GV26	0.518684603886398	0.210014947683109	0.00298953662182362	0.248878923766816	0.0194319880418535
GV27	0.522984174830445	0.211755840241145	0.00301431801055011	0.246420497362472	0.0158251695553881
GV03	0.597760551248923	0.195521102497847	0.00258397932816537	0.169681309216193	0.0344530577088717
GV05	0.589134125636672	0.192699490662139	0.00254668930390492	0.191001697792869	0.0246179966044143
GV07	0.587140439932318	0.192047377326565	0.00253807106598985	0.154822335025381	0.0634517766497462
GV14	0.593162393162393	0.194017094017094	0.00256410256410256	0.166666666666667	0.0435897435897436
GV33	0.553870710295291	0.181165203511572	0.00239425379090184	0.235434956105347	0.0271348762968875
GV34	0.560581583198708	0.183360258481422	0.0024232633279483	0.238287560581583	0.0153473344103393
GV10	0.592150170648464	0.224402730375427	0.0102389078498294	0.132252559726962	0.0409556313993174
GV12	0.546026750590087	0.206923682140047	0.00944138473642801	0.171518489378442	0.0660896931549961
GV15	0.604529616724739	0.229094076655052	0.0104529616724739	0.111498257839721	0.0444250871080139
GV17	0.577371048252912	0.218801996672213	0.00998336106489185	0.153910149750416	0.0399334442595674
