cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
ADO1|SEQ00012	27186216	VBIBifAdo136061_0012	SEQ00012	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Oligo-1,6-glucosidase (EC 3.2.1.10)	3.2.1.10	Oligo-1,6-glucosidase	ec	clust_0012
ADO1|SEQ00019	27186230	VBIBifAdo136061_0019	SEQ00019	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	3.5.4.-	In cyclic amidines.	ec	clust_0268
ADO1|SEQ00023	27186238	VBIBifAdo136061_0023	SEQ00023	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	3.5.4.13	dCTP deaminase	ec	clust_0271
ADO1|SEQ00034	27186260	VBIBifAdo136061_0034	SEQ00034	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	ec	clust_0269
ADO1|SEQ00036	27186264	VBIBifAdo136061_0036	SEQ00036	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	3.6.3.19	Maltose-transporting ATPase	ec	clust_0309
ADO1|SEQ00052	27186296	VBIBifAdo136061_0052	SEQ00052	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Oligo-1,6-glucosidase (EC 3.2.1.10)	3.2.1.10	Oligo-1,6-glucosidase	ec	clust_0012
ADO1|SEQ00105	27186426	VBIBifAdo136061_0105	SEQ00105	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Peptide deformylase (EC 3.5.1.88)	3.5.1.88	Peptide deformylase	ec	clust_0250
ADO1|SEQ00106	27186428	VBIBifAdo136061_0106	SEQ00106	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Phosphoglucosamine mutase (EC 5.4.2.10)	5.4.2.10	Phosphoglucosamine mutase	ec	clust_0251
ADO1|SEQ00107	27186430	VBIBifAdo136061_0107	SEQ00107	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Membrane alanine aminopeptidase N (EC 3.4.11.2)	3.4.11.2	Membrane alanyl aminopeptidase	ec	clust_0252
ADO1|SEQ00130	27186476	VBIBifAdo136061_0130	SEQ00130	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	ec	clust_0256
ADO1|SEQ00131	27186478	VBIBifAdo136061_0131	SEQ00131	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	ec	clust_0257
ADO1|SEQ00140	27186496	VBIBifAdo136061_0140	SEQ00140	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1.3.3.1	Transferred entry: 1.3.98.1	ec	clust_0406
ADO1|SEQ00142	27186500	VBIBifAdo136061_0142	SEQ00142	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	2.4.1.129	Peptidoglycan glycosyltransferase	ec	clust_0405
ADO1|SEQ00229	27186696	VBIBifAdo136061_0229	SEQ00229	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	2.3.1.-	Transferring groups other than amino-acyl groups.	ec	clust_0174
ADO1|SEQ00232	27186702	VBIBifAdo136061_0232	SEQ00232	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	DNA polymerase III delta subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	ec	clust_0049
ADO1|SEQ00235	27186708	VBIBifAdo136061_0235	SEQ00235	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Leucyl-tRNA synthetase (EC 6.1.1.4)	6.1.1.4	Leucine--tRNA ligase	ec	clust_0177
ADO1|SEQ00275	27186800	VBIBifAdo136061_0275	SEQ00275	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Dimethyladenosine transferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	ec	clust_0306
ADO1|SEQ00278	27186806	VBIBifAdo136061_0278	SEQ00278	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	2.7.7.21	Transferred entry: 2.7.7.72	ec	clust_0305
ADO1|SEQ00284	27186818	VBIBifAdo136061_0284	SEQ00284	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Thioredoxin reductase (EC 1.8.1.9)	1.8.1.9	Thioredoxin-disulfide reductase	ec	clust_0302
ADO1|SEQ00296	27186842	VBIBifAdo136061_0296	SEQ00296	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	DNA polymerase III beta subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	ec	clust_0296
ADO1|SEQ00299	27186848	VBIBifAdo136061_0299	SEQ00299	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	DNA gyrase subunit B (EC 5.99.1.3)	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing)	ec	clust_0293
ADO1|SEQ00300	27186850	VBIBifAdo136061_0300	SEQ00300	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	DNA gyrase subunit A (EC 5.99.1.3)	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing)	ec	clust_0292
ADO1|SEQ00307	27186870	VBIBifAdo136061_0307	SEQ00307	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Carbonic anhydrase (EC 4.2.1.1)	4.2.1.1	Carbonate dehydratase	ec	clust_0274
ADO1|SEQ00308	27186872	VBIBifAdo136061_0308	SEQ00308	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	4.1.1.31	Phosphoenolpyruvate carboxylase	ec	clust_0275
ADO1|SEQ00312	27186880	VBIBifAdo136061_0312	SEQ00312	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	6.1.1.2	Tryptophan--tRNA ligase	ec	clust_0276
ADO1|SEQ00321	27186898	VBIBifAdo136061_0321	SEQ00321	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Glycogen phosphorylase (EC 2.4.1.1)	2.4.1.1	Phosphorylase	ec	clust_0015
ADO1|SEQ00331	27186918	VBIBifAdo136061_0331	SEQ00331	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Serine/threonine-protein kinase PknA (EC 2.7.11.1)	2.7.11.1	Non-specific serine/threonine protein kinase	ec	clust_0284
