cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
ADO1|SEQ00112	27186440	VBIBifAdo136061_0112	SEQ00112	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		Allantoinase (EC 3.5.2.5)	FIG00002008	figfam	clust_2416
ADO1|SEQ00389	27187039	VBIBifAdo136061_0389	SEQ00389	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Sulfur carrier protein adenylyltransferase ThiF	FIG00001002	figfam	clust_2417
ADO1|SEQ01837	27190045	VBIBifAdo136061_1837	SEQ01837	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264459	PATRIC	CDS		FIG00425592: hypothetical protein	FIG00671937	figfam	clust_1808
BIF1|SEQ00510	86883555	VBIBifBif87902_0510	SEQ00510	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		FIG00425592: hypothetical protein	FIG00671937	figfam	clust_1808
GV10|SEQ00507	32147066	VBIGarVag136958_0507	SEQ00507	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	FIG00425592: hypothetical protein	FIG00671937	figfam	clust_1808
GV10|SEQ00673	32147414	VBIGarVag136958_0673	SEQ00673	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	FIG01304617	figfam	clust_2606
GV10|SEQ00674	32147416	VBIGarVag136958_0674	SEQ00674	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoin permease	FIG00007291	figfam	clust_2607
GV10|SEQ00675	32147418	VBIGarVag136958_0675	SEQ00675	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	FIG00002008	figfam	clust_2416
GV10|SEQ00676	32147420	VBIGarVag136958_0676	SEQ00676	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Sulfur carrier protein ThiS	FIG00058747	figfam	clust_2881
GV10|SEQ00677	32147422	VBIGarVag136958_0677	SEQ00677	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Sulfur carrier protein adenylyltransferase ThiF	FIG00001002	figfam	clust_2417
GV10|SEQ00707	32147484	VBIGarVag136958_0707	SEQ00707	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_2882
GV10|SEQ00770	32147612	VBIGarVag136958_0770	SEQ00770	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_2883
GV12|SEQ00109	37852877	VBIGarVag144721_0109	SEQ00109	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	FIG01304617	figfam	clust_2606
