cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
GV04|SEQ00312	85480488	VBIGarVag246433_0312	SEQ00312	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV06|SEQ00411	85489566	VBIGarVag244004_0411	SEQ00411	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000012	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV09|SEQ00174	55259503	VBIGarVag169280_0174	SEQ00174	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000003	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV10|SEQ01179	32148462	VBIGarVag136958_1179	SEQ01179	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV11|SEQ00424	52549163	VBIGarVag171052_0424	SEQ00424	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000029	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV12|SEQ00516	37853717	VBIGarVag144721_0516	SEQ00516	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV13|SEQ00028	85485984	VBIGarVag244533_0028	SEQ00028	Gardnerella vaginalis 55152	GV13	Gardnerella vaginalis 55152	ADEQ01000002	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV15|SEQ01102	85485804	VBIGarVag249709_1102	SEQ01102	Gardnerella vaginalis 6420B	GV15	Gardnerella vaginalis 6420B	ADEP01000013	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV16|SEQ00096	85477298	VBIGarVag246379_0096	SEQ00096	Gardnerella vaginalis 75712	GV16	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
GV17|SEQ00648	37851356	VBIGarVag146634_0648	SEQ00648	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000005	PATRIC	CDS	NA	ABC-type sugar transport system, ATP-binding protein (EC 3.6.3.17)	3.6.3.17	Monosaccharide-transporting ATPase	ec	clust_1087
