cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV01|SEQ00727	VBIGarVag247323_0727	Gardnerella vaginalis 00703Bmash	ADET01000007	PATRIC	CDS	85495616	8453	8824	-	372		FIG00672535: hypothetical protein	GV01	clust_0859
GV02|SEQ01004	VBIGarVag242669_1004	Gardnerella vaginalis 00703C2mash	ADEU01000020	PATRIC	CDS	85498863	8710	9081	-	372		FIG00672535: hypothetical protein	GV02	clust_0859
GV03|SEQ00457	VBIGarVag247424_0457	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	85500320	87640	88011	+	372		FIG00672535: hypothetical protein	GV03	clust_0859
GV04|SEQ01173	VBIGarVag246433_1173	Gardnerella vaginalis 0288E	ADEN01000011	PATRIC	CDS	85482275	4857	5228	-	372		FIG00672535: hypothetical protein	GV04	clust_0859
GV05|SEQ00120	VBIGarVag174900_0120	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	52545948	5896	6267	-	372		FIG00672535: hypothetical protein	GV05	clust_0859
GV06|SEQ00523	VBIGarVag244004_0523	Gardnerella vaginalis 1400E	ADER01000015	PATRIC	CDS	85489805	34694	35065	+	372		FIG00672535: hypothetical protein	GV06	clust_0859
GV07|SEQ01081	VBIGarVag249177_1081	Gardnerella vaginalis 1500E	ADES01000020	PATRIC	CDS	85493848	89194	89565	+	372		FIG00672535: hypothetical protein	GV07	clust_0859
GV08|SEQ00558	VBIGarVag251521_0558	Gardnerella vaginalis 284V	ADEL01000006	PATRIC	CDS	85475531	4749	5120	-	372		FIG00672535: hypothetical protein	GV08	clust_0859
GV09|SEQ01001	VBIGarVag169280_1001	Gardnerella vaginalis 315-A	AFDI01000009	PATRIC	CDS	55261223	4698	5069	-	372		FIG00672535: hypothetical protein	GV09	clust_0859
GV11|SEQ00039	VBIGarVag171052_0039	Gardnerella vaginalis 41V	AEJE01000002	PATRIC	CDS	52548340	51087	51458	+	372		FIG00672535: hypothetical protein	GV11	clust_0859
GV13|SEQ01193	VBIGarVag244533_1193	Gardnerella vaginalis 55152	ADEQ01000024	PATRIC	CDS	85488438	4965	5336	-	372		FIG00672535: hypothetical protein	GV13	clust_0859
GV14|SEQ00882	VBIGarVag244375_0882	Gardnerella vaginalis 6119V5	ADEW01000009	PATRIC	CDS	85503658	1549	1920	-	372		FIG00672535: hypothetical protein	GV14	clust_0859
GV15|SEQ00003	VBIGarVag249709_0003	Gardnerella vaginalis 6420B	ADEP01000001	PATRIC	CDS	85483492	1430	1801	-	372		FIG00672535: hypothetical protein	GV15	clust_0859
GV16|SEQ00007	VBIGarVag246379_0007	Gardnerella vaginalis 75712	ADEM01000002	PATRIC	CDS	85477118	4804	5175	-	372		FIG00672535: hypothetical protein	GV16	clust_0859
GV18|SEQ00489	VBIGarVag4823_0489	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000102	PATRIC	CDS	42069715	7505	7876	+	372		FIG00672535: hypothetical protein	GV18	clust_0859
GV19|SEQ00205	VBIGarVag39333_0205	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	42627263	245652	246023	-	372		FIG00672535: hypothetical protein	GV19	clust_0859
GV20|SEQ00086	VBIGarVag188338_0086	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	54188956	108111	108482	-	372		FIG00672535: hypothetical protein	GV20	clust_0859
GV21|SEQ00673	VBIGarVag274454_0674	Gardnerella vaginalis JCP7275	ATJS01000041	PATRIC	CDS	183968042	217	588	-	372		FIG00672535: hypothetical protein	GV21	clust_0859
GV22|SEQ00582	VBIGarVag276801_0583	Gardnerella vaginalis JCP7276	ATJR01000018	PATRIC	CDS	183970600	4559	4930	-	372		FIG00672535: hypothetical protein	GV22	clust_0859
GV23|SEQ00438	VBIGarVag276017_0438	Gardnerella vaginalis JCP7659	ATJQ01000033	PATRIC	CDS	183973221	215	586	-	372		FIG00672535: hypothetical protein	GV23	clust_0859
GV24|SEQ00184	VBIGarVag268944_0185	Gardnerella vaginalis JCP7672	ATJP01000008	PATRIC	CDS	183975473	2823	3194	-	372		FIG00672535: hypothetical protein	GV24	clust_0859
GV25|SEQ00473	VBIGarVag270495_0473	Gardnerella vaginalis JCP7719	ATJO01000039	PATRIC	CDS	183978878	8188	8559	-	372		FIG00672535: hypothetical protein	GV25	clust_0859
