cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
ANI1|SEQ00090	86845077	VBIBifAni240121_0090	SEQ00090	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Ribosomal RNA large subunit methyltransferase A (EC 2.1.1.51)	2.1.1.51	Transferred entry: 2.1.1.187 and 2.1.1.188	ec	clust_3400
ANI1|SEQ00114	86845129	VBIBifAni240121_0114	SEQ00114	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	ec	clust_3411
ANI1|SEQ00437	86845804	VBIBifAni240121_0437	SEQ00437	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	2.5.1.48	Cystathionine gamma-synthase	ec	clust_3457
ANI1|SEQ00437	86845804	VBIBifAni240121_0437	SEQ00437	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase	ec	clust_3457
ANI1|SEQ00438	86845806	VBIBifAni240121_0438	SEQ00438	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase	ec	clust_3458
ANI1|SEQ00438	86845806	VBIBifAni240121_0438	SEQ00438	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	2.5.1.48	Cystathionine gamma-synthase	ec	clust_3458
ANI1|SEQ00450	86845832	VBIBifAni240121_0450	SEQ00450	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	ec	clust_3462
ANI1|SEQ00451	86845834	VBIBifAni240121_0451	SEQ00451	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Quinone oxidoreductase (EC 1.6.5.5)	1.6.5.5	NADPH:quinone reductase	ec	clust_3463
ANI1|SEQ00468	86845870	VBIBifAni240121_0468	SEQ00468	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	5'-nucleotidase (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	ec	clust_3466
ANI1|SEQ00586	86846116	VBIBifAni240121_0586	SEQ00586	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Glycerol dehydrogenase (EC 1.1.1.6)	1.1.1.6	Glycerol dehydrogenase	ec	clust_3492
ANI1|SEQ00913	86846800	VBIBifAni240121_0913	SEQ00913	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Pullulanase (EC 3.2.1.41)	3.2.1.41	Pullulanase	ec	clust_3536
ANI1|SEQ00914	86846802	VBIBifAni240121_0914	SEQ00914	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Pullulanase (EC 3.2.1.41)	3.2.1.41	Pullulanase	ec	clust_3537
ANI1|SEQ00939	86846854	VBIBifAni240121_0939	SEQ00939	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	ec	clust_3543
ANI1|SEQ00942	86846860	VBIBifAni240121_0942	SEQ00942	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Cytoplasmic alpha-amylase (EC 3.2.1.1)	3.2.1.1	Alpha-amylase	ec	clust_3546
ANI1|SEQ00949	86846874	VBIBifAni240121_0949	SEQ00949	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Adenosine deaminase (EC 3.5.4.4)	3.5.4.4	Adenosine deaminase	ec	clust_3549
