cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
ADO1|SEQ00012	27186216	VBIBifAdo136061_0012	SEQ00012	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Oligo-1,6-glucosidase (EC 3.2.1.10)	3.2.1.10	Oligo-1,6-glucosidase	ec	clust_0011
ADO1|SEQ00052	27186296	VBIBifAdo136061_0052	SEQ00052	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Oligo-1,6-glucosidase (EC 3.2.1.10)	3.2.1.10	Oligo-1,6-glucosidase	ec	clust_0011
ADO1|SEQ00819	27187938	VBIBifAdo136061_0819	SEQ00819	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	3.1.5.1	dGTPase	ec	clust_0713
ADO1|SEQ00839	27187986	VBIBifAdo136061_0839	SEQ00839	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	2-dehydropantoate 2-reductase (EC 1.1.1.169)	1.1.1.169	2-dehydropantoate 2-reductase	ec	clust_0858
ADO1|SEQ00879	27188068	VBIBifAdo136061_0879	SEQ00879	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Guanylate kinase (EC 2.7.4.8)	2.7.4.8	Guanylate kinase	ec	clust_0595
ADO1|SEQ01158	27188651	VBIBifAdo136061_1158	SEQ01158	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264455	PATRIC	CDS	NA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	ec	clust_0857
ADO1|SEQ01254	27188849	VBIBifAdo136061_1254	SEQ01254	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264455	PATRIC	CDS	NA	Pullulanase (EC 3.2.1.41)	3.2.1.41	Pullulanase	ec	clust_0007
ADO1|SEQ01255	27188851	VBIBifAdo136061_1255	SEQ01255	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264455	PATRIC	CDS	NA	Pullulanase (EC 3.2.1.41)	3.2.1.41	Pullulanase	ec	clust_0007
ADO1|SEQ01515	27189390	VBIBifAdo136061_1515	SEQ01515	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264458	PATRIC	CDS	NA	Ribokinase (EC 2.7.1.15)	2.7.1.15	Ribokinase	ec	clust_0006
ADO1|SEQ02015	27190415	VBIBifAdo136061_2015	SEQ02015	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264459	PATRIC	CDS	NA	Pullulanase (EC 3.2.1.41)	3.2.1.41	Pullulanase	ec	clust_0846
ANI1|SEQ00050	86844997	VBIBifAni240121_0050	SEQ00050	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)	1.16.3.1	Ferroxidase	ec	clust_0051
ANI1|SEQ00326	86845568	VBIBifAni240121_0326	SEQ00326	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	L-lactate dehydrogenase (EC 1.1.1.27)	1.1.1.27	L-lactate dehydrogenase	ec	clust_0883
