cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
BIF1|SEQ00020	86882533	VBIBifBif87902_0020	SEQ00020	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	ec	NA
BIF1|SEQ00213	86882939	VBIBifBif87902_0213	SEQ00213	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	3.1.4.46	Glycerophosphodiester phosphodiesterase	ec	NA
BIF1|SEQ00229	86882971	VBIBifBif87902_0229	SEQ00229	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	NA
BIF1|SEQ00279	86883085	VBIBifBif87902_0279	SEQ00279	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	2.1.1.144	Trans-aconitate 2-methyltransferase	ec	NA
BIF1|SEQ00335	86883201	VBIBifBif87902_0335	SEQ00335	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Mg(2+) transport ATPase, P-type (EC 3.6.3.2)	3.6.3.2	Magnesium-importing ATPase	ec	NA
BIF1|SEQ00339	86883209	VBIBifBif87902_0339	SEQ00339	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	PTS system, galactitol-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	ec	NA
BIF1|SEQ00341	86883213	VBIBifBif87902_0341	SEQ00341	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-)	5.1.3.-	Acting on carbohydrates and derivatives.	ec	NA
BIF1|SEQ00456	86883445	VBIBifBif87902_0456	SEQ00456	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	ec	NA
BIF1|SEQ00487	86883509	VBIBifBif87902_0487	SEQ00487	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	3.2.1.26	Beta-fructofuranosidase	ec	NA
BIF1|SEQ00693	86883923	VBIBifBif87902_0693	SEQ00693	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	3.6.3.40	Teichoic-acid-transporting ATPase	ec	NA
BIF1|SEQ00697	86883931	VBIBifBif87902_0697	SEQ00697	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	2.6.1.85	Aminodeoxychorismate synthase	ec	NA
BIF1|SEQ00698	86883933	VBIBifBif87902_0698	SEQ00698	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Aminodeoxychorismate lyase (EC 4.1.3.38)	4.1.3.38	Aminodeoxychorismate lyase	ec	NA
BIF1|SEQ00961	86884484	VBIBifBif87902_0961	SEQ00961	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	ec	NA
BIF1|SEQ01026	86884616	VBIBifBif87902_1026	SEQ01026	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	NAD(P)H oxidoreductase YRKL (EC 1.6.99.-) @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2	1.6.99.-	With other acceptors.	ec	NA
BIF1|SEQ01117	86884802	VBIBifBif87902_1117	SEQ01117	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	1.2.4.-	With a disulfide as acceptor.	ec	NA
BIF1|SEQ01118	86884804	VBIBifBif87902_1118	SEQ01118	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	1.2.4.-	With a disulfide as acceptor.	ec	NA
BIF1|SEQ01129	86884826	VBIBifBif87902_1129	SEQ01129	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	S-adenosylmethionine synthetase (EC 2.5.1.6)	2.5.1.6	Methionine adenosyltransferase	ec	NA
BIF1|SEQ01339	86885265	VBIBifBif87902_1339	SEQ01339	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Cadmium-transporting ATPase (EC 3.6.3.3)	3.6.3.3	Cadmium-exporting ATPase	ec	NA
BIF1|SEQ01425	86885448	VBIBifBif87902_1425	SEQ01425	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	ec	NA
BIF1|SEQ01470	86885540	VBIBifBif87902_1470	SEQ01470	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	3.2.1.50	Alpha-N-acetylglucosaminidase	ec	NA
BIF1|SEQ01496	86885596	VBIBifBif87902_1496	SEQ01496	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	ec	NA
BIF1|SEQ01545	86885704	VBIBifBif87902_1545	SEQ01545	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-lactamase (EC 3.5.2.6)	3.5.2.6	Beta-lactamase	ec	NA
BIF1|SEQ01559	86885732	VBIBifBif87902_1559	SEQ01559	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	ec	NA
BIF1|SEQ01597	86885811	VBIBifBif87902_1597	SEQ01597	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Biotin-protein ligase (EC 6.3.4.15)	6.3.4.15	Biotin--[acetyl-CoA-carboxylase] ligase	ec	NA
BIF1|SEQ01697	86886017	VBIBifBif87902_1697	SEQ01697	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	ec	NA
BIF1|SEQ01698	86886019	VBIBifBif87902_1698	SEQ01698	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	ec	NA
