cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
BRE1|SEQ00714	268603400	VBIBifBre340958_0714	SEQ00714	Bifidobacterium breve 12L	BRE1	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE2|SEQ00810	268607562	VBIBifBre337368_0810	SEQ00810	Bifidobacterium breve 689b	BRE2	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE3|SEQ01061	54193847	VBIBifBre167886_1061	SEQ01061	Bifidobacterium breve ACS-071-V-Sch8b	BRE3	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE4|SEQ00749	268611584	VBIBifBre327712_0749	SEQ00749	Bifidobacterium breve JCM 7017	BRE4	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE5|SEQ00765	268615662	VBIBifBre336369_0766	SEQ00765	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE6|SEQ00639	177654437	VBIBifBre268992_0639	SEQ00639	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000037	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE7|SEQ00759	268619962	VBIBifBre340732_0759	SEQ00759	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE8|SEQ00781	268624115	VBIBifBre176493_0781	SEQ00781	Bifidobacterium breve S27	BRE8	Bifidobacterium breve S27	CP006716	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
BRE9|SEQ00832	58445746	VBIBifBre30019_0832	SEQ00832	Bifidobacterium breve UCC2003	BRE9	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
INF1|SEQ00678	46885310	VBIBifLon182273_0678	SEQ00678	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
LON1|SEQ00680	21118429	VBIBifLon107831_0681	SEQ00680	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
LON3|SEQ00551	42768067	VBIBifLon156230_0551	SEQ00551	Bifidobacterium longum subsp. longum F8	LON3	Bifidobacterium longum subsp. longum F8	FP929034	PATRIC	CDS	NA	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	3.2.2.20	DNA-3-methyladenine glycosylase I	ec	clust_1831
