cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
GV10|SEQ00673	32147414	VBIGarVag136958_0673	SEQ00673	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	3.5.3.9	Allantoate deiminase	ec	clust_1669
GV10|SEQ00675	32147418	VBIGarVag136958_0675	SEQ00675	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	3.5.2.5	Allantoinase	ec	clust_1671
GV10|SEQ01078	32148248	VBIGarVag136958_1078	SEQ01078	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	clust_1681
GV12|SEQ00109	37852877	VBIGarVag144721_0109	SEQ00109	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	3.5.3.9	Allantoate deiminase	ec	clust_1669
GV12|SEQ00111	37852881	VBIGarVag144721_0111	SEQ00111	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	3.5.2.5	Allantoinase	ec	clust_1671
GV12|SEQ00489	37853661	VBIGarVag144721_0489	SEQ00489	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	clust_1681
GV15|SEQ00716	85484987	VBIGarVag249709_0716	SEQ00716	Gardnerella vaginalis 6420B	GV15	Gardnerella vaginalis 6420B	ADEP01000006	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	3.5.3.9	Allantoate deiminase	ec	clust_1669
GV15|SEQ00718	85484991	VBIGarVag249709_0718	SEQ00718	Gardnerella vaginalis 6420B	GV15	Gardnerella vaginalis 6420B	ADEP01000006	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	3.5.2.5	Allantoinase	ec	clust_1671
GV15|SEQ00845	85485257	VBIGarVag249709_0845	SEQ00845	Gardnerella vaginalis 6420B	GV15	Gardnerella vaginalis 6420B	ADEP01000009	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	clust_1681
GV17|SEQ00673	37851407	VBIGarVag146634_0673	SEQ00673	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000006	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	clust_1681
GV17|SEQ00885	37851847	VBIGarVag146634_0885	SEQ00885	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	3.5.2.5	Allantoinase	ec	clust_1671
GV17|SEQ00887	37851851	VBIGarVag146634_0887	SEQ00887	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	3.5.3.9	Allantoate deiminase	ec	clust_1669
