cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
GV03|SEQ00411	85500227	VBIGarVag247424_0411	SEQ00411	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV03|SEQ00412	85500229	VBIGarVag247424_0412	SEQ00412	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV05|SEQ00166	52546041	VBIGarVag174900_0166	SEQ00166	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV05|SEQ00167	52546043	VBIGarVag174900_0167	SEQ00167	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV07|SEQ01032	85493750	VBIGarVag249177_1032	SEQ01032	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000020	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV07|SEQ01033	85493752	VBIGarVag249177_1033	SEQ01033	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000020	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV10|SEQ01116	32148330	VBIGarVag136958_1116	SEQ01116	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV10|SEQ01117	32148332	VBIGarVag136958_1117	SEQ01117	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV12|SEQ00022	37852694	VBIGarVag144721_0022	SEQ00022	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000002	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV12|SEQ00023	37852696	VBIGarVag144721_0023	SEQ00023	Gardnerella vaginalis 5-1	GV12	Gardnerella vaginalis 5-1	NZ_ADAN01000002	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV14|SEQ00929	85503753	VBIGarVag244375_0929	SEQ00929	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000009	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV14|SEQ00930	85503755	VBIGarVag244375_0930	SEQ00930	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000009	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV15|SEQ00051	85483588	VBIGarVag249709_0051	SEQ00051	Gardnerella vaginalis 6420B	GV15	Gardnerella vaginalis 6420B	ADEP01000001	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
GV15|SEQ00052	85483590	VBIGarVag249709_0052	SEQ00052	Gardnerella vaginalis 6420B	GV15	Gardnerella vaginalis 6420B	ADEP01000001	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV17|SEQ00021	37850038	VBIGarVag146634_0021	SEQ00021	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000001	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	ec	clust_1362
GV17|SEQ00022	37850040	VBIGarVag146634_0022	SEQ00022	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000001	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_1363
