"cds_id"	"ortho_id"	"full_id"	"short_id"	"seq_id"	"strain_id"
"GV01|SEQ00007"	"clust_0751"	"fid|85494106|locus|VBIGarVag247323_0007|   Manganese ABC transporter, inner membrane permease protein SitD   [Gardnerella vaginalis 00703Bmash]"	"fid|85494106|locus|VBIGarVag247323_0007"	"SEQ00007"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00014"	"clust_0750"	"fid|85494120|locus|VBIGarVag247323_0014|   Homoserine dehydrogenase (EC 1.1.1.3)   [Gardnerella vaginalis 00703Bmash]"	"fid|85494120|locus|VBIGarVag247323_0014"	"SEQ00014"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00024"	"clust_0749"	"fid|85494140|locus|VBIGarVag247323_0024|   LSU ribosomal protein L21p   [Gardnerella vaginalis 00703Bmash]"	"fid|85494140|locus|VBIGarVag247323_0024"	"SEQ00024"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00030"	"clust_0748"	"fid|85494154|locus|VBIGarVag247323_0030|   Transcription antitermination protein NusG   [Gardnerella vaginalis 00703Bmash]"	"fid|85494154|locus|VBIGarVag247323_0030"	"SEQ00030"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00032"	"clust_0747"	"fid|85494158|locus|VBIGarVag247323_0032|   Substrate-specific component BioY of biotin ECF transporter   [Gardnerella vaginalis 00703Bmash]"	"fid|85494158|locus|VBIGarVag247323_0032"	"SEQ00032"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00036"	"clust_0746"	"fid|85494166|locus|VBIGarVag247323_0036|   Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)   [Gardnerella vaginalis 00703Bmash]"	"fid|85494166|locus|VBIGarVag247323_0036"	"SEQ00036"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00054"	"clust_0744"	"fid|85494206|locus|VBIGarVag247323_0054|   tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)   [Gardnerella vaginalis 00703Bmash]"	"fid|85494206|locus|VBIGarVag247323_0054"	"SEQ00054"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00055"	"clust_0745"	"fid|85494208|locus|VBIGarVag247323_0055|   FIG00424299: hypothetical protein   [Gardnerella vaginalis 00703Bmash]"	"fid|85494208|locus|VBIGarVag247323_0055"	"SEQ00055"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00060"	"clust_0743"	"fid|85494218|locus|VBIGarVag247323_0060|   FIG00672025: hypothetical protein   [Gardnerella vaginalis 00703Bmash]"	"fid|85494218|locus|VBIGarVag247323_0060"	"SEQ00060"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00076"	"clust_0790"	"fid|85494252|locus|VBIGarVag247323_0076|   UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase   [Gardnerella vaginalis 00703Bmash]"	"fid|85494252|locus|VBIGarVag247323_0076"	"SEQ00076"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00082"	"clust_0791"	"fid|85494264|locus|VBIGarVag247323_0082|   Translation initiation factor 3   [Gardnerella vaginalis 00703Bmash]"	"fid|85494264|locus|VBIGarVag247323_0082"	"SEQ00082"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00083"	"clust_0792"	"fid|85494266|locus|VBIGarVag247323_0083|   LSU ribosomal protein L35p   [Gardnerella vaginalis 00703Bmash]"	"fid|85494266|locus|VBIGarVag247323_0083"	"SEQ00083"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00084"	"clust_0793"	"fid|85494268|locus|VBIGarVag247323_0084|   LSU ribosomal protein L20p   [Gardnerella vaginalis 00703Bmash]"	"fid|85494268|locus|VBIGarVag247323_0084"	"SEQ00084"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00090"	"clust_0742"	"fid|85494280|locus|VBIGarVag247323_0090|   FIG00672408: hypothetical protein   [Gardnerella vaginalis 00703Bmash]"	"fid|85494280|locus|VBIGarVag247323_0090"	"SEQ00090"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00110"	"clust_0261"	"fid|85494320|locus|VBIGarVag247323_0110|   ABC transporter, ATP-binding/permease protein   [Gardnerella vaginalis 00703Bmash]"	"fid|85494320|locus|VBIGarVag247323_0110"	"SEQ00110"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00134"	"clust_0741"	"fid|85494374|locus|VBIGarVag247323_0134|   FIG00672086: hypothetical protein   [Gardnerella vaginalis 00703Bmash]"	"fid|85494374|locus|VBIGarVag247323_0134"	"SEQ00134"	"Gardnerella vaginalis 00703Bmash"
"GV01|SEQ00136"	"clust_0740"	"fid|85494378|locus|VBIGarVag247323_0136|   SSU ribosomal protein S7p (S5e)   [Gardnerella vaginalis 00703Bmash]"	"fid|85494378|locus|VBIGarVag247323_0136"	"SEQ00136"	"Gardnerella vaginalis 00703Bmash"
