"","ortho_id","top_hit"
"1","clust_0001","ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"2","clust_0002","4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"3","clust_0003","putative alpha-amylase"
"4","clust_0004","FIG00672113: hypothetical protein"
"5","clust_0005","Ribokinase (EC 2.7.1.15)"
"6","clust_0006","Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"7","clust_0007","FIG00672414: hypothetical protein"
"8","clust_0008","Multiple sugar ABC transporter, substrate-binding protein"
"9","clust_0009","Site-specific recombinase"
"10","clust_0010","ATPase"
"11","clust_0011","hypothetical protein"
"12","clust_0012","Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"13","clust_0013","FIG00672498: hypothetical protein"
"14","clust_0014","FIG00672052: hypothetical protein"
"15","clust_0015","Sortase A, LPXTG specific"
"16","clust_0016","FIG00672336: hypothetical protein"
"17","clust_0017","FIG00672369: hypothetical protein"
"18","clust_0018","Uridine phosphorylase (EC 2.4.2.3)"
"19","clust_0019","Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)"
"20","clust_0020","Pyruvate formate-lyase (EC 2.3.1.54)"
"21","clust_0021","5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
"22","clust_0022","Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)"
"23","clust_0023","Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"24","clust_0024","Similar to tetracycline resistance protein"
"25","clust_0025","Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"
"26","clust_0026","hypothetical protein"
"27","clust_0027","rRNA small subunit methyltransferase I"
"28","clust_0028","ATP binding protein of ABC transporter"
"29","clust_0029","ATPase, AAA family"
"30","clust_0030","Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster"
"31","clust_0031","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"32","clust_0032","YcfF/hinT protein: a purine nucleoside phosphoramidase"
"33","clust_0033","Chloride channel protein"
"34","clust_0034","Cell division protein FtsK"
"35","clust_0035","Methylase of polypeptide chain release factors"
"36","clust_0036","Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)"
"37","clust_0037","hypothetical protein"
"38","clust_0038","NAD-dependent protein deacetylase of SIR2 family"
"39","clust_0039","FIG00672054: hypothetical protein"
