"Category","Group","Database","a","b","c","d","Odds ratio","p-value","q-value","Product"
"clust_0004","group5","ortho_id",60,43190,19,35996,2.63178433953349,0.000102280680184668,0.00321732758396602,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0004","group3","ortho_id",8,15422,71,63764,0.465882988208781,0.03306238307306,0.273462419138589,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0007","group5","ortho_id",58,43192,15,36000,3.22266433051171,1.54041728072426e-05,0.000681044138251499,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group6","ortho_id",0,9267,73,69925,0,0.000177925662188269,0.00494063308549584,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group3","ortho_id",7,15423,66,63769,0.438523059481175,0.0369590733054109,0.293286838102447,"Pullulanase (EC 3.2.1.41)"
"clust_0013","group5","ortho_id",45,43205,20,35995,1.87448477483767,0.0178668927652482,0.175163603164983,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0016","group2","ortho_id",0,4787,63,74415,0,0.0327641820142711,0.271065098700211,"Lysine-specific permease"
"clust_0018","group5","ortho_id",45,43205,17,35998,2.20543479154185,0.00468265671447517,0.0598122252489737,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0022","group5","ortho_id",47,43203,13,36002,3.01262173796115,0.000217207487419769,0.00494063308549584,"Similar to tetracycline resistance protein"
"clust_0022","group3","ortho_id",5,15425,55,63780,0.375894238913372,0.0322635656713051,0.267127826981388,"Similar to tetracycline resistance protein"
"clust_0025","group5","ortho_id",42,43208,17,35998,2.05827292347795,0.0123447740718942,0.130196217211578,"ATPase"
"clust_0026","group3","ortho_id",19,15411,39,63796,2.01680703665564,0.0185608734187499,0.175887954778899,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group2","ortho_id",0,4787,58,74420,0,0.0496466901992819,0.342791528603984,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0262","group6","ortho_id",0,9267,55,69943,0,0.00232476425620228,0.032937714981606,"Sortase A, LPXTG specific"
"clust_0262","group5","ortho_id",44,43206,11,36004,3.3330881876442,0.000112422340800702,0.00353291563421276,"Sortase A, LPXTG specific"
"clust_0708","group6","ortho_id",0,9267,52,69946,0,0.0036118073159707,0.048502908101137,"LPXTG-motif cell wall anchor domain protein"
"clust_0708","group3","ortho_id",0,15430,52,63783,0,2.46006492856256e-05,0.000922339487840606,"LPXTG-motif cell wall anchor domain protein"
"clust_0708","group5","ortho_id",52,43198,0,36015,Inf,2.35305893600516e-14,1.21700435762648e-10,"LPXTG-motif cell wall anchor domain protein"
"clust_0735","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"Membrane proteins related to metalloendopeptidases"
"clust_0738","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"probable solute binding protein of ABC transporter system"
"clust_0740","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"ABC transporter, ATP-binding protein Vex2"
"clust_0741","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"FIG00672106: hypothetical protein"
"clust_0742","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"ABC transporter membrane-spanning permease, Pep export, Vex3"
"clust_0745","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"Glutaredoxin and related proteins"
"clust_0747","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"FIG00672065: hypothetical protein"
"clust_0748","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"Putative high-affinity iron permease"
"clust_0749","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"Periplasmic protein p19 involved in high-affinity Fe2+ transport"
"clust_0750","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"Ferrous iron transport permease EfeU"
"clust_0751","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"possible permease protein of ABC transporter system"
"clust_0752","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"ABC-type antimicrobial peptide transport system, ATPase component"
"clust_0753","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"FIG00424242: hypothetical protein"
"clust_0754","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"FIG00672110: hypothetical protein"
"clust_0758","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"FIG00672207: hypothetical protein"
"clust_0759","group5","ortho_id",35,43215,16,35999,1.82220000508094,0.0487237512111929,0.336490625112904,"ABC transporter permease protein"
"clust_0769","group5","ortho_id",35,43215,15,36000,1.94372546333989,0.0325083796877296,0.269017418130329,"DNA-damage-inducible protein F"
"clust_0770","group5","ortho_id",35,43215,15,36000,1.94372546333989,0.0325083796877296,0.269017418130329,"ABC transporter, ATP-binding protein"
"clust_0770","group6","ortho_id",1,9266,49,69949,0.154062960096268,0.0262797512410142,0.227395574305585,"ABC transporter, ATP-binding protein"
"clust_0778","group5","ortho_id",35,43215,14,36001,2.08261066933948,0.0209128085204911,0.18714770781679,"putative ABC transport system membrane protein"
"clust_0778","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"putative ABC transport system membrane protein"
"clust_0779","group5","ortho_id",35,43215,14,36001,2.08261066933948,0.0209128085204911,0.18714770781679,"Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"
"clust_0779","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"
"clust_0780","group5","ortho_id",35,43215,14,36001,2.08261066933948,0.0209128085204911,0.18714770781679,"Maltose/maltodextrin ABC transporter, permease protein MalF"
"clust_0780","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Maltose/maltodextrin ABC transporter, permease protein MalF"
"clust_0781","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Maltose/maltodextrin ABC transporter, permease protein MalG"
"clust_0781","group5","ortho_id",35,43215,14,36001,2.08261066933948,0.0209128085204911,0.18714770781679,"Maltose/maltodextrin ABC transporter, permease protein MalG"
"clust_0783","group5","ortho_id",38,43212,11,36004,2.87815055449594,0.00133961017800156,0.0227579348783492,"FIG00672498: hypothetical protein"
"clust_0784","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"FIG00671968: hypothetical protein"
"clust_0784","group5","ortho_id",35,43215,14,36001,2.08261066933948,0.0209128085204911,0.18714770781679,"FIG00671968: hypothetical protein"
"clust_0785","group6","ortho_id",1,9266,48,69950,0.157274844789486,0.0407150332439452,0.298249817253376,"FIG00672237: hypothetical protein"
"clust_0785","group5","ortho_id",36,43214,13,36002,2.30699302345361,0.00916373857596613,0.100171842690947,"FIG00672237: hypothetical protein"
"clust_0791","group5","ortho_id",35,43215,14,36001,2.08261066933948,0.0209128085204911,0.18714770781679,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)"
"clust_0791","group6","ortho_id",0,9267,49,69949,0,0.00335677147438365,0.0461872955815597,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)"
"clust_0792","group6","ortho_id",1,9266,48,69950,0.157274844789486,0.0407150332439452,0.298249817253376,"COG3189: Uncharacterized conserved protein"
"clust_0793","group4","ortho_id",16,1999,32,77218,19.3121009699329,3.00207667386509e-14,1.21700435762648e-10,"Mobile element protein"
"clust_0793","group5","ortho_id",0,43250,48,35967,0,3.53075193801762e-17,2.29011632203699e-13,"Mobile element protein"
"clust_0793","group6","ortho_id",20,9247,28,69970,5.40467344698419,1.4012794886459e-07,1.44816926329787e-05,"Mobile element protein"
"clust_0794","group5","ortho_id",0,43250,48,35967,0,3.53075193801762e-17,2.29011632203699e-13,"Mobile element protein"
"clust_0794","group6","ortho_id",20,9247,28,69970,5.40467344698419,1.4012794886459e-07,1.44816926329787e-05,"Mobile element protein"
"clust_0794","group4","ortho_id",16,1999,32,77218,19.3121009699329,3.00207667386509e-14,1.21700435762648e-10,"Mobile element protein"
"clust_0799","group5","ortho_id",34,43216,14,36001,2.0230648714973,0.0287421013069065,0.245621893935253,"Integral membrane protein"
"clust_0801","group3","ortho_id",16,15414,32,63803,2.06967979844806,0.0263353885749031,0.227634058334937,"glucokinase"
"clust_0803","group6","ortho_id",0,9267,47,69951,0,0.00515163444274468,0.065059445721438,"ABC transporter, integral membrane subunit"
"clust_0803","group5","ortho_id",35,43215,12,36003,2.42982243606734,0.00766974180590619,0.0900896039505047,"ABC transporter, integral membrane subunit"
"clust_0804","group6","ortho_id",1,9266,46,69952,0.164117554423709,0.0385899502553933,0.298249817253376,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
"clust_0804","group5","ortho_id",35,43215,12,36003,2.42982243606734,0.00766974180590619,0.0900896039505047,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
"clust_0808","group6","ortho_id",1,9266,45,69953,0.167766998873224,0.0383415290022225,0.296696284197346,"ABC-type anion transport system, duplicated permease component"
"clust_0808","group5","ortho_id",35,43215,11,36004,2.65077670414613,0.00434560940096129,0.0556605286266096,"ABC-type anion transport system, duplicated permease component"
"clust_0809","group6","ortho_id",0,9267,46,69952,0,0.00510328095411196,0.0645603638390511,"Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"
"clust_0809","group5","ortho_id",37,43213,9,36006,3.42531521258427,0.000312679207391057,0.0068379418582476,"Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"
"clust_0810","group5","ortho_id",35,43215,11,36004,2.65077670414613,0.00434560940096129,0.0556605286266096,"D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)"
"clust_0811","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
"clust_0811","group6","ortho_id",0,9267,45,69953,0,0.00826835144964013,0.0967704459990181,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
"clust_0814","group6","ortho_id",0,9267,45,69953,0,0.00826835144964013,0.0967704459990181,"FIG00671951: hypothetical protein"
"clust_0814","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"FIG00671951: hypothetical protein"
"clust_0815","group6","ortho_id",0,9267,45,69953,0,0.00826835144964013,0.0967704459990181,"permease"
"clust_0815","group5","ortho_id",35,43215,10,36005,2.9159019238354,0.00151811044517853,0.0239231486139868,"permease"
"clust_0816","group3","ortho_id",0,15430,45,63790,0,9.17911043514749e-05,0.00289298086027472,"Transcriptional regulator, AsnC family"
