cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	pathway_id	pathway_name	anno_type	ortho_id
THE1|SEQ00093	124733349	VBIBifThe274299_0093	SEQ00093	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	780	Biotin metabolism	path	NA
THE1|SEQ00093	124733349	VBIBifThe274299_0093	SEQ00093	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	61	Fatty acid biosynthesis	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	1056	Biosynthesis of type II polyketide backbone	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	591	Linoleic acid metabolism	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	633	Trinitrotoluene degradation	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	51	Fructose and mannose metabolism	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	720	Reductive carboxylate cycle (CO2 fixation)	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	981	Insect hormone biosynthesis	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	950	Isoquinoline alkaloid biosynthesis	path	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Oxidoreductase (EC 1.1.1.-)	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	260	Glycine, serine and threonine metabolism	path	NA
