cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
BRE5|SEQ00477	268615070	VBIBifBre336369_0478	SEQ00477	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	NA
BRE5|SEQ00633	268615389	VBIBifBre336369_0634	SEQ00633	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	go	NA
BRE5|SEQ00845	268615835	VBIBifBre336369_0846	SEQ00845	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Ferrous iron transport protein B	GO:0005622	intracellular	go	NA
BRE5|SEQ00845	268615835	VBIBifBre336369_0846	SEQ00845	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Ferrous iron transport protein B	GO:0005525	GTP binding	go	NA
BRE5|SEQ00845	268615835	VBIBifBre336369_0846	SEQ00845	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Ferrous iron transport protein B	GO:0001882	nucleoside binding	go	NA
BRE5|SEQ00845	268615835	VBIBifBre336369_0846	SEQ00845	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Ferrous iron transport protein B	GO:0016021	integral to membrane	go	NA
BRE5|SEQ00845	268615835	VBIBifBre336369_0846	SEQ00845	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Ferrous iron transport protein B	GO:0015093	ferrous iron transmembrane transporter activity	go	NA
BRE5|SEQ00845	268615835	VBIBifBre336369_0846	SEQ00845	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Ferrous iron transport protein B	GO:0015684	ferrous iron transport	go	NA
BRE5|SEQ01412	268617006	VBIBifBre336369_1413	SEQ01412	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Dihydrodipicolinate synthase (EC 4.2.1.52)	GO:0008840	dihydrodipicolinate synthase activity	go	NA
BRE5|SEQ01419	268617020	VBIBifBre336369_1420	SEQ01419	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	GO:0015035	protein disulfide oxidoreductase activity	go	NA
BRE5|SEQ01419	268617020	VBIBifBre336369_1420	SEQ01419	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	GO:0009055	electron carrier activity	go	NA
BRE5|SEQ01419	268617020	VBIBifBre336369_1420	SEQ01419	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	GO:0015036	disulfide oxidoreductase activity	go	NA
BRE5|SEQ01419	268617020	VBIBifBre336369_1420	SEQ01419	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	GO:0045454	cell redox homeostasis	go	NA
BRE5|SEQ01419	268617020	VBIBifBre336369_1420	SEQ01419	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	NA	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	GO:0006118	electron transport	go	NA
