all_core	group_core_not_uniq	group_core_uniq	accessory	singleton	group_id	id_abbr
GV01	694	191	1	339	37	group1	00703Bmash
GV02	694	191	1	300	46	group1	00703C2mash
GV23	694	191	1	332	29	group1	JCP7659
GV25	694	191	1	362	48	group1	JCP7719
GV26	694	191	1	426	26	group1	JCP8017A
GV27	694	191	1	420	21	group1	JCP8017B
GV28	694	191	1	271	42	group1	JCP8066
GV29	694	191	1	276	41	group1	JCP8070
GV31	694	191	1	326	40	group1	JCP8151A
GV32	694	191	1	329	55	group1	JCP8151B
GV35	694	191	1	242	43	group1	JCP8522
GV10	694	263	12	155	48	group2a	409-05
GV12	694	263	12	218	84	group2a	5-1
GV15	694	263	12	128	51	group2a	6420B
GV17	694	263	12	185	48	group2a	AMD
GV03	694	298	6	123	40	group2b	00703Dmash
GV05	694	298	6	151	29	group2b	101
GV07	694	298	6	109	75	group2b	1500E
GV14	694	298	6	121	51	group2b	6119V5
GV04	694	191	16	409	35	group3	0288E
GV06	694	191	16	396	48	group3	1400E
GV08	694	191	16	355	33	group3	284V
GV09	694	191	16	362	43	group3	315-A
GV11	694	191	16	354	57	group3	41V
GV13	694	191	16	347	49	group3	55152
GV16	694	191	16	375	21	group3	75712
GV18	694	191	16	322	67	group3	ATCC 14018
GV19	694	191	16	373	45	group3	ATCC 14019
GV20	694	191	16	420	33	group3	HMP9231
GV21	694	191	16	277	45	group3	JCP7275
GV22	694	191	16	374	30	group3	JCP7276
GV24	694	191	16	308	28	group3	JCP7672
GV30	694	191	16	384	54	group3	JCP8108
GV33	694	391	119	15	34	group4	JCP8481A
GV34	694	391	119	15	19	group4	JCP8481B
