cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV01|SEQ00003	VBIGarVag247323_0003	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494098	3307	4506	+	1200		FIG00672189: hypothetical protein	GV01	clust_1034
GV01|SEQ00007	VBIGarVag247323_0007	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494106	9437	10318	+	882		Manganese ABC transporter, inner membrane permease protein SitD	GV01	clust_0751
GV01|SEQ00024	VBIGarVag247323_0024	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494140	28075	28383	+	309	rplU	LSU ribosomal protein L21p	GV01	clust_0749
GV01|SEQ00027	VBIGarVag247323_0027	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494146	30428	31573	+	1146		Glutamate 5-kinase (EC 2.7.2.11)	GV01	clust_0849
GV01|SEQ00030	VBIGarVag247323_0030	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494154	33579	34418	+	840		Transcription antitermination protein NusG	GV01	clust_0748
GV01|SEQ00031	VBIGarVag247323_0031	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494156	34501	35415	+	915		Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor	GV01	clust_0823
GV01|SEQ00032	VBIGarVag247323_0032	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494158	36081	36734	-	654		Substrate-specific component BioY of biotin ECF transporter	GV01	clust_0747
GV01|SEQ00036	VBIGarVag247323_0036	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494166	50542	51060	+	519		Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	GV01	clust_0746
GV01|SEQ00037	VBIGarVag247323_0037	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494170	51366	53444	+	2079		FIG00672237: hypothetical protein	GV01	clust_0967
GV01|SEQ00038	VBIGarVag247323_0038	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494172	53559	54458	-	900		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	GV01	clust_0991
GV01|SEQ00039	VBIGarVag247323_0039	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494174	54473	55915	-	1443		dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	GV01	clust_0990
GV01|SEQ00040	VBIGarVag247323_0040	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494176	56034	57068	-	1035		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	GV01	clust_0865
GV01|SEQ00042	VBIGarVag247323_0042	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494180	57949	58812	-	864		O-antigen export system permease protein	GV01	clust_0959
GV01|SEQ00043	VBIGarVag247323_0043	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494182	58990	59832	+	843		UDP-glucose 4-epimerase (EC 5.1.3.2)	GV01	clust_0989
GV01|SEQ00044	VBIGarVag247323_0044	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494184	59898	60869	+	972		Glycosyltransferase	GV01	clust_0944
GV01|SEQ00045	VBIGarVag247323_0045	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494186	60942	62630	-	1689		Glucosyl tranferase II	GV01	clust_1056
GV01|SEQ00046	VBIGarVag247323_0046	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494188	62785	64107	+	1323		putative LPS biosynthesis related glycosyltransferase	GV01	clust_0988
GV01|SEQ00047	VBIGarVag247323_0047	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494190	64196	66139	+	1944		Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	GV01	clust_0987
GV01|SEQ00048	VBIGarVag247323_0048	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494192	66132	67283	+	1152		FIG00425976: hypothetical protein	GV01	clust_0943
GV01|SEQ00049	VBIGarVag247323_0049	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494194	67285	68196	+	912		dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	GV01	clust_0986
GV01|SEQ00050	VBIGarVag247323_0050	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494196	68207	69343	+	1137		Glycosyltransferase (EC 2.4.1.-)	GV01	clust_0985
GV01|SEQ00051	VBIGarVag247323_0051	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494198	69409	70650	+	1242		UDP-galactopyranose mutase (EC 5.4.99.9)	GV01	clust_0822
GV01|SEQ00054	VBIGarVag247323_0054	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494206	72688	73365	+	678		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	GV01	clust_0744
