cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
GV01|SEQ00811	85495789	VBIGarVag247323_0811	SEQ00811	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000012	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV02|SEQ00050	85496858	VBIGarVag242669_0050	SEQ00050	Gardnerella vaginalis 00703C2mash	GV02	Gardnerella vaginalis 00703C2mash	ADEU01000003	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV03|SEQ00185	85499751	VBIGarVag247424_0185	SEQ00185	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000004	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV04|SEQ00197	85480246	VBIGarVag246433_0197	SEQ00197	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV05|SEQ00285	52546293	VBIGarVag174900_0285	SEQ00285	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000005	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV06|SEQ00173	85489061	VBIGarVag244004_0173	SEQ00173	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV07|SEQ00063	85491703	VBIGarVag249177_0063	SEQ00063	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000001	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV08|SEQ01045	85476537	VBIGarVag251521_1045	SEQ01045	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000011	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV09|SEQ00060	55259262	VBIGarVag169280_0060	SEQ00060	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000003	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV10|SEQ00078	32146170	VBIGarVag136958_0078	SEQ00078	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
GV11|SEQ00882	52550127	VBIGarVag171052_0882	SEQ00882	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000051	PATRIC	CDS	NA	Glycerol uptake facilitator protein	FIG00045413	figfam	clust_0368
