cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV04|SEQ00124	VBIGarVag246433_0124	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	85480097	1073	2308	-	1236		Xylose-responsive transcription regulator, ROK family	GV04	clust_1151
GV04|SEQ00125	VBIGarVag246433_0125	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	85480099	2544	4052	+	1509		Xylulose kinase (EC 2.7.1.17)	GV04	clust_1152
GV04|SEQ00127	VBIGarVag246433_0127	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	85480103	5556	7130	-	1575		L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	GV04	clust_1058
GV04|SEQ00198	VBIGarVag246433_0198	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480248	64028	64150	+	123		hypothetical protein	GV04	clust_1149
GV04|SEQ00219	VBIGarVag246433_0219	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480292	87142	88461	+	1320		ABC transporter, solute-binding protein	GV04	clust_1148
GV04|SEQ00221	VBIGarVag246433_0221	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480296	89546	90463	+	918		ABC-type sugar transport system, permease component	GV04	clust_1147
GV04|SEQ00222	VBIGarVag246433_0222	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480298	90567	93719	+	3153		Beta-galactosidase (EC 3.2.1.23)	GV04	clust_1146
GV04|SEQ00223	VBIGarVag246433_0223	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480300	93826	95253	-	1428		Alpha-L-fucosidase (EC 3.2.1.51)	GV04	clust_1145
GV04|SEQ00373	VBIGarVag246433_0373	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	85480619	111561	111704	+	144		hypothetical protein	GV04	clust_1154
GV04|SEQ00383	VBIGarVag246433_0383	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	85480641	126624	127901	+	1278		Galactokinase (EC 2.7.1.6)	GV04	clust_1155
GV04|SEQ00384	VBIGarVag246433_0384	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	85480643	128105	130006	-	1902		FIG01114224: hypothetical protein	GV04	clust_1156
GV04|SEQ00396	VBIGarVag246433_0396	Gardnerella vaginalis 0288E	ADEN01000005	PATRIC	CDS	85480668	3670	3879	-	210		hypothetical protein	GV04	clust_1164
GV04|SEQ00574	VBIGarVag246433_0574	Gardnerella vaginalis 0288E	ADEN01000005	PATRIC	CDS	85481040	239789	241333	-	1545		L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	GV04	clust_1058
GV04|SEQ00680	VBIGarVag246433_0680	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481256	784	1257	+	474		transcription regulator, probable	GV04	clust_1157
GV04|SEQ00681	VBIGarVag246433_0681	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481258	1276	2085	+	810		Zeta toxin	GV04	clust_1158
GV04|SEQ00682	VBIGarVag246433_0682	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481260	2591	3550	-	960		FIG00424915: hypothetical protein	GV04	clust_1159
GV04|SEQ00925	VBIGarVag246433_0925	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481756	280621	281871	-	1251		N-acylglucosamine 2-epimerase (EC 5.1.3.8)	GV04	clust_1161
GV06|SEQ00154	VBIGarVag244004_0154	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	85489021	69469	70896	+	1428		Alpha-L-fucosidase (EC 3.2.1.51)	GV06	clust_1145
GV06|SEQ00155	VBIGarVag244004_0155	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	85489023	71003	74155	-	3153		Beta-galactosidase (EC 3.2.1.23)	GV06	clust_1146
GV06|SEQ00156	VBIGarVag244004_0156	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	85489025	74259	74765	-	507		ABC-type sugar transport system, permease component	GV06	clust_1147
GV06|SEQ00159	VBIGarVag244004_0159	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	85489031	76259	77578	-	1320		ABC transporter, solute-binding protein	GV06	clust_1148
GV06|SEQ00172	VBIGarVag244004_0172	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	85489059	94294	94416	-	123		hypothetical protein	GV06	clust_1149
GV06|SEQ00389	VBIGarVag244004_0389	Gardnerella vaginalis 1400E	ADER01000011	PATRIC	CDS	85489521	58189	59691	-	1503		Xylulose kinase (EC 2.7.1.17)	GV06	clust_1152
GV06|SEQ00390	VBIGarVag244004_0390	Gardnerella vaginalis 1400E	ADER01000011	PATRIC	CDS	85489523	59800	61101	+	1302		Xylose repressor XylR (ROK family)	GV06	clust_1151
GV06|SEQ00711	VBIGarVag244004_0711	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	85490210	27421	27564	+	144		hypothetical protein	GV06	clust_1154
GV06|SEQ00721	VBIGarVag244004_0721	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	85490232	42605	43882	+	1278		Galactokinase (EC 2.7.1.6)	GV06	clust_1155
GV06|SEQ00722	VBIGarVag244004_0722	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	85490234	44084	45985	-	1902		FIG01114224: hypothetical protein	GV06	clust_1156
GV06|SEQ00841	VBIGarVag244004_0841	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	85490482	197084	197203	+	120		hypothetical protein	GV06	clust_1164
GV06|SEQ00974	VBIGarVag244004_0974	Gardnerella vaginalis 1400E	ADER01000023	PATRIC	CDS	85490761	410	1369	-	960		FIG00424915: hypothetical protein	GV06	clust_1159
GV06|SEQ01048	VBIGarVag244004_1048	Gardnerella vaginalis 1400E	ADER01000026	PATRIC	CDS	85490915	707	1180	+	474		transcription regulator, probable	GV06	clust_1157
GV06|SEQ01049	VBIGarVag244004_1049	Gardnerella vaginalis 1400E	ADER01000026	PATRIC	CDS	85490917	1199	2008	+	810		Zeta toxin	GV06	clust_1158
GV06|SEQ01121	VBIGarVag244004_1121	Gardnerella vaginalis 1400E	ADER01000027	PATRIC	CDS	85491068	90833	92377	-	1545		L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	GV06	clust_1058
GV06|SEQ01326	VBIGarVag244004_1326	Gardnerella vaginalis 1400E	ADER01000028	PATRIC	CDS	85491485	208270	209520	+	1251		N-acylglucosamine 2-epimerase (EC 5.1.3.8)	GV06	clust_1161
GV08|SEQ00221	VBIGarVag251521_0221	Gardnerella vaginalis 284V	ADEL01000003	PATRIC	CDS	85474827	3692	5236	+	1545		L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	GV08	clust_1058
GV08|SEQ00401	VBIGarVag251521_0401	Gardnerella vaginalis 284V	ADEL01000003	PATRIC	CDS	85475203	244714	244923	+	210		hypothetical protein	GV08	clust_1164
GV08|SEQ00610	VBIGarVag251521_0610	Gardnerella vaginalis 284V	ADEL01000007	PATRIC	CDS	85475636	17870	18829	+	960		FIG00424915: hypothetical protein	GV08	clust_1159
GV08|SEQ00611	VBIGarVag251521_0611	Gardnerella vaginalis 284V	ADEL01000007	PATRIC	CDS	85475638	19336	20145	-	810		Zeta toxin	GV08	clust_1158
GV08|SEQ00612	VBIGarVag251521_0612	Gardnerella vaginalis 284V	ADEL01000007	PATRIC	CDS	85475640	20163	20636	-	474		transcription regulator, probable	GV08	clust_1157
GV08|SEQ00620	VBIGarVag251521_0620	Gardnerella vaginalis 284V	ADEL01000007	PATRIC	CDS	85475656	30667	32568	+	1902		FIG01114224: hypothetical protein	GV08	clust_1156
GV08|SEQ00621	VBIGarVag251521_0621	Gardnerella vaginalis 284V	ADEL01000007	PATRIC	CDS	85475658	32772	34049	-	1278		Galactokinase (EC 2.7.1.6)	GV08	clust_1155
