cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV01|SEQ00010	VBIGarVag247323_0010	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494112	11030	11911	+	882		1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	GV01	clust_0743
GV01|SEQ00011	VBIGarVag247323_0011	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494114	12212	13207	+	996	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	GV01	clust_0718
GV01|SEQ00013	VBIGarVag247323_0013	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494118	14454	15464	+	1011		FIG00672090: hypothetical protein	GV01	clust_0622
GV01|SEQ00014	VBIGarVag247323_0014	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494120	15590	16972	+	1383		Homoserine dehydrogenase (EC 1.1.1.3)	GV01	clust_0621
GV01|SEQ00017	VBIGarVag247323_0017	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494126	18539	20038	+	1500		Septum formation protein Maf	GV01	clust_0823
GV01|SEQ00023	VBIGarVag247323_0023	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494138	24480	27896	+	3417		Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GV01	clust_0798
GV01|SEQ00024	VBIGarVag247323_0024	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494140	28075	28383	+	309	rplU	LSU ribosomal protein L21p	GV01	clust_0620
GV01|SEQ00025	VBIGarVag247323_0025	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494142	28417	28668	+	252	rpmA	LSU ribosomal protein L27p	GV01	clust_0768
GV01|SEQ00026	VBIGarVag247323_0026	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494144	28763	30427	+	1665	obgE	COG0536: GTP-binding protein Obg	GV01	clust_0695
GV01|SEQ00027	VBIGarVag247323_0027	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494146	30428	31573	+	1146		Glutamate 5-kinase (EC 2.7.2.11)	GV01	clust_0717
GV01|SEQ00028	VBIGarVag247323_0028	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494148	31754	33037	+	1284		Aspartate aminotransferase (EC 2.6.1.1)	GV01	clust_0786
GV01|SEQ00030	VBIGarVag247323_0030	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494154	33579	34418	+	840		Transcription antitermination protein NusG	GV01	clust_0619
GV01|SEQ00031	VBIGarVag247323_0031	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494156	34501	35415	+	915		Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor	GV01	clust_0618
GV01|SEQ00032	VBIGarVag247323_0032	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494158	36081	36734	-	654		Substrate-specific component BioY of biotin ECF transporter	GV01	clust_0617
GV01|SEQ00035	VBIGarVag247323_0035	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494164	40578	50198	+	9621		[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)	GV01	clust_0797
GV01|SEQ00036	VBIGarVag247323_0036	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494166	50542	51060	+	519		Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	GV01	clust_0616
GV01|SEQ00037	VBIGarVag247323_0037	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494170	51366	53444	+	2079		FIG00672237: hypothetical protein	GV01	clust_0785
GV01|SEQ00038	VBIGarVag247323_0038	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494172	53559	54458	-	900		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	GV01	clust_0827
GV01|SEQ00039	VBIGarVag247323_0039	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494174	54473	55915	-	1443		dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	GV01	clust_0826
GV01|SEQ00040	VBIGarVag247323_0040	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494176	56034	57068	-	1035		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	GV01	clust_0580
GV01|SEQ00044	VBIGarVag247323_0044	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494184	59898	60869	+	972		Glycosyltransferase	GV01	clust_0998
GV01|SEQ00046	VBIGarVag247323_0046	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494188	62785	64107	+	1323		putative LPS biosynthesis related glycosyltransferase	GV01	clust_0975
GV01|SEQ00051	VBIGarVag247323_0051	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494198	69409	70650	+	1242		UDP-galactopyranose mutase (EC 5.4.99.9)	GV01	clust_0581
GV01|SEQ00054	VBIGarVag247323_0054	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494206	72688	73365	+	678		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	GV01	clust_0614
GV01|SEQ00055	VBIGarVag247323_0055	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494208	73410	74171	+	762		FIG00424299: hypothetical protein	GV01	clust_0615
GV01|SEQ00064	VBIGarVag247323_0064	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494226	92995	93675	+	681		FIG00672402: hypothetical protein	GV01	clust_0900
GV01|SEQ00065	VBIGarVag247323_0065	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494228	93988	95379	-	1392		possible transport protein	GV01	clust_0694
GV01|SEQ00072	VBIGarVag247323_0072	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494244	103940	104656	-	717		Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01	clust_0664
GV01|SEQ00076	VBIGarVag247323_0076	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494252	106651	108423	-	1773	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase	GV01	clust_0665
GV01|SEQ00077	VBIGarVag247323_0077	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494254	108547	109317	-	771		COG0847: DNA polymerase III, epsilon subunit and related 3'-5' exonucleases	GV01	clust_0901
GV01|SEQ00082	VBIGarVag247323_0082	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494264	112652	113272	+	621		Translation initiation factor 3	GV01	clust_0666
