cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
DEN1|SEQ00211	43461689	VBIBifDen165269_0212	SEQ00211	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Homoserine kinase (EC 2.7.1.39)	2.7.1.39	Homoserine kinase	ec	clust_4723
DEN1|SEQ00360	43462003	VBIBifDen165269_0361	SEQ00360	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	clust_4732
DEN1|SEQ00446	43462184	VBIBifDen165269_0447	SEQ00446	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_4742
DEN1|SEQ00473	43462238	VBIBifDen165269_0474	SEQ00473	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	ec	clust_4745
DEN1|SEQ00478	43462248	VBIBifDen165269_0479	SEQ00478	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	ec	clust_2995
DEN1|SEQ00481	43462254	VBIBifDen165269_0482	SEQ00481	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4749
DEN1|SEQ00493	43462278	VBIBifDen165269_0494	SEQ00493	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4752
DEN1|SEQ00563	43462420	VBIBifDen165269_0564	SEQ00563	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	ec	clust_4757
DEN1|SEQ00586	43462466	VBIBifDen165269_0587	SEQ00586	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Neopullulanase (EC 3.2.1.135)	3.2.1.135	Neopullulanase	ec	clust_4766
DEN1|SEQ00677	43462658	VBIBifDen165269_0678	SEQ00677	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	ec	clust_4785
DEN1|SEQ00758	43462822	VBIBifDen165269_0759	SEQ00758	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4795
DEN1|SEQ00760	43462826	VBIBifDen165269_0761	SEQ00760	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	ec	clust_2995
DEN1|SEQ00825	43462958	VBIBifDen165269_0826	SEQ00825	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	3.2.1.51	Alpha-L-fucosidase	ec	clust_4806
DEN1|SEQ00829	43462966	VBIBifDen165269_0830	SEQ00829	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	clust_4808
DEN1|SEQ00830	43462968	VBIBifDen165269_0831	SEQ00830	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	clust_4809
DEN1|SEQ00831	43462970	VBIBifDen165269_0832	SEQ00831	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-xylosidase (EC 3.2.1.37)	3.2.1.37	Xylan 1,4-beta-xylosidase	ec	clust_4810
DEN1|SEQ00966	43459055	VBIBifDen165269_0967	SEQ00966	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Maltose O-acetyltransferase (EC 2.3.1.79)	2.3.1.79	Maltose O-acetyltransferase	ec	clust_4842
DEN1|SEQ00980	43459083	VBIBifDen165269_0981	SEQ00980	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	3.1.3.48	Protein-tyrosine-phosphatase	ec	clust_4851
DEN1|SEQ01002	43459127	VBIBifDen165269_1003	SEQ01002	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	D-allose kinase (EC 2.7.1.55)	2.7.1.55	Allose kinase	ec	clust_4853
DEN1|SEQ01041	43459205	VBIBifDen165269_1042	SEQ01041	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	clust_4864
DEN1|SEQ01043	43459209	VBIBifDen165269_1044	SEQ01043	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4866
DEN1|SEQ01055	43459233	VBIBifDen165269_1056	SEQ01055	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4870
DEN1|SEQ01056	43459235	VBIBifDen165269_1057	SEQ01056	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4871
DEN1|SEQ01097	43459321	VBIBifDen165269_1098	SEQ01097	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-xylosidase (EC 3.2.1.37)	3.2.1.37	Xylan 1,4-beta-xylosidase	ec	clust_4880
DEN1|SEQ01098	43459323	VBIBifDen165269_1099	SEQ01098	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4881
DEN1|SEQ01121	43459369	VBIBifDen165269_1122	SEQ01121	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	5.1.3.1	Ribulose-phosphate 3-epimerase	ec	clust_4888
DEN1|SEQ01123	43459373	VBIBifDen165269_1124	SEQ01123	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	ATP synthase delta chain (EC 3.6.3.14)	3.6.3.14	H(+)-transporting two-sector ATPase	ec	clust_4890
DEN1|SEQ01124	43459375	VBIBifDen165269_1125	SEQ01124	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Fructokinase (EC 2.7.1.4)	2.7.1.4	Fructokinase	ec	clust_4891
DEN1|SEQ01366	43459861	VBIBifDen165269_1367	SEQ01366	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Oxidoreductase ucpA (EC 1.-.-.-)	1.-.-.-	Oxidoreductases.	ec	clust_4926
DEN1|SEQ01400	43459930	VBIBifDen165269_1401	SEQ01400	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	3.1.21.3	Type I site-specific deoxyribonuclease	ec	clust_4934
DEN1|SEQ01560	43460268	VBIBifDen165269_1561	SEQ01560	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Malolactic enzyme (EC 1.-.-.-)	1.-.-.-	Oxidoreductases.	ec	clust_4949
DEN1|SEQ01612	43460377	VBIBifDen165269_1613	SEQ01612	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Acetylornithine aminotransferase (EC 2.6.1.11)	2.6.1.11	Acetylornithine transaminase	ec	clust_4954
DEN1|SEQ01624	43460401	VBIBifDen165269_1625	SEQ01624	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-xylosidase (EC 3.2.1.-)	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.	ec	clust_4958
DEN1|SEQ01787	43460731	VBIBifDen165269_1788	SEQ01787	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Restriction enzyme BgcI subunit beta (EC 3.1.21.-) (S.BcgI)	3.1.21.-	Endodeoxyribonucleases producing 5'-phosphomonoesters.	ec	clust_5027
DEN1|SEQ02089	43463157	VBIBifDen165269_2091	SEQ02089	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405226	PATRIC	CDS	NA	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	2.7.8.6	Undecaprenyl-phosphate galactose phosphotransferase	ec	clust_5115
DEN2|SEQ00075	42108444	VBIBifDen39005_0075	SEQ00075	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Malolactic enzyme (EC 1.-.-.-)	1.-.-.-	Oxidoreductases.	ec	clust_4949
DEN2|SEQ00243	42108805	VBIBifDen39005_0243	SEQ00243	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	3.1.21.3	Type I site-specific deoxyribonuclease	ec	clust_4934
DEN2|SEQ00278	42108877	VBIBifDen39005_0278	SEQ00278	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Oxidoreductase ucpA (EC 1.-.-.-)	1.-.-.-	Oxidoreductases.	ec	clust_4926
DEN2|SEQ00349	42109021	VBIBifDen39005_0349	SEQ00349	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Beta-xylosidase (EC 3.2.1.37)	3.2.1.37	Xylan 1,4-beta-xylosidase	ec	clust_4810
DEN2|SEQ00350	42109023	VBIBifDen39005_0350	SEQ00350	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	clust_4809
DEN2|SEQ00351	42109025	VBIBifDen39005_0351	SEQ00351	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	3.2.1.8	Endo-1,4-beta-xylanase	ec	clust_4808
DEN2|SEQ00355	42109033	VBIBifDen39005_0355	SEQ00355	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	3.2.1.51	Alpha-L-fucosidase	ec	clust_4806
DEN2|SEQ00410	42109146	VBIBifDen39005_0410	SEQ00410	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	Restriction enzyme BgcI subunit beta (EC 3.1.21.-) (S.BcgI)	3.1.21.-	Endodeoxyribonucleases producing 5'-phosphomonoesters.	ec	clust_5027
DEN2|SEQ00579	42109488	VBIBifDen39005_0579	SEQ00579	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	Alpha-xylosidase (EC 3.2.1.-)	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds.	ec	clust_4958
DEN2|SEQ00592	42109514	VBIBifDen39005_0592	SEQ00592	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	Acetylornithine aminotransferase (EC 2.6.1.11)	2.6.1.11	Acetylornithine transaminase	ec	clust_4954
DEN2|SEQ01018	42110391	VBIBifDen39005_1018	SEQ01018	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000018	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	ec	clust_4795
DEN2|SEQ01020	42110395	VBIBifDen39005_1020	SEQ01020	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000018	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	ec	clust_2995
DEN2|SEQ01104	42110573	VBIBifDen39005_1104	SEQ01104	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000019	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	ec	clust_4742
DEN2|SEQ01205	42110780	VBIBifDen39005_1206	SEQ01205	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000022	PATRIC	CDS	NA	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	ec	clust_4785
DEN2|SEQ01261	42110901	VBIBifDen39005_1262	SEQ01261	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000023	PATRIC	CDS	NA	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	2.7.8.6	Undecaprenyl-phosphate galactose phosphotransferase	ec	clust_5115
DEN2|SEQ01309	42111002	VBIBifDen39005_1310	SEQ01309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000026	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	ec	clust_4745
