cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
THE1|SEQ00015	VBIBifThe274299_0015	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733189	21647	21766	+	120		hypothetical protein	THE1	NA
THE1|SEQ00018	VBIBifThe274299_0018	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733195	24322	24453	+	132		hypothetical protein	THE1	NA
THE1|SEQ00021	VBIBifThe274299_0021	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733201	27701	27910	-	210		hypothetical protein	THE1	NA
THE1|SEQ00022	VBIBifThe274299_0022	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733203	28085	28219	+	135		hypothetical protein	THE1	NA
THE1|SEQ00024	VBIBifThe274299_0024	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733207	31211	31384	+	174		hypothetical protein	THE1	NA
THE1|SEQ00031	VBIBifThe274299_0031	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733221	40221	40391	+	171		hypothetical protein	THE1	NA
THE1|SEQ00039	VBIBifThe274299_0039	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733237	51053	51211	+	159		hypothetical protein	THE1	NA
THE1|SEQ00050	VBIBifThe274299_0050	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733259	64458	64574	+	117		hypothetical protein	THE1	NA
THE1|SEQ00053	VBIBifThe274299_0053	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733267	67696	67824	+	129		hypothetical protein	THE1	NA
THE1|SEQ00056	VBIBifThe274299_0056	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733273	71263	72360	-	1098		GNAT family acetyltransferase VC2332	THE1	NA
THE1|SEQ00057	VBIBifThe274299_0057	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733275	72357	73958	-	1602		Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	THE1	NA
THE1|SEQ00058	VBIBifThe274299_0058	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733277	73955	74653	-	699		putative ABC transporter, permease	THE1	NA
THE1|SEQ00059	VBIBifThe274299_0059	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733279	75168	75365	-	198		hypothetical protein	THE1	NA
THE1|SEQ00060	VBIBifThe274299_0060	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733281	75601	75780	-	180		hypothetical protein	THE1	NA
THE1|SEQ00062	VBIBifThe274299_0062	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733285	80048	80407	-	360		hypothetical protein	THE1	NA
THE1|SEQ00063	VBIBifThe274299_0063	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733287	80407	81402	-	996		hypothetical protein	THE1	NA
THE1|SEQ00064	VBIBifThe274299_0064	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733289	81573	83189	-	1617		putative ABC transporter, periplasmic solute- binding protein	THE1	NA
THE1|SEQ00065	VBIBifThe274299_0065	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733291	83244	83381	+	138		hypothetical protein	THE1	NA
THE1|SEQ00072	VBIBifThe274299_0072	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733305	93697	94113	-	417		hypothetical protein	THE1	NA
THE1|SEQ00076	VBIBifThe274299_0076	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733313	98874	99044	-	171		hypothetical protein	THE1	NA
THE1|SEQ00079	VBIBifThe274299_0079	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733319	101849	101971	-	123		hypothetical protein	THE1	NA
THE1|SEQ00080	VBIBifThe274299_0080	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733321	101965	102810	+	846		hypothetical protein	THE1	NA
THE1|SEQ00083	VBIBifThe274299_0083	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733327	105179	105337	-	159		hypothetical protein	THE1	NA
THE1|SEQ00085	VBIBifThe274299_0085	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733331	105658	105918	-	261		YefM protein (antitoxin to YoeB)	THE1	NA
THE1|SEQ00086	VBIBifThe274299_0086	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733335	106371	106559	-	189	rpmF1	hypothetical protein	THE1	NA
THE1|SEQ00093	VBIBifThe274299_0093	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733349	109289	110062	-	774		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	THE1	NA
THE1|SEQ00094	VBIBifThe274299_0094	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733351	110073	110186	+	114		hypothetical protein	THE1	NA
THE1|SEQ00109	VBIBifThe274299_0109	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733381	127333	127515	-	183		hypothetical protein	THE1	NA
THE1|SEQ00111	VBIBifThe274299_0111	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733385	129420	129737	+	318		hypothetical protein	THE1	NA
THE1|SEQ00112	VBIBifThe274299_0112	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733387	129731	129871	-	141		hypothetical protein	THE1	NA
THE1|SEQ00115	VBIBifThe274299_0115	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733393	134236	134361	+	126		hypothetical protein	THE1	NA
THE1|SEQ00116	VBIBifThe274299_0116	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733395	134988	135152	+	165		hypothetical protein	THE1	NA
THE1|SEQ00119	VBIBifThe274299_0119	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733401	138640	139098	-	459		sialic acid-specific 9-O-acetylesterase	THE1	NA
THE1|SEQ00122	VBIBifThe274299_0122	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733407	140815	141153	-	339		hypothetical protein	THE1	NA
THE1|SEQ00128	VBIBifThe274299_0128	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733419	149046	149168	-	123		hypothetical protein	THE1	NA
THE1|SEQ00131	VBIBifThe274299_0131	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733425	152742	153143	-	402		hypothetical protein	THE1	NA
THE1|SEQ00134	VBIBifThe274299_0134	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733431	155019	155309	+	291		hypothetical protein	THE1	NA
THE1|SEQ00137	VBIBifThe274299_0137	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733437	157949	158935	+	987		hypothetical protein	THE1	NA
THE1|SEQ00145	VBIBifThe274299_0145	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733453	168322	169506	+	1185		putative O-acyltransferase	THE1	NA
THE1|SEQ00146	VBIBifThe274299_0146	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733455	169550	170023	+	474		Phenazine biosynthesis protein PhzB	THE1	NA
THE1|SEQ00149	VBIBifThe274299_0149	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733461	173260	173835	-	576		Oxidoreductase (EC 1.1.1.-)	THE1	NA
THE1|SEQ00150	VBIBifThe274299_0150	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733463	174055	174504	+	450		transcriptional regulator	THE1	NA
THE1|SEQ00152	VBIBifThe274299_0152	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733467	175735	175866	-	132		hypothetical protein	THE1	NA
THE1|SEQ00155	VBIBifThe274299_0155	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733473	180087	181520	+	1434		hypothetical protein	THE1	NA
THE1|SEQ00156	VBIBifThe274299_0156	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733475	181646	181810	+	165		hypothetical protein	THE1	NA
THE1|SEQ00162	VBIBifThe274299_0162	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733487	188239	188703	-	465		Cys-tRNA(Pro) deacylase YbaK	THE1	NA
THE1|SEQ00166	VBIBifThe274299_0166	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733495	193354	194037	+	684		hypothetical protein	THE1	NA
THE1|SEQ00170	VBIBifThe274299_0170	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733503	200885	201772	-	888		hypothetical protein	THE1	NA
THE1|SEQ00179	VBIBifThe274299_0179	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733521	213292	213438	+	147		hypothetical protein	THE1	NA
THE1|SEQ00182	VBIBifThe274299_0182	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733527	216414	216554	-	141		hypothetical protein	THE1	NA
THE1|SEQ00184	VBIBifThe274299_0184	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733531	217628	218968	-	1341		hypothetical protein	THE1	NA
THE1|SEQ00185	VBIBifThe274299_0185	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733533	219195	220343	+	1149		hypothetical protein	THE1	NA
THE1|SEQ00193	VBIBifThe274299_0193	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733551	229458	230105	-	648		hypothetical protein	THE1	NA
THE1|SEQ00195	VBIBifThe274299_0195	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733555	231729	231842	-	114		hypothetical protein	THE1	NA
THE1|SEQ00197	VBIBifThe274299_0197	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733559	233516	234856	+	1341		Ammonium transporter	THE1	NA
