short_id	genome_name	accession	annotation	feature_type	na_feature_id	locus_tag	gene	product	ec_number	ec_name	figfam_id	go_id	go_term	pathway_id	pathway_name	ortho_id	id_short
fid|37852802|locus|VBIGarVag144721_0076	Gardnerella vaginalis 5-1	NZ_ADAN01000002	PATRIC	CDS	37852802	VBIGarVag144721_0076	NA	FIG00672535: hypothetical protein	NA	NA	FIG01539586	NA	NA	NA	NA	clust_2401	GV12
fid|37852841|locus|VBIGarVag144721_0095	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852841	VBIGarVag144721_0095	NA	DNA polymerase III alpha subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	FIG00041038	GO:0003887	DNA-directed DNA polymerase activity	240	Pyrimidine metabolism	clust_2402	GV12
fid|37852841|locus|VBIGarVag144721_0095	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852841	VBIGarVag144721_0095	NA	DNA polymerase III alpha subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	FIG00041038	GO:0003887	DNA-directed DNA polymerase activity	230	Purine metabolism	clust_2402	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0008152	metabolic process	564	Glycerophospholipid metabolism	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0008152	metabolic process	513	High-mannose type N-glycan biosynthesis	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0008152	metabolic process	440	Phosphonate and phosphinate metabolism	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0008152	metabolic process	770	Pantothenate and CoA biosynthesis	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0008152	metabolic process	600	Sphingolipid metabolism	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0003824	catalytic activity	564	Glycerophospholipid metabolism	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0003824	catalytic activity	513	High-mannose type N-glycan biosynthesis	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0003824	catalytic activity	440	Phosphonate and phosphinate metabolism	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0003824	catalytic activity	770	Pantothenate and CoA biosynthesis	clust_2403	GV12
fid|37852843|locus|VBIGarVag144721_0096	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852843	VBIGarVag144721_0096	NA	Cardiolipin synthetase (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	FIG00052605	GO:0003824	catalytic activity	600	Sphingolipid metabolism	clust_2403	GV12
fid|37852845|locus|VBIGarVag144721_0097	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852845	VBIGarVag144721_0097	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2404	GV12
fid|37853069|locus|VBIGarVag144721_0204	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853069	VBIGarVag144721_0204	NA	ABC transporter, ATP-binding protein	NA	NA	FIG00744535	NA	NA	NA	NA	clust_2409	GV12
fid|37853075|locus|VBIGarVag144721_0207	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853075	VBIGarVag144721_0207	NA	response regulator of two-component system	NA	NA	FIG01567664	NA	NA	NA	NA	clust_2412	GV12
fid|37853083|locus|VBIGarVag144721_0210	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853083	VBIGarVag144721_0210	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2413	GV12
fid|37853113|locus|VBIGarVag144721_0225	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853113	VBIGarVag144721_0225	NA	FIG00671990: hypothetical protein	NA	NA	FIG01806318	NA	NA	NA	NA	clust_2414	GV12
fid|37853133|locus|VBIGarVag144721_0235	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853133	VBIGarVag144721_0235	NA	Hydrolase, haloacid dehalogenase-like family	NA	NA	FIG01379624	NA	NA	NA	NA	clust_2415	GV12
fid|37853135|locus|VBIGarVag144721_0236	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853135	VBIGarVag144721_0236	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	NA	NA	FIG00001563	GO:0016021	integral to membrane	NA	NA	clust_2416	GV12
