cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV03|SEQ00310	VBIGarVag247424_0310	Gardnerella vaginalis 00703Dmash	ADEV01000004	PATRIC	CDS	85500011	269390	269509	+	120		hypothetical protein	GV03	clust_1718
GV03|SEQ00498	VBIGarVag247424_0498	Gardnerella vaginalis 00703Dmash	ADEV01000007	PATRIC	CDS	85500403	51880	52341	-	462		hypothetical protein	GV03	clust_1716
GV03|SEQ00594	VBIGarVag247424_0594	Gardnerella vaginalis 00703Dmash	ADEV01000007	PATRIC	CDS	85500605	164923	166389	+	1467		FIG00424036: hypothetical protein	GV03	clust_1690
GV03|SEQ00616	VBIGarVag247424_0616	Gardnerella vaginalis 00703Dmash	ADEV01000007	PATRIC	CDS	85500653	187707	187853	+	147		hypothetical protein	GV03	clust_1714
GV03|SEQ00989	VBIGarVag247424_0989	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	85501424	347994	348257	+	264		hypothetical protein	GV03	clust_1711
GV03|SEQ01024	VBIGarVag247424_1024	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	85501498	395558	396655	-	1098		FIG00672247: hypothetical protein	GV03	clust_1710
GV05|SEQ00411	VBIGarVag174900_0411	Gardnerella vaginalis 101	AEJD01000005	PATRIC	CDS	52546553	267239	267358	+	120		hypothetical protein	GV05	clust_1718
GV05|SEQ00524	VBIGarVag174900_0524	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52546792	113531	113992	-	462		Chromatin structure and dynamics	GV05	clust_1716
GV05|SEQ00614	VBIGarVag174900_0614	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52546982	226171	227637	+	1467		FIG00424036: hypothetical protein	GV05	clust_1690
GV05|SEQ00635	VBIGarVag174900_0635	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52547028	248732	248878	+	147		hypothetical protein	GV05	clust_1714
GV05|SEQ01038	VBIGarVag174900_1038	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52547857	760758	760889	+	132		hypothetical protein	GV05	clust_1711
GV05|SEQ01137	VBIGarVag174900_1137	Gardnerella vaginalis 101	AEJD01000033	PATRIC	CDS	52548112	2134	3231	-	1098		FIG00672247: hypothetical protein	GV05	clust_1710
GV07|SEQ00264	VBIGarVag249177_0264	Gardnerella vaginalis 1500E	ADES01000005	PATRIC	CDS	85492141	54029	55129	+	1101		FIG00672247: hypothetical protein	GV07	clust_1710
GV07|SEQ00295	VBIGarVag249177_0295	Gardnerella vaginalis 1500E	ADES01000005	PATRIC	CDS	85492207	102765	103028	-	264		hypothetical protein	GV07	clust_1711
GV07|SEQ00770	VBIGarVag249177_0770	Gardnerella vaginalis 1500E	ADES01000014	PATRIC	CDS	85493197	26045	26191	-	147		hypothetical protein	GV07	clust_1714
GV07|SEQ00788	VBIGarVag249177_0788	Gardnerella vaginalis 1500E	ADES01000014	PATRIC	CDS	85493237	45569	47089	-	1521		FIG00424036: hypothetical protein	GV07	clust_1690
GV07|SEQ00887	VBIGarVag249177_0887	Gardnerella vaginalis 1500E	ADES01000014	PATRIC	CDS	85493445	165325	165795	+	471		hypothetical protein	GV07	clust_1716
GV07|SEQ01129	VBIGarVag249177_1129	Gardnerella vaginalis 1500E	ADES01000027	PATRIC	CDS	85493953	25491	25610	-	120		hypothetical protein	GV07	clust_1718
GV14|SEQ00028	VBIGarVag244375_0028	Gardnerella vaginalis 6119V5	ADEW01000002	PATRIC	CDS	85501872	1086	1535	+	450		hypothetical protein	GV14	clust_1716
GV14|SEQ00142	VBIGarVag244375_0142	Gardnerella vaginalis 6119V5	ADEW01000002	PATRIC	CDS	85502111	134860	134979	-	120		hypothetical protein	GV14	clust_1718
GV14|SEQ00408	VBIGarVag244375_0408	Gardnerella vaginalis 6119V5	ADEW01000004	PATRIC	CDS	85502668	45532	46947	+	1416		FIG00424036: hypothetical protein	GV14	clust_1690
GV14|SEQ00431	VBIGarVag244375_0431	Gardnerella vaginalis 6119V5	ADEW01000004	PATRIC	CDS	85502718	69562	69708	+	147		hypothetical protein	GV14	clust_1714
GV14|SEQ01091	VBIGarVag244375_1091	Gardnerella vaginalis 6119V5	ADEW01000011	PATRIC	CDS	85504093	173084	173257	+	174		hypothetical protein	GV14	clust_1711
GV14|SEQ01123	VBIGarVag244375_1123	Gardnerella vaginalis 6119V5	ADEW01000011	PATRIC	CDS	85504161	220342	221460	-	1119		FIG00672247: hypothetical protein	GV14	clust_1710
