"cds_id"	"ortho_id"	"full_id"	"short_id"	"seq_id"	"strain_id"
"GV01|SEQ00743"	"clust_1265"	"fid|85495648|locus|VBIGarVag247323_0743|   hypothetical protein   [Gardnerella vaginalis 00703Bmash]"	"fid|85495648|locus|VBIGarVag247323_0743"	"SEQ00743"	"Gardnerella vaginalis 00703Bmash"
"GV02|SEQ01020"	"clust_1265"	"fid|85498895|locus|VBIGarVag242669_1020|   hypothetical protein   [Gardnerella vaginalis 00703C2mash]"	"fid|85498895|locus|VBIGarVag242669_1020"	"SEQ01020"	"Gardnerella vaginalis 00703C2mash"
"GV23|SEQ00029"	"clust_1265"	"fid|183972347|locus|VBIGarVag276017_0029|   hypothetical protein   [Gardnerella vaginalis JCP7659]"	"fid|183972347|locus|VBIGarVag276017_0029"	"SEQ00029"	"Gardnerella vaginalis JCP7659"
"GV25|SEQ00490"	"clust_1265"	"fid|183978913|locus|VBIGarVag270495_0490|   hypothetical protein   [Gardnerella vaginalis JCP7719]"	"fid|183978913|locus|VBIGarVag270495_0490"	"SEQ00490"	"Gardnerella vaginalis JCP7719"
"GV26|SEQ01288"	"clust_1265"	"fid|183983558|locus|VBIGarVag272749_1288|   hypothetical protein   [Gardnerella vaginalis JCP8017A]"	"fid|183983558|locus|VBIGarVag272749_1288"	"SEQ01288"	"Gardnerella vaginalis JCP8017A"
"GV27|SEQ01288"	"clust_1265"	"fid|183986509|locus|VBIGarVag276930_1288|   hypothetical protein   [Gardnerella vaginalis JCP8017B]"	"fid|183986509|locus|VBIGarVag276930_1288"	"SEQ01288"	"Gardnerella vaginalis JCP8017B"
"GV28|SEQ00010"	"clust_1265"	"fid|183986666|locus|VBIGarVag271349_0010|   hypothetical protein   [Gardnerella vaginalis JCP8066]"	"fid|183986666|locus|VBIGarVag271349_0010"	"SEQ00010"	"Gardnerella vaginalis JCP8066"
"GV29|SEQ00674"	"clust_1265"	"fid|183990798|locus|VBIGarVag265473_0674|   hypothetical protein   [Gardnerella vaginalis JCP8070]"	"fid|183990798|locus|VBIGarVag265473_0674"	"SEQ00674"	"Gardnerella vaginalis JCP8070"
"GV31|SEQ00630"	"clust_1265"	"fid|183996346|locus|VBIGarVag264983_0630|   hypothetical protein   [Gardnerella vaginalis JCP8151A]"	"fid|183996346|locus|VBIGarVag264983_0630"	"SEQ00630"	"Gardnerella vaginalis JCP8151A"
"GV32|SEQ00721"	"clust_1265"	"fid|183999362|locus|VBIGarVag277040_0721|   hypothetical protein   [Gardnerella vaginalis JCP8151B]"	"fid|183999362|locus|VBIGarVag277040_0721"	"SEQ00721"	"Gardnerella vaginalis JCP8151B"
"GV35|SEQ01063"	"clust_1265"	"fid|184008625|locus|VBIGarVag272169_1063|   hypothetical protein   [Gardnerella vaginalis JCP8522]"	"fid|184008625|locus|VBIGarVag272169_1063"	"SEQ01063"	"Gardnerella vaginalis JCP8522"
