cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
DEN2|SEQ00008	42108297	VBIBifDen39005_0008	SEQ00008	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000001	PATRIC	CDS	NA	MSM (multiple sugar metabolism) operon regulatory protein	GO:0003700	transcription factor activity	go	NA
DEN2|SEQ00008	42108297	VBIBifDen39005_0008	SEQ00008	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000001	PATRIC	CDS	NA	MSM (multiple sugar metabolism) operon regulatory protein	GO:0043565	sequence-specific DNA binding	go	NA
DEN2|SEQ00008	42108297	VBIBifDen39005_0008	SEQ00008	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000001	PATRIC	CDS	NA	MSM (multiple sugar metabolism) operon regulatory protein	GO:0005622	intracellular	go	NA
DEN2|SEQ00073	42108440	VBIBifDen39005_0073	SEQ00073	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Glutathione-regulated potassium-efflux system ATP-binding protein	GO:0016887	ATPase activity	go	NA
DEN2|SEQ00073	42108440	VBIBifDen39005_0073	SEQ00073	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Glutathione-regulated potassium-efflux system ATP-binding protein	GO:0005524	ATP binding	go	NA
DEN2|SEQ00100	42108497	VBIBifDen39005_0100	SEQ00100	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Chaperone protein DnaJ	GO:0051082	unfolded protein binding	go	NA
DEN2|SEQ00100	42108497	VBIBifDen39005_0100	SEQ00100	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Chaperone protein DnaJ	GO:0031072	heat shock protein binding	go	NA
DEN2|SEQ00100	42108497	VBIBifDen39005_0100	SEQ00100	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Chaperone protein DnaJ	GO:0006457	protein folding	go	NA
DEN2|SEQ00222	42108761	VBIBifDen39005_0222	SEQ00222	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity	go	NA
DEN2|SEQ00226	42108771	VBIBifDen39005_0226	SEQ00226	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	GO:0004826	phenylalanine-tRNA ligase activity	go	NA
DEN2|SEQ00309	42108941	VBIBifDen39005_0309	SEQ00309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	GO:0004557	alpha-galactosidase activity	go	NA
