GV12|SEQ00703
GV17|SEQ00430
GV15|SEQ00504
GV14|SEQ00175
GV34|SEQ00385
GV33|SEQ00582
GV30|SEQ00291
GV13|SEQ01050
GV22|SEQ00608
GV20|SEQ00187
GV21|SEQ01034
GV25|SEQ00366
GV29|SEQ00488
GV31|SEQ00838
GV35|SEQ00648
GV32|SEQ00661
GV28|SEQ00232
GV23|SEQ00375
GV26|SEQ00667
GV27|SEQ00860
GV18|SEQ00017
GV19|SEQ01309
GV24|SEQ00564
GV16|SEQ00303
LON3|SEQ01523
LON2|SEQ01440
LON4|SEQ01974
LON1|SEQ01395
INF1|SEQ02007
THE1|SEQ00176
BRE2|SEQ01967
BRE6|SEQ01502
BRE9|SEQ02046
BRE5|SEQ02054
BRE3|SEQ01948
BRE8|SEQ01924
BRE7|SEQ01955
BRE4|SEQ01920
GV01|SEQ00862
GV06|SEQ00622
GV09|SEQ01183
GV11|SEQ01174
GV04|SEQ00074
GV08|SEQ01151
GV02|SEQ01197
GV10|SEQ00165
GV03|SEQ00276
GV05|SEQ00377
GV07|SEQ01164
DEN2|SEQ01553
DEN1|SEQ00516
ANI2|SEQ00333
ANI3|SEQ00334
BRE1|SEQ01887
BIF1|SEQ01583
ADO1|SEQ00412
LON2|SEQ00454
ANI1|SEQ00334
