cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
BRE1|SEQ00243	VBIBifBre340958_0243	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	268602424	312362	313237	+	876		hypothetical protein	BRE1	clust_2200
BRE1|SEQ00244	VBIBifBre340958_0244	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	268602426	313499	314821	+	1323		hypothetical protein	BRE1	clust_2201
BRE1|SEQ00247	VBIBifBre340958_0247	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	268602432	316725	318527	+	1803		Alpha-galactosidase (EC 3.2.1.22)	BRE1	clust_2202
BRE1|SEQ00278	VBIBifBre340958_0278	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	268602498	353654	353794	-	141		hypothetical protein	BRE1	clust_2203
BRE1|SEQ00307	VBIBifBre340958_0307	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	268602558	387679	387987	+	309		hypothetical protein	BRE1	clust_2208
BRE2|SEQ00275	VBIBifBre337368_0275	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	268606462	350473	351348	+	876		hypothetical protein	BRE2	clust_2200
BRE2|SEQ00276	VBIBifBre337368_0276	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	268606464	351617	352939	+	1323		hypothetical protein	BRE2	clust_2201
BRE2|SEQ00279	VBIBifBre337368_0279	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	268606470	354843	356645	+	1803		"Alpha-galactosidase "	BRE2	clust_2202
BRE2|SEQ00341	VBIBifBre337368_0341	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	268606598	409956	410096	-	141		hypothetical protein	BRE2	clust_2203
BRE2|SEQ00368	VBIBifBre337368_0368	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	268606655	442545	442853	+	309		hypothetical protein	BRE2	clust_2208
BRE3|SEQ00294	VBIBifBre167886_0294	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	54192249	373094	373969	+	876		hypothetical protein	BRE3	clust_2200
BRE3|SEQ00295	VBIBifBre167886_0295	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	54192251	374231	375553	+	1323		hypothetical protein	BRE3	clust_2201
BRE3|SEQ00298	VBIBifBre167886_0298	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	54192257	377457	379259	+	1803		"Alpha-galactosidase "	BRE3	clust_2202
BRE3|SEQ00330	VBIBifBre167886_0330	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	54192325	414256	414396	-	141		hypothetical protein	BRE3	clust_2203
BRE3|SEQ00358	VBIBifBre167886_0358	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	54192383	446836	447144	+	309		hypothetical protein	BRE3	clust_2208
BRE4|SEQ00259	VBIBifBre327712_0259	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	268610571	334766	335641	+	876		hypothetical protein	BRE4	clust_2200
BRE4|SEQ00260	VBIBifBre327712_0260	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	268610573	335903	337225	+	1323		hypothetical protein	BRE4	clust_2201
BRE4|SEQ00263	VBIBifBre327712_0263	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	268610579	339129	340931	+	1803		"Alpha-galactosidase "	BRE4	clust_2202
BRE4|SEQ00295	VBIBifBre327712_0295	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	268610647	375987	376127	-	141		hypothetical protein	BRE4	clust_2203
BRE4|SEQ00317	VBIBifBre327712_0317	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	268610695	399211	399885	+	675		hypothetical protein	BRE4	clust_2208
BRE5|SEQ00278	VBIBifBre336369_0279	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	268614659	335935	336810	+	876		hypothetical protein	BRE5	clust_2200
BRE5|SEQ00279	VBIBifBre336369_0280	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	268614661	337072	338394	+	1323		hypothetical protein	BRE5	clust_2201
BRE5|SEQ00282	VBIBifBre336369_0283	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	268614667	340298	342100	+	1803		"Alpha-galactosidase "	BRE5	clust_2202
BRE5|SEQ00318	VBIBifBre336369_0319	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	268614744	378064	378204	-	141		hypothetical protein	BRE5	clust_2203
BRE5|SEQ00341	VBIBifBre336369_0342	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	268614792	402534	402842	+	309		hypothetical protein	BRE5	clust_2208
BRE6|SEQ00018	VBIBifBre268992_0018	Bifidobacterium breve JCP7499	AWSX01000001	PATRIC	CDS	177653122	18507	19064	-	558		hypothetical protein	BRE6	clust_2208
BRE6|SEQ00349	VBIBifBre268992_0349	Bifidobacterium breve JCP7499	AWSX01000018	PATRIC	CDS	177653820	17994	18869	+	876		hypothetical protein	BRE6	clust_2200
BRE6|SEQ00350	VBIBifBre268992_0350	Bifidobacterium breve JCP7499	AWSX01000018	PATRIC	CDS	177653822	19131	20453	+	1323		hypothetical protein	BRE6	clust_2201
BRE6|SEQ00353	VBIBifBre268992_0353	Bifidobacterium breve JCP7499	AWSX01000018	PATRIC	CDS	177653828	22357	24159	+	1803		Alpha-galactosidase (EC 3.2.1.22)	BRE6	clust_2202
BRE6|SEQ00532	VBIBifBre268992_0532	Bifidobacterium breve JCP7499	AWSX01000029	PATRIC	CDS	177654203	8565	8705	+	141		hypothetical protein	BRE6	clust_2203
BRE7|SEQ00271	VBIBifBre340732_0271	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	268618954	345996	346871	+	876		hypothetical protein	BRE7	clust_2200
BRE7|SEQ00272	VBIBifBre340732_0272	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	268618956	347133	348455	+	1323		hypothetical protein	BRE7	clust_2201
BRE7|SEQ00275	VBIBifBre340732_0275	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	268618962	350359	352161	+	1803		"Alpha-galactosidase "	BRE7	clust_2202
BRE7|SEQ00307	VBIBifBre340732_0307	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	268619030	387195	387335	-	141		hypothetical protein	BRE7	clust_2203
BRE7|SEQ00335	VBIBifBre340732_0335	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	268619088	419775	420083	+	309		hypothetical protein	BRE7	clust_2208
BRE8|SEQ00297	VBIBifBre176493_0297	Bifidobacterium breve S27	CP006716	PATRIC	CDS	268623119	377487	378362	+	876		hypothetical protein	BRE8	clust_2200
BRE8|SEQ00298	VBIBifBre176493_0298	Bifidobacterium breve S27	CP006716	PATRIC	CDS	268623121	378624	379946	+	1323		hypothetical protein	BRE8	clust_2201
BRE8|SEQ00301	VBIBifBre176493_0301	Bifidobacterium breve S27	CP006716	PATRIC	CDS	268623127	381850	383652	+	1803		"Alpha-galactosidase "	BRE8	clust_2202
BRE8|SEQ00333	VBIBifBre176493_0333	Bifidobacterium breve S27	CP006716	PATRIC	CDS	268623195	418693	418833	-	141		hypothetical protein	BRE8	clust_2203
BRE8|SEQ00361	VBIBifBre176493_0361	Bifidobacterium breve S27	CP006716	PATRIC	CDS	268623253	450904	451578	+	675		hypothetical protein	BRE8	clust_2208
