cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
INF1|SEQ00120	46884147	VBIBifLon182273_0120	SEQ00120	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Xanthine permease	GO:0006810	transport	go	clust_2689
INF1|SEQ00120	46884147	VBIBifLon182273_0120	SEQ00120	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Xanthine permease	GO:0005215	transporter activity	go	clust_2689
INF1|SEQ00120	46884147	VBIBifLon182273_0120	SEQ00120	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Xanthine permease	GO:0016020	membrane	go	clust_2689
INF1|SEQ00474	46884887	VBIBifLon182273_0474	SEQ00474	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Alpha-N-arabinofuranosidase (EC 3.2.1.55)	GO:0046556	alpha-N-arabinofuranosidase activity	go	clust_2705
INF1|SEQ00982	46885945	VBIBifLon182273_0982	SEQ00982	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Signal peptidase I (EC 3.4.21.89)	GO:0008236	serine-type peptidase activity	go	clust_2724
INF1|SEQ00982	46885945	VBIBifLon182273_0982	SEQ00982	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Signal peptidase I (EC 3.4.21.89)	GO:0006508	proteolysis	go	clust_2724
INF1|SEQ01443	46886898	VBIBifLon182273_1443	SEQ01443	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	go	clust_2735
INF1|SEQ01444	46886900	VBIBifLon182273_1444	SEQ01444	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Methionine ABC transporter ATP-binding protein	GO:0016887	ATPase activity	go	clust_2736
INF1|SEQ01444	46886900	VBIBifLon182273_1444	SEQ01444	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Methionine ABC transporter ATP-binding protein	GO:0005524	ATP binding	go	clust_2736
INF1|SEQ01468	46886949	VBIBifLon182273_1468	SEQ01468	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	go	clust_2739
INF1|SEQ01830	46887706	VBIBifLon182273_1830	SEQ01830	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	clust_2758
INF1|SEQ01852	46887753	VBIBifLon182273_1852	SEQ01852	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Transcriptional regulator, IclR family	GO:0003677	DNA binding	go	clust_2761
INF1|SEQ01903	46887863	VBIBifLon182273_1903	SEQ01903	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Histidine ammonia-lyase (EC 4.3.1.3)	GO:0004397	histidine ammonia-lyase activity	go	clust_2767
INF1|SEQ01904	46887865	VBIBifLon182273_1904	SEQ01904	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Transcriptional regulator, IclR family	GO:0003677	DNA binding	go	clust_2768
INF1|SEQ01934	46887926	VBIBifLon182273_1934	SEQ01934	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Alpha-galactosidase precursor (EC 3.2.1.22)	GO:0004557	alpha-galactosidase activity	go	clust_2772
LON1|SEQ00063	21117153	VBIBifLon107831_0063	SEQ00063	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	go	clust_2739
LON1|SEQ00089	21117205	VBIBifLon107831_0089	SEQ00089	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Methionine ABC transporter ATP-binding protein	GO:0016887	ATPase activity	go	clust_2736
LON1|SEQ00089	21117205	VBIBifLon107831_0089	SEQ00089	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Methionine ABC transporter ATP-binding protein	GO:0005524	ATP binding	go	clust_2736
LON1|SEQ00090	21117207	VBIBifLon107831_0090	SEQ00090	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	go	clust_2735
LON1|SEQ00478	21118011	VBIBifLon107831_0479	SEQ00478	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Signal peptidase I (EC 3.4.21.89)	GO:0006508	proteolysis	go	clust_2724
LON1|SEQ00478	21118011	VBIBifLon107831_0479	SEQ00478	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Signal peptidase I (EC 3.4.21.89)	GO:0008236	serine-type peptidase activity	go	clust_2724
LON1|SEQ00875	21118827	VBIBifLon107831_0876	SEQ00875	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Alpha-N-arabinofuranosidase (EC 3.2.1.55)	GO:0046556	alpha-N-arabinofuranosidase activity	go	clust_2705
LON1|SEQ01254	21119613	VBIBifLon107831_1255	SEQ01254	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Xanthine permease	GO:0016020	membrane	go	clust_2689
LON1|SEQ01254	21119613	VBIBifLon107831_1255	SEQ01254	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Xanthine permease	GO:0006810	transport	go	clust_2689
LON1|SEQ01254	21119613	VBIBifLon107831_1255	SEQ01254	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Xanthine permease	GO:0005215	transporter activity	go	clust_2689
LON1|SEQ01475	21120080	VBIBifLon107831_1476	SEQ01475	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Alpha-galactosidase precursor (EC 3.2.1.22)	GO:0004557	alpha-galactosidase activity	go	clust_2772
LON1|SEQ01532	21120194	VBIBifLon107831_1533	SEQ01532	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Transcriptional regulator, IclR family	GO:0003677	DNA binding	go	clust_2768
LON1|SEQ01533	21120196	VBIBifLon107831_1534	SEQ01533	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Histidine ammonia-lyase (EC 4.3.1.3)	GO:0004397	histidine ammonia-lyase activity	go	clust_2767
LON1|SEQ01577	21120292	VBIBifLon107831_1578	SEQ01577	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Transcriptional regulator, IclR family	GO:0003677	DNA binding	go	clust_2761
LON1|SEQ01594	21120328	VBIBifLon107831_1595	SEQ01594	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	clust_2758
LON2|SEQ00108	42579710	VBIBifLon171405_0109	SEQ00108	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	NA	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	go	clust_2739
LON2|SEQ00134	42579763	VBIBifLon171405_0135	SEQ00134	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	NA	Methionine ABC transporter ATP-binding protein	GO:0016887	ATPase activity	go	clust_2736
LON2|SEQ00134	42579763	VBIBifLon171405_0135	SEQ00134	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	NA	Methionine ABC transporter ATP-binding protein	GO:0005524	ATP binding	go	clust_2736
LON2|SEQ00135	42579765	VBIBifLon171405_0136	SEQ00135	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	NA	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity	go	clust_2735
