cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
INF1|SEQ00042	VBIBifLon182273_0042	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46883985	53466	53612	+	147		hypothetical protein	INF1	NA
INF1|SEQ00077	VBIBifLon182273_0077	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884058	94601	94972	-	372		hypothetical protein	INF1	NA
INF1|SEQ00094	VBIBifLon182273_0094	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884094	115822	115989	+	168		hypothetical protein	INF1	NA
INF1|SEQ00115	VBIBifLon182273_0115	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884137	143174	143287	+	114		hypothetical protein	INF1	NA
INF1|SEQ00331	VBIBifLon182273_0331	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884592	408838	409101	-	264		site-specific recombinase	INF1	NA
INF1|SEQ00384	VBIBifLon182273_0384	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884705	477530	477757	-	228		Mobile element protein	INF1	NA
INF1|SEQ00386	VBIBifLon182273_0386	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884709	478619	478792	-	174		hypothetical protein	INF1	NA
INF1|SEQ00389	VBIBifLon182273_0389	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884715	482724	482843	-	120		hypothetical protein	INF1	NA
INF1|SEQ00393	VBIBifLon182273_0393	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884723	487550	488983	+	1434		hypothetical protein	INF1	NA
INF1|SEQ00399	VBIBifLon182273_0399	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884735	497684	498466	+	783		Mobile element protein	INF1	NA
INF1|SEQ00456	VBIBifLon182273_0456	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884850	580433	580564	+	132		FIG00424334: hypothetical protein	INF1	NA
INF1|SEQ00475	VBIBifLon182273_0475	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884889	601953	602066	-	114		hypothetical protein	INF1	NA
INF1|SEQ00496	VBIBifLon182273_0496	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884932	629155	629781	+	627		FIG00426491: hypothetical protein	INF1	NA
INF1|SEQ00497	VBIBifLon182273_0497	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46884934	629778	630173	+	396		Transcriptional regulator, Cro/CI family	INF1	NA
INF1|SEQ00570	VBIBifLon182273_0570	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885086	711984	712103	+	120		Galactoside O-acetyltransferase (EC 2.3.1.18)	INF1	NA
INF1|SEQ00697	VBIBifLon182273_0697	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885357	855957	856334	-	378		COG3436: Transposase and inactivated derivatives	INF1	NA
INF1|SEQ00746	VBIBifLon182273_0746	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885461	915622	915864	-	243		hypothetical protein	INF1	NA
INF1|SEQ00747	VBIBifLon182273_0747	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885463	916217	916975	-	759		hypothetical protein	INF1	NA
INF1|SEQ00831	VBIBifLon182273_0831	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885633	1008093	1008404	-	312		hypothetical protein	INF1	NA
INF1|SEQ00832	VBIBifLon182273_0832	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885635	1008420	1008554	-	135		hypothetical protein	INF1	NA
INF1|SEQ00836	VBIBifLon182273_0836	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885643	1012025	1012426	-	402		hypothetical protein	INF1	NA
INF1|SEQ00837	VBIBifLon182273_0837	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885645	1012774	1013649	-	876		hypothetical protein	INF1	NA
INF1|SEQ00838	VBIBifLon182273_0838	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885647	1013646	1013897	-	252		hypothetical protein	INF1	NA
INF1|SEQ00842	VBIBifLon182273_0842	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885655	1022136	1022459	-	324		hypothetical protein	INF1	NA
INF1|SEQ00845	VBIBifLon182273_0845	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885661	1023795	1024250	-	456		hypothetical protein	INF1	NA
INF1|SEQ00846	VBIBifLon182273_0846	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885663	1024243	1024443	-	201		hypothetical protein	INF1	NA
INF1|SEQ00856	VBIBifLon182273_0856	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885691	1035357	1035542	+	186		hypothetical protein	INF1	NA
INF1|SEQ00857	VBIBifLon182273_0857	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885693	1035816	1036010	+	195		hypothetical protein	INF1	NA
INF1|SEQ00858	VBIBifLon182273_0858	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885695	1036669	1036935	+	267		hypothetical protein	INF1	NA
INF1|SEQ00859	VBIBifLon182273_0859	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	46885697	1036949	1037218	+	270		hypothetical protein	INF1	NA
