cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
ADO1|SEQ00380	VBIBifAdo136061_0380	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	27187021	201698	203164	-	1467		hypothetical protein	ADO1	clust_1898
BRE1|SEQ00303	VBIBifBre340958_0303	Bifidobacterium breve 12L	CP006711	PATRIC	CDS	268602548	379322	380020	-	699		hypothetical protein	BRE1	clust_1898
BRE2|SEQ00363	VBIBifBre337368_0363	Bifidobacterium breve 689b	CP006715	PATRIC	CDS	268606643	434181	434879	-	699		hypothetical protein	BRE2	clust_1898
BRE3|SEQ00354	VBIBifBre167886_0354	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS	54192373	438481	439179	-	699		hypothetical protein	BRE3	clust_1898
BRE4|SEQ00313	VBIBifBre327712_0313	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS	268610685	391215	391826	-	612		hypothetical protein	BRE4	clust_1898
BRE5|SEQ00334	VBIBifBre336369_0335	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS	268614776	392745	393443	-	699		hypothetical protein	BRE5	clust_1898
BRE6|SEQ00023	VBIBifBre268992_0023	Bifidobacterium breve JCP7499	AWSX01000001	PATRIC	CDS	177653134	26389	27051	+	663		hypothetical protein	BRE6	clust_1898
BRE7|SEQ00330	VBIBifBre340732_0330	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS	268619076	411418	412083	-	666		hypothetical protein	BRE7	clust_1898
BRE8|SEQ00356	VBIBifBre176493_0356	Bifidobacterium breve S27	CP006716	PATRIC	CDS	268623241	442917	443615	-	699		hypothetical protein	BRE8	clust_1898
BRE9|SEQ00405	VBIBifBre30019_0405	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS	58444864	484980	485678	-	699		hypothetical protein	BRE9	clust_1898
THE1|SEQ00127	VBIBifThe274299_0127	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	124733417	146857	148563	+	1707		hypothetical protein	THE1	clust_1898
