cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV01|SEQ00003	clust_1034	VBIGarVag247323_0003	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494098	3307	4506	+	1200		FIG00672189: hypothetical protein	GV01
GV01|SEQ00007	clust_0751	VBIGarVag247323_0007	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494106	9437	10318	+	882		Manganese ABC transporter, inner membrane permease protein SitD	GV01
GV01|SEQ00010	clust_0867	VBIGarVag247323_0010	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494112	11030	11911	+	882		1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	GV01
GV01|SEQ00011	clust_0850	VBIGarVag247323_0011	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494114	12212	13207	+	996	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	GV01
GV01|SEQ00014	clust_0750	VBIGarVag247323_0014	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494120	15590	16972	+	1383		Homoserine dehydrogenase (EC 1.1.1.3)	GV01
GV01|SEQ00024	clust_0749	VBIGarVag247323_0024	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494140	28075	28383	+	309	rplU	LSU ribosomal protein L21p	GV01
GV01|SEQ00025	clust_0894	VBIGarVag247323_0025	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494142	28417	28668	+	252	rpmA	LSU ribosomal protein L27p	GV01
GV01|SEQ00026	clust_0824	VBIGarVag247323_0026	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494144	28763	30427	+	1665	obgE	COG0536: GTP-binding protein Obg	GV01
GV01|SEQ00028	clust_0906	VBIGarVag247323_0028	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494148	31754	33037	+	1284		Aspartate aminotransferase (EC 2.6.1.1)	GV01
GV01|SEQ00030	clust_0748	VBIGarVag247323_0030	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494154	33579	34418	+	840		Transcription antitermination protein NusG	GV01
GV01|SEQ00032	clust_0747	VBIGarVag247323_0032	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494158	36081	36734	-	654		Substrate-specific component BioY of biotin ECF transporter	GV01
GV01|SEQ00036	clust_0746	VBIGarVag247323_0036	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494166	50542	51060	+	519		Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	GV01
GV01|SEQ00054	clust_0744	VBIGarVag247323_0054	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494206	72688	73365	+	678		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	GV01
GV01|SEQ00055	clust_0745	VBIGarVag247323_0055	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494208	73410	74171	+	762		FIG00424299: hypothetical protein	GV01
GV01|SEQ00060	clust_0743	VBIGarVag247323_0060	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494218	82502	83260	+	759		FIG00672025: hypothetical protein	GV01
GV01|SEQ00064	clust_0892	VBIGarVag247323_0064	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494226	92995	93675	+	681		FIG00672402: hypothetical protein	GV01
GV01|SEQ00065	clust_0820	VBIGarVag247323_0065	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494228	93988	95379	-	1392		possible transport protein	GV01
GV01|SEQ00076	clust_0790	VBIGarVag247323_0076	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494252	106651	108423	-	1773	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase	GV01
GV01|SEQ00082	clust_0791	VBIGarVag247323_0082	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494264	112652	113272	+	621		Translation initiation factor 3	GV01
GV01|SEQ00083	clust_0792	VBIGarVag247323_0083	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494266	113319	113447	+	129	rpmI	LSU ribosomal protein L35p	GV01
GV01|SEQ00084	clust_0793	VBIGarVag247323_0084	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494268	113502	113885	+	384	rplT	LSU ribosomal protein L20p	GV01
GV01|SEQ00090	clust_0742	VBIGarVag247323_0090	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494280	119725	120951	+	1227		FIG00672408: hypothetical protein	GV01
GV01|SEQ00099	clust_0818	VBIGarVag247323_0099	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494298	131577	133253	+	1677		ABC transporter ATP-binding protein	GV01
GV01|SEQ00105	clust_0891	VBIGarVag247323_0105	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494310	141327	143159	+	1833		ATP-dependent RNA helicase	GV01
GV01|SEQ00110	clust_0261	VBIGarVag247323_0110	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494320	149767	152055	+	2289		ABC transporter, ATP-binding/permease protein	GV01
GV01|SEQ00134	clust_0741	VBIGarVag247323_0134	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494374	180860	182026	+	1167		FIG00672086: hypothetical protein	GV01
GV01|SEQ00135	clust_0817	VBIGarVag247323_0135	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494376	182396	182683	+	288	rpsL	SSU ribosomal protein S12p (S23e)	GV01
GV01|SEQ00136	clust_0740	VBIGarVag247323_0136	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494378	182687	183157	+	471		SSU ribosomal protein S7p (S5e)	GV01
GV01|SEQ00139	clust_0739	VBIGarVag247323_0139	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494384	186091	186699	+	609		Translation elongation factor Tu	GV01
GV01|SEQ00143	clust_0902	VBIGarVag247323_0143	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494393	2867	3475	-	609		Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)	GV01
GV01|SEQ00165	clust_0796	VBIGarVag247323_0165	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494437	27173	28474	-	1302		FIG00671967: hypothetical protein	GV01
GV01|SEQ00173	clust_0834	VBIGarVag247323_0173	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494453	40712	43189	+	2478		Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9); Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	GV01
GV01|SEQ00192	clust_0799	VBIGarVag247323_0192	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494496	67597	68370	-	774		FIG00672212: hypothetical protein	GV01
GV01|SEQ00195	clust_0929	VBIGarVag247323_0195	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494502	71124	71753	-	630		FIG00672016: hypothetical protein	GV01
