cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
LON2|SEQ00003	VBIBifLon171405_0003	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42579499	2516	2629	+	114		hypothetical protein	LON2	NA
LON2|SEQ00007	VBIBifLon171405_0007	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42579507	7520	7732	+	213		hypothetical protein	LON2	NA
LON2|SEQ00012	VBIBifLon171405_0012	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42579517	12090	12257	+	168		hypothetical protein	LON2	NA
LON2|SEQ00025	VBIBifLon171405_0025	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42579543	26607	26810	+	204		Prokaryotic ubiquitin-like protein Pup	LON2	NA
LON2|SEQ00043	VBIBifLon171405_0043	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42579579	43946	44068	+	123		hypothetical protein	LON2	NA
LON2|SEQ00310	VBIBifLon171405_0311	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580123	363133	363264	-	132		Cell filamentation protein fic	LON2	NA
LON2|SEQ00338	VBIBifLon171405_0339	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580179	400651	400800	+	150		Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)	LON2	NA
LON2|SEQ00347	VBIBifLon171405_0348	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580197	409829	409936	+	108		hypothetical protein	LON2	NA
LON2|SEQ00348	VBIBifLon171405_0349	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580199	411353	411721	+	369		hypothetical protein	LON2	NA
LON2|SEQ00354	VBIBifLon171405_0355	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580211	417202	417435	+	234		hypothetical protein	LON2	NA
LON2|SEQ00355	VBIBifLon171405_0356	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580215	418492	418692	+	201		hypothetical protein	LON2	NA
LON2|SEQ00356	VBIBifLon171405_0357	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580217	418805	420067	-	1263		hypothetical protein	LON2	NA
LON2|SEQ00357	VBIBifLon171405_0358	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580219	420042	420194	-	153		hypothetical protein	LON2	NA
LON2|SEQ00361	VBIBifLon171405_0362	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580227	423601	423756	-	156		hypothetical protein	LON2	NA
LON2|SEQ00449	VBIBifLon171405_0450	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580418	526708	526842	-	135		hypothetical protein	LON2	NA
LON2|SEQ00452	VBIBifLon171405_0453	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580424	528218	529066	-	849		Sortase A, LPXTG specific	LON2	NA
LON2|SEQ00455	VBIBifLon171405_0456	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580430	531629	532333	-	705		DNA-binding response regulator KdpE	LON2	NA
LON2|SEQ00456	VBIBifLon171405_0457	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580432	532338	535181	-	2844		Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)	LON2	NA
LON2|SEQ00457	VBIBifLon171405_0458	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580434	535209	535322	+	114		hypothetical protein	LON2	NA
LON2|SEQ00458	VBIBifLon171405_0459	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580436	535367	535975	-	609		Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	LON2	NA
LON2|SEQ00459	VBIBifLon171405_0460	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580438	536000	538138	-	2139		Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	LON2	NA
LON2|SEQ00460	VBIBifLon171405_0461	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580440	538140	539813	-	1674		Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	LON2	NA
LON2|SEQ00461	VBIBifLon171405_0462	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580442	540023	540148	+	126		hypothetical protein	LON2	NA
LON2|SEQ00462	VBIBifLon171405_0463	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580444	540216	540425	-	210		FIG00425283: hypothetical protein	LON2	NA
LON2|SEQ00463	VBIBifLon171405_0464	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580446	540462	542423	-	1962		hypothetical protein	LON2	NA
LON2|SEQ00464	VBIBifLon171405_0465	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580448	542395	543414	-	1020		hypothetical protein	LON2	NA
LON2|SEQ00465	VBIBifLon171405_0466	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS	42580450	543419	543631	+	213		hypothetical protein	LON2	NA
