cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
DEN2|SEQ00008	42108297	VBIBifDen39005_0008	SEQ00008	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000001	PATRIC	CDS		MSM (multiple sugar metabolism) operon regulatory protein	FIG01304229	figfam	NA
DEN2|SEQ00058	42108398	VBIBifDen39005_0058	SEQ00058	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000002	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00089	42108475	VBIBifDen39005_0089	SEQ00089	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS		Cytoplasmic hypothetical protein DUF199, a subgroup	FIG01304101	figfam	NA
DEN2|SEQ00100	42108497	VBIBifDen39005_0100	SEQ00100	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS		Chaperone protein DnaJ	FIG00000070	figfam	NA
DEN2|SEQ00181	42108676	VBIBifDen39005_0181	SEQ00181	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS		FIG00672247: hypothetical protein	FIG00672245	figfam	NA
DEN2|SEQ00222	42108761	VBIBifDen39005_0222	SEQ00222	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS		N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	FIG00000358	figfam	NA
DEN2|SEQ00226	42108771	VBIBifDen39005_0226	SEQ00226	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS		Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	FIG00000098	figfam	NA
DEN2|SEQ00290	42108903	VBIBifDen39005_0290	SEQ00290	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS		FIG00424766: hypothetical protein	FIG01319186	figfam	NA
DEN2|SEQ00309	42108941	VBIBifDen39005_0309	SEQ00309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS		Alpha-galactosidase (EC 3.2.1.22)	FIG00002020	figfam	NA
DEN2|SEQ00339	42109001	VBIBifDen39005_0339	SEQ00339	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00399	42109124	VBIBifDen39005_0399	SEQ00399	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00422	42109170	VBIBifDen39005_0422	SEQ00422	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00435	42109196	VBIBifDen39005_0435	SEQ00435	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00473	42109272	VBIBifDen39005_0473	SEQ00473	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00486	42109298	VBIBifDen39005_0486	SEQ00486	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		DNA polymerase I (EC 2.7.7.7)	FIG00000404	figfam	NA
DEN2|SEQ00493	42109314	VBIBifDen39005_0493	SEQ00493	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00529	42109386	VBIBifDen39005_0529	SEQ00529	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00532	42109392	VBIBifDen39005_0532	SEQ00532	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00587	42109504	VBIBifDen39005_0587	SEQ00587	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00606	42109542	VBIBifDen39005_0606	SEQ00606	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS		Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	FIG00007957	figfam	NA
DEN2|SEQ00628	42109588	VBIBifDen39005_0628	SEQ00628	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000009	PATRIC	CDS		UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase	FIG00148597	figfam	NA
DEN2|SEQ00657	42109648	VBIBifDen39005_0657	SEQ00657	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000009	PATRIC	CDS		Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	FIG00014907	figfam	NA
DEN2|SEQ00777	42109893	VBIBifDen39005_0777	SEQ00777	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000011	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
DEN2|SEQ00806	42109957	VBIBifDen39005_0806	SEQ00806	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000011	PATRIC	CDS		Phage major capsid protein	FIG00016372	figfam	NA
DEN2|SEQ00835	42110020	VBIBifDen39005_0835	SEQ00835	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000015	PATRIC	CDS		Pyridoxal kinase (EC 2.7.1.35)	FIG00001020	figfam	NA
