GV12|SEQ00924
GV17|SEQ00213
GV15|SEQ00279
GV14|SEQ00872
GV34|SEQ00466
GV33|SEQ00535
GV20|SEQ00955
GV13|SEQ00739
GV22|SEQ00849
GV18|SEQ01168
GV19|SEQ00567
GV24|SEQ00761
GV16|SEQ01044
GV30|SEQ00401
GV21|SEQ00826
GV31|SEQ00082
GV29|SEQ01054
GV32|SEQ00013
GV35|SEQ00439
GV28|SEQ00492
GV26|SEQ00104
GV27|SEQ00040
GV25|SEQ00257
GV23|SEQ00413
GV34|SEQ00677
GV33|SEQ00736
GV07|SEQ00819
GV10|SEQ00380
GV11|SEQ01293
GV08|SEQ00416
GV09|SEQ00394
GV02|SEQ00452
GV06|SEQ00856
GV04|SEQ01301
GV03|SEQ00564
GV05|SEQ00584
GV01|SEQ00180
