cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
BIF1|SEQ00003	VBIBifBif87902_0003	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882499	3282	3401	-	120		hypothetical protein	BIF1	NA
BIF1|SEQ00007	VBIBifBif87902_0007	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882507	7595	7735	-	141		hypothetical protein	BIF1	NA
BIF1|SEQ00010	VBIBifBif87902_0010	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882513	11448	11702	-	255	abfA	COG3534: Alpha-L-arabinofuranosidase	BIF1	NA
BIF1|SEQ00011	VBIBifBif87902_0011	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882515	11728	12264	+	537		hypothetical protein	BIF1	NA
BIF1|SEQ00015	VBIBifBif87902_0015	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882523	16556	16714	-	159		hypothetical protein	BIF1	NA
BIF1|SEQ00016	VBIBifBif87902_0016	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882525	18421	18930	+	510		hypothetical protein	BIF1	NA
BIF1|SEQ00020	VBIBifBif87902_0020	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882533	22561	26007	-	3447	abfA	Beta-hexosaminidase (EC 3.2.1.52)	BIF1	NA
BIF1|SEQ00021	VBIBifBif87902_0021	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882539	26567	26698	-	132		hypothetical protein	BIF1	NA
BIF1|SEQ00038	VBIBifBif87902_0038	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882573	49461	49577	-	117		hypothetical protein	BIF1	NA
BIF1|SEQ00048	VBIBifBif87902_0048	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882593	59499	60638	-	1140		hypothetical protein	BIF1	NA
BIF1|SEQ00054	VBIBifBif87902_0054	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882605	68875	68988	-	114	tnpB	transposase subunit B	BIF1	NA
BIF1|SEQ00055	VBIBifBif87902_0055	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882608	69334	69534	-	201		insertion element IS6110 hypothetical 12.0 kDa protein	BIF1	NA
BIF1|SEQ00056	VBIBifBif87902_0056	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882610	69580	69729	-	150		hypothetical protein	BIF1	NA
BIF1|SEQ00064	VBIBifBif87902_0064	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882626	80341	82128	-	1788		hypothetical protein	BIF1	NA
BIF1|SEQ00071	VBIBifBif87902_0071	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882640	89606	89809	+	204		Mobile element protein	BIF1	NA
BIF1|SEQ00075	VBIBifBif87902_0075	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882648	94174	94416	-	243		hypothetical protein	BIF1	NA
BIF1|SEQ00095	VBIBifBif87902_0095	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882688	121132	121341	+	210		hypothetical protein	BIF1	NA
BIF1|SEQ00097	VBIBifBif87902_0097	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882692	122215	122715	+	501		hypothetical protein	BIF1	NA
BIF1|SEQ00099	VBIBifBif87902_0099	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882696	123826	124164	-	339		hypothetical protein	BIF1	NA
BIF1|SEQ00102	VBIBifBif87902_0102	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882702	128524	128922	-	399		hypothetical protein	BIF1	NA
BIF1|SEQ00106	VBIBifBif87902_0106	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882711	132155	132445	+	291	tnpB	transposase subunit B	BIF1	NA
BIF1|SEQ00108	VBIBifBif87902_0108	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882715	132765	133022	-	258	xerC	phage integrase family protein	BIF1	NA
BIF1|SEQ00109	VBIBifBif87902_0109	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882717	134239	134436	-	198		hypothetical protein	BIF1	NA
BIF1|SEQ00110	VBIBifBif87902_0110	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882719	134539	135747	+	1209	hgiDIR	Type II restriction enzyme HgiDI (Endonuclease HgiDI) (R.HgiDI)	BIF1	NA
BIF1|SEQ00122	VBIBifBif87902_0122	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882748	151671	152342	-	672		hypothetical protein	BIF1	NA
BIF1|SEQ00123	VBIBifBif87902_0123	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882750	152339	152722	-	384		hypothetical protein	BIF1	NA
BIF1|SEQ00124	VBIBifBif87902_0124	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882752	152737	153084	-	348		hypothetical protein	BIF1	NA
BIF1|SEQ00125	VBIBifBif87902_0125	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882754	153087	153455	-	369		hypothetical protein	BIF1	NA
BIF1|SEQ00126	VBIBifBif87902_0126	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	86882756	153653	153955	-	303		hypothetical protein	BIF1	NA
