cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
GV01|SEQ00001	85494094	VBIGarVag247323_0001	SEQ00001	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Nicotinamidase (EC 3.5.1.19)	3.5.1.19	Nicotinamidase	ec	clust_0306
GV01|SEQ00010	85494112	VBIGarVag247323_0010	SEQ00010	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase	ec	clust_0879
GV01|SEQ00011	85494114	VBIGarVag247323_0011	SEQ00011	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	ec	clust_0863
GV01|SEQ00012	85494116	VBIGarVag247323_0012	SEQ00012	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	D-alanine--D-alanine ligase (EC 6.3.2.4)	6.3.2.4	D-alanine--D-alanine ligase	ec	clust_0301
GV01|SEQ00014	85494120	VBIGarVag247323_0014	SEQ00014	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	ec	clust_0759
GV01|SEQ00015	85494122	VBIGarVag247323_0015	SEQ00015	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Homoserine kinase (EC 2.7.1.39)	2.7.1.39	Homoserine kinase	ec	clust_0299
GV01|SEQ00023	85494138	VBIGarVag247323_0023	SEQ00023	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	3.1.4.-	Phosphoric diester hydrolases.	ec	clust_0937
GV01|SEQ00027	85494146	VBIGarVag247323_0027	SEQ00027	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Glutamate 5-kinase (EC 2.7.2.11)	2.7.2.11	Glutamate 5-kinase	ec	clust_0862
GV01|SEQ00028	85494148	VBIGarVag247323_0028	SEQ00028	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	ec	clust_0916
GV01|SEQ00031	85494156	VBIGarVag247323_0031	SEQ00031	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	NA	Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor	6.3.4.15	Biotin--[acetyl-CoA-carboxylase] ligase	ec	clust_0834
