cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV04|SEQ00124	clust_1146	VBIGarVag246433_0124	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	85480097	1073	2308	-	1236		Xylose-responsive transcription regulator, ROK family	GV04
GV04|SEQ00125	clust_1147	VBIGarVag246433_0125	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	85480099	2544	4052	+	1509		Xylulose kinase (EC 2.7.1.17)	GV04
GV04|SEQ00127	clust_1053	VBIGarVag246433_0127	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	85480103	5556	7130	-	1575		L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	GV04
GV04|SEQ00198	clust_1144	VBIGarVag246433_0198	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480248	64028	64150	+	123		hypothetical protein	GV04
GV04|SEQ00219	clust_1143	VBIGarVag246433_0219	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480292	87142	88461	+	1320		ABC transporter, solute-binding protein	GV04
GV04|SEQ00221	clust_1142	VBIGarVag246433_0221	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480296	89546	90463	+	918		ABC-type sugar transport system, permease component	GV04
GV04|SEQ00222	clust_1141	VBIGarVag246433_0222	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480298	90567	93719	+	3153		Beta-galactosidase (EC 3.2.1.23)	GV04
GV04|SEQ00223	clust_1140	VBIGarVag246433_0223	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	85480300	93826	95253	-	1428		Alpha-L-fucosidase (EC 3.2.1.51)	GV04
GV04|SEQ00383	clust_1148	VBIGarVag246433_0383	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	85480641	126624	127901	+	1278		Galactokinase (EC 2.7.1.6)	GV04
GV04|SEQ00384	clust_1149	VBIGarVag246433_0384	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	85480643	128105	130006	-	1902		FIG01114224: hypothetical protein	GV04
GV04|SEQ00396	clust_1158	VBIGarVag246433_0396	Gardnerella vaginalis 0288E	ADEN01000005	PATRIC	CDS	85480668	3670	3879	-	210		hypothetical protein	GV04
GV04|SEQ00574	clust_1053	VBIGarVag246433_0574	Gardnerella vaginalis 0288E	ADEN01000005	PATRIC	CDS	85481040	239789	241333	-	1545		L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	GV04
GV04|SEQ00680	clust_1150	VBIGarVag246433_0680	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481256	784	1257	+	474		transcription regulator, probable	GV04
GV04|SEQ00681	clust_1151	VBIGarVag246433_0681	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481258	1276	2085	+	810		Zeta toxin	GV04
GV04|SEQ00682	clust_1152	VBIGarVag246433_0682	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481260	2591	3550	-	960		FIG00424915: hypothetical protein	GV04
GV04|SEQ00872	clust_1154	VBIGarVag246433_0872	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	85481648	210548	211672	+	1125		FIG00672247: hypothetical protein	GV04
