cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
ADO1|SEQ00011	27186214	VBIBifAdo136061_0011	SEQ00011	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Threonine dehydratase, catabolic (EC 4.3.1.19)	GO:0004794	L-threonine ammonia-lyase activity	go	clust_1365
ADO1|SEQ00018	27186228	VBIBifAdo136061_0018	SEQ00018	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	GO:0004557	alpha-galactosidase activity	go	clust_1366
ADO1|SEQ00025	27186242	VBIBifAdo136061_0025	SEQ00025	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_0828
ADO1|SEQ00059	27186310	VBIBifAdo136061_0059	SEQ00059	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity	go	clust_0683
ADO1|SEQ00060	27186312	VBIBifAdo136061_0060	SEQ00060	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_0896
ADO1|SEQ00064	27186320	VBIBifAdo136061_0064	SEQ00064	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_0828
ADO1|SEQ00109	27186434	VBIBifAdo136061_0109	SEQ00109	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Dihydrodipicolinate synthase (EC 4.2.1.52)	GO:0008840	dihydrodipicolinate synthase activity	go	clust_1192
ADO1|SEQ00113	27186442	VBIBifAdo136061_0113	SEQ00113	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	GO:0004008	copper-exporting ATPase activity	go	clust_1145
ADO1|SEQ00115	27186446	VBIBifAdo136061_0115	SEQ00115	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Dihydrodipicolinate reductase (EC 1.3.1.26)	GO:0008839	dihydrodipicolinate reductase activity	go	clust_1232
ADO1|SEQ00133	27186482	VBIBifAdo136061_0133	SEQ00133	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	A/G-specific adenine glycosylase (EC 3.2.2.-)	GO:0005622	intracellular	go	clust_1062
ADO1|SEQ00133	27186482	VBIBifAdo136061_0133	SEQ00133	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	A/G-specific adenine glycosylase (EC 3.2.2.-)	GO:0003677	DNA binding	go	clust_1062
ADO1|SEQ00133	27186482	VBIBifAdo136061_0133	SEQ00133	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	A/G-specific adenine glycosylase (EC 3.2.2.-)	GO:0006284	base-excision repair	go	clust_1062
ADO1|SEQ00137	27186490	VBIBifAdo136061_0137	SEQ00137	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_0962
ADO1|SEQ00138	27186492	VBIBifAdo136061_0138	SEQ00138	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	GO:0017103	UTP:galactose-1-phosphate uridylyltransferase activity	go	clust_0023
ADO1|SEQ00144	27186504	VBIBifAdo136061_0144	SEQ00144	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Lipoate-protein ligase A	GO:0003824	catalytic activity	go	clust_1226
ADO1|SEQ00144	27186504	VBIBifAdo136061_0144	SEQ00144	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Lipoate-protein ligase A	GO:0006464	protein modification process	go	clust_1226
ADO1|SEQ00146	27186508	VBIBifAdo136061_0146	SEQ00146	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	GO:0003862	3-isopropylmalate dehydrogenase activity	go	clust_1225
ADO1|SEQ00151	27186518	VBIBifAdo136061_0151	SEQ00151	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Glycine cleavage system H protein	GO:0006546	glycine catabolic process	go	clust_1224
ADO1|SEQ00151	27186518	VBIBifAdo136061_0151	SEQ00151	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Glycine cleavage system H protein	GO:0005960	glycine cleavage complex	go	clust_1224
ADO1|SEQ00153	27186522	VBIBifAdo136061_0153	SEQ00153	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	NADH pyrophosphatase (EC 3.6.1.22)	GO:0000210	NAD+ diphosphatase activity	go	clust_1223
ADO1|SEQ00175	27186566	VBIBifAdo136061_0175	SEQ00175	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	GO:0008460	dTDP-glucose 4,6-dehydratase activity	go	clust_0580
ADO1|SEQ00242	27186724	VBIBifAdo136061_0242	SEQ00242	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	GO:0019134	glucosamine-1-phosphate N-acetyltransferase activity	go	clust_0600
ADO1|SEQ00242	27186724	VBIBifAdo136061_0242	SEQ00242	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	go	clust_0600
ADO1|SEQ00250	27186740	VBIBifAdo136061_0250	SEQ00250	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Ribokinase (EC 2.7.1.15)	GO:0004747	ribokinase activity	go	clust_1064
ADO1|SEQ00265	27186772	VBIBifAdo136061_0265	SEQ00265	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	ABC transporter membrane-spanning permease, Pep export, Vex3	GO:0016020	membrane	go	clust_0742
ADO1|SEQ00266	27186774	VBIBifAdo136061_0266	SEQ00266	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	ABC transporter membrane-spanning permease, Pep export, Vex3	GO:0016020	membrane	go	clust_0741
ADO1|SEQ00267	27186776	VBIBifAdo136061_0267	SEQ00267	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	ABC transporter, ATP-binding protein Vex2	GO:0005524	ATP binding	go	clust_0740
ADO1|SEQ00267	27186776	VBIBifAdo136061_0267	SEQ00267	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	ABC transporter, ATP-binding protein Vex2	GO:0016887	ATPase activity	go	clust_0740
ADO1|SEQ00276	27186802	VBIBifAdo136061_0276	SEQ00276	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	GO:0050515	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	go	clust_1367
ADO1|SEQ00292	27186834	VBIBifAdo136061_0292	SEQ00292	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Ribonuclease P protein component (EC 3.1.26.5)	GO:0004526	ribonuclease P activity	go	clust_0696
ADO1|SEQ00293	27186836	VBIBifAdo136061_0293	SEQ00293	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	LSU ribosomal protein L34p	GO:0006412	translation	go	clust_0719
ADO1|SEQ00293	27186836	VBIBifAdo136061_0293	SEQ00293	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	LSU ribosomal protein L34p	GO:0005622	intracellular	go	clust_0719
ADO1|SEQ00293	27186836	VBIBifAdo136061_0293	SEQ00293	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	LSU ribosomal protein L34p	GO:0003735	structural constituent of ribosome	go	clust_0719
ADO1|SEQ00293	27186836	VBIBifAdo136061_0293	SEQ00293	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	LSU ribosomal protein L34p	GO:0005840	ribosome	go	clust_0719
ADO1|SEQ00302	27186854	VBIBifAdo136061_0302	SEQ00302	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	GO:0004354	glutamate dehydrogenase (NADP+) activity	go	clust_1198
ADO1|SEQ00329	27186914	VBIBifAdo136061_0329	SEQ00329	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	GO:0004049	anthranilate synthase activity	go	clust_1200
ADO1|SEQ00340	27186936	VBIBifAdo136061_0340	SEQ00340	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Lysophospholipase L2 (EC 3.1.1.5)	GO:0004622	lysophospholipase activity	go	clust_1202
ADO1|SEQ00344	27186946	VBIBifAdo136061_0344	SEQ00344	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	tRNA-guanine transglycosylase (EC 2.4.2.29)	GO:0008479	queuine tRNA-ribosyltransferase activity	go	clust_0787
ADO1|SEQ00346	27186950	VBIBifAdo136061_0346	SEQ00346	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	GO:0004008	copper-exporting ATPase activity	go	clust_0625
ADO1|SEQ00352	27186964	VBIBifAdo136061_0352	SEQ00352	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Permease of the drug/metabolite transporter (DMT) superfamily	GO:0016020	membrane	go	clust_1483
ADO1|SEQ00355	27186970	VBIBifAdo136061_0355	SEQ00355	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	GO:0004332	fructose-bisphosphate aldolase activity	go	clust_0631
ADO1|SEQ00372	27187005	VBIBifAdo136061_0372	SEQ00372	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Sucrose phosphorylase (EC 2.4.1.7)	GO:0009018	sucrose phosphorylase activity	go	clust_1203
ADO1|SEQ00375	27187011	VBIBifAdo136061_0375	SEQ00375	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Ketol-acid reductoisomerase (EC 1.1.1.86)	GO:0004455	ketol-acid reductoisomerase activity	go	clust_0906
ADO1|SEQ00376	27187013	VBIBifAdo136061_0376	SEQ00376	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Ketol-acid reductoisomerase (EC 1.1.1.86)	GO:0004455	ketol-acid reductoisomerase activity	go	clust_0906
ADO1|SEQ00387	27187035	VBIBifAdo136061_0387	SEQ00387	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Thiazole biosynthesis protein ThiG	GO:0009228	thiamin biosynthetic process	go	clust_0813
ADO1|SEQ00390	27187041	VBIBifAdo136061_0390	SEQ00390	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Sulfur carrier protein ThiS	GO:0006790	sulfur metabolic process	go	clust_1493
ADO1|SEQ00400	27187061	VBIBifAdo136061_0400	SEQ00400	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Putative high-affinity iron permease	GO:0016020	membrane	go	clust_0748
