cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
GV14|SEQ00032	85501880	VBIGarVag244375_0032	SEQ00032	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000002	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV14|SEQ00333	85502510	VBIGarVag244375_0333	SEQ00333	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000003	PATRIC	CDS	NA	Listeria/Bacterioides repeat protein	FIG01741960	figfam	NA
GV14|SEQ00477	85502811	VBIGarVag244375_0477	SEQ00477	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000004	PATRIC	CDS	NA	FIG00672052: hypothetical protein	FIG00672051	figfam	NA
GV14|SEQ00498	85502853	VBIGarVag244375_0498	SEQ00498	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000004	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV14|SEQ00765	85503418	VBIGarVag244375_0765	SEQ00765	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000007	PATRIC	CDS	NA	SSU ribosomal protein S16p	FIG00000193	figfam	NA
GV14|SEQ00779	85503446	VBIGarVag244375_0779	SEQ00779	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000007	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV14|SEQ00889	85503672	VBIGarVag244375_0889	SEQ00889	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000009	PATRIC	CDS	NA	FIG00672200: hypothetical protein	FIG00672199	figfam	NA
GV14|SEQ01050	85504010	VBIGarVag244375_1050	SEQ01050	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000011	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV14|SEQ01092	85504095	VBIGarVag244375_1092	SEQ01092	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000011	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV14|SEQ01175	85504276	VBIGarVag244375_1175	SEQ01175	Gardnerella vaginalis 6119V5	GV14	Gardnerella vaginalis 6119V5	ADEW01000012	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
