cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	pathway_id	pathway_name	anno_type	ortho_id
DEN2|SEQ00222	42108761	VBIBifDen39005_0222	SEQ00222	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	330	Arginine and proline metabolism	path	NA
DEN2|SEQ00226	42108771	VBIBifDen39005_0226	SEQ00226	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000004	PATRIC	CDS	NA	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	6.1.1.20	Phenylalanine--tRNA ligase	970	Aminoacyl-tRNA biosynthesis	path	NA
DEN2|SEQ00309	42108941	VBIBifDen39005_0309	SEQ00309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	603	Glycosphingolipid biosynthesis - globo series	path	NA
DEN2|SEQ00309	42108941	VBIBifDen39005_0309	SEQ00309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	600	Sphingolipid metabolism	path	NA
DEN2|SEQ00309	42108941	VBIBifDen39005_0309	SEQ00309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	561	Glycerolipid metabolism	path	NA
DEN2|SEQ00309	42108941	VBIBifDen39005_0309	SEQ00309	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000006	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	52	Galactose metabolism	path	NA
DEN2|SEQ00486	42109298	VBIBifDen39005_0486	SEQ00486	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	DNA polymerase I (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	240	Pyrimidine metabolism	path	NA
DEN2|SEQ00486	42109298	VBIBifDen39005_0486	SEQ00486	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	DNA polymerase I (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	230	Purine metabolism	path	NA
DEN2|SEQ00606	42109542	VBIBifDen39005_0606	SEQ00606	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1.4.1.13	Glutamate synthase (NADPH)	910	Nitrogen metabolism	path	NA
DEN2|SEQ00606	42109542	VBIBifDen39005_0606	SEQ00606	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000007	PATRIC	CDS	NA	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1.4.1.13	Glutamate synthase (NADPH)	250	Alanine, aspartate and glutamate metabolism	path	NA
DEN2|SEQ00835	42110020	VBIBifDen39005_0835	SEQ00835	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000015	PATRIC	CDS	NA	Pyridoxal kinase (EC 2.7.1.35)	2.7.1.35	Pyridoxal kinase	750	Vitamin B6 metabolism	path	NA
DEN2|SEQ01100	42110564	VBIBifDen39005_1100	SEQ01100	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000019	PATRIC	CDS	NA	Formate--tetrahydrofolate ligase (EC 6.3.4.3)	6.3.4.3	Formate--tetrahydrofolate ligase	720	Reductive carboxylate cycle (CO2 fixation)	path	NA
DEN2|SEQ01100	42110564	VBIBifDen39005_1100	SEQ01100	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000019	PATRIC	CDS	NA	Formate--tetrahydrofolate ligase (EC 6.3.4.3)	6.3.4.3	Formate--tetrahydrofolate ligase	670	One carbon pool by folate	path	NA
DEN2|SEQ01249	42110877	VBIBifDen39005_1250	SEQ01249	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000023	PATRIC	CDS	NA	Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	770	Pantothenate and CoA biosynthesis	path	NA
DEN2|SEQ01249	42110877	VBIBifDen39005_1250	SEQ01249	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000023	PATRIC	CDS	NA	Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	440	Phosphonate and phosphinate metabolism	path	NA
DEN2|SEQ01249	42110877	VBIBifDen39005_1250	SEQ01249	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000023	PATRIC	CDS	NA	Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	600	Sphingolipid metabolism	path	NA
DEN2|SEQ01249	42110877	VBIBifDen39005_1250	SEQ01249	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000023	PATRIC	CDS	NA	Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	564	Glycerophospholipid metabolism	path	NA
DEN2|SEQ01249	42110877	VBIBifDen39005_1250	SEQ01249	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000023	PATRIC	CDS	NA	Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	2.7.8.-	Transferases for other substituted phosphate groups.	513	High-mannose type N-glycan biosynthesis	path	NA
DEN2|SEQ01331	42111047	VBIBifDen39005_1332	SEQ01331	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000026	PATRIC	CDS	NA	Polyphosphate kinase (EC 2.7.4.1)	2.7.4.1	Polyphosphate kinase	190	Oxidative phosphorylation	path	NA
DEN2|SEQ01728	42111853	VBIBifDen39005_1729	SEQ01728	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000030	PATRIC	CDS	NA	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	300	Lysine biosynthesis	path	NA
DEN2|SEQ01728	42111853	VBIBifDen39005_1729	SEQ01728	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000030	PATRIC	CDS	NA	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	550	Peptidoglycan biosynthesis	path	NA
DEN2|SEQ01858	42112131	VBIBifDen39005_1859	SEQ01858	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000032	PATRIC	CDS	NA	Alanine racemase (EC 5.1.1.1)	5.1.1.1	Alanine racemase	473	D-Alanine metabolism	path	NA
DEN2|SEQ02183	42112814	VBIBifDen39005_2185	SEQ02183	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000035	PATRIC	CDS	NA	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	2.7.7.8	Polyribonucleotide nucleotidyltransferase	240	Pyrimidine metabolism	path	NA
DEN2|SEQ02183	42112814	VBIBifDen39005_2185	SEQ02183	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000035	PATRIC	CDS	NA	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	2.7.7.8	Polyribonucleotide nucleotidyltransferase	230	Purine metabolism	path	NA
DEN2|SEQ02199	42112847	VBIBifDen39005_2201	SEQ02199	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000035	PATRIC	CDS	NA	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	2.5.1.54	3-deoxy-7-phosphoheptulonate synthase	400	Phenylalanine, tyrosine and tryptophan biosynthesis	path	NA
