cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
ADO1|SEQ00001	27186190	VBIBifAdo136061_0001	SEQ00001	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264420	PATRIC	CDS		Outer membrane protein W precursor	FIG00905622	figfam	NA
ADO1|SEQ00004	27186196	VBIBifAdo136061_0004	SEQ00004	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264420	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00005	27186199	VBIBifAdo136061_0005	SEQ00005	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS		Porphobilinogen synthase (EC 4.2.1.24)	FIG00000348	figfam	NA
ADO1|SEQ00006	27186201	VBIBifAdo136061_0006	SEQ00006	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS		Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	FIG00000022	figfam	NA
ADO1|SEQ00008	27186205	VBIBifAdo136061_0008	SEQ00008	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS		Proteinase inhibitor	FIG00725209	figfam	NA
ADO1|SEQ00009	27186207	VBIBifAdo136061_0009	SEQ00009	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS		2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	FIG00517072	figfam	NA
ADO1|SEQ00016	27186224	VBIBifAdo136061_0016	SEQ00016	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00032	27186256	VBIBifAdo136061_0032	SEQ00032	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00050	27186292	VBIBifAdo136061_0050	SEQ00050	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00056	27186304	VBIBifAdo136061_0056	SEQ00056	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		Multiple sugar ABC transporter, membrane-spanning permease protein MsmG	FIG00007039	figfam	NA
ADO1|SEQ00057	27186306	VBIBifAdo136061_0057	SEQ00057	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00058	27186308	VBIBifAdo136061_0058	SEQ00058	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00061	27186314	VBIBifAdo136061_0061	SEQ00061	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00075	27186349	VBIBifAdo136061_0075	SEQ00075	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264423	PATRIC	CDS		Aspartate aminotransferase (EC 2.6.1.1)	FIG00719736	figfam	NA
ADO1|SEQ00077	27186353	VBIBifAdo136061_0077	SEQ00077	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264423	PATRIC	CDS		Malate dehydrogenase (EC 1.1.1.37)	FIG00000455	figfam	NA
ADO1|SEQ00078	27186355	VBIBifAdo136061_0078	SEQ00078	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264423	PATRIC	CDS		Sensor histidine kinase	FIG00450955	figfam	NA
ADO1|SEQ00079	27186358	VBIBifAdo136061_0079	SEQ00079	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264424	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00081	27186363	VBIBifAdo136061_0081	SEQ00081	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264425	PATRIC	CDS		CTP synthase (EC 6.3.4.2)	FIG00000176	figfam	NA
ADO1|SEQ00083	27186367	VBIBifAdo136061_0083	SEQ00083	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264425	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00088	27186380	VBIBifAdo136061_0088	SEQ00088	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264428	PATRIC	CDS		Alkylhydroperoxidase protein D	FIG00003720	figfam	NA
ADO1|SEQ00089	27186383	VBIBifAdo136061_0089	SEQ00089	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264429	PATRIC	CDS		Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	FIG00138403	figfam	NA
ADO1|SEQ00090	27186385	VBIBifAdo136061_0090	SEQ00090	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264429	PATRIC	CDS		metallo-beta-lactamase superfamily protein	FIG01193879	figfam	NA
ADO1|SEQ00091	27186388	VBIBifAdo136061_0091	SEQ00091	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264430	PATRIC	CDS		Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	FIG00000477	figfam	NA
ADO1|SEQ00093	27186394	VBIBifAdo136061_0093	SEQ00093	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264432	PATRIC	CDS		Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	FIG00016514	figfam	NA
ADO1|SEQ00095	27186398	VBIBifAdo136061_0095	SEQ00095	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264432	PATRIC	CDS		DNA topoisomerase I (EC 5.99.1.2)	FIG00000204	figfam	NA
ADO1|SEQ00096	27186400	VBIBifAdo136061_0096	SEQ00096	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264432	PATRIC	CDS		Histone H1	FIG01327381	figfam	NA
ADO1|SEQ00097	27186403	VBIBifAdo136061_0097	SEQ00097	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264433	PATRIC	CDS		6-phosphofructokinase (EC 2.7.1.11)	FIG00058830	figfam	NA
ADO1|SEQ00098	27186406	VBIBifAdo136061_0098	SEQ00098	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264434	PATRIC	CDS		Transcriptional regulator, LysR family	FIG01304134	figfam	NA
ADO1|SEQ00099	27186408	VBIBifAdo136061_0099	SEQ00099	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264434	PATRIC	CDS		Seryl-tRNA synthetase (EC 6.1.1.11)	FIG00000121	figfam	NA
ADO1|SEQ00100	27186411	VBIBifAdo136061_0100	SEQ00100	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264435	PATRIC	CDS		Transport protein	FIG01211873	figfam	NA
ADO1|SEQ00147	27186510	VBIBifAdo136061_0147	SEQ00147	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00148	27186512	VBIBifAdo136061_0148	SEQ00148	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00157	27186530	VBIBifAdo136061_0157	SEQ00157	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00162	27186540	VBIBifAdo136061_0162	SEQ00162	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00168	27186552	VBIBifAdo136061_0168	SEQ00168	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	FIG00000187	figfam	NA
ADO1|SEQ00181	27186583	VBIBifAdo136061_0181	SEQ00181	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264441	PATRIC	CDS		Transmembrane protein	FIG01209965	figfam	NA
ADO1|SEQ00182	27186585	VBIBifAdo136061_0182	SEQ00182	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264441	PATRIC	CDS		FIG01211385: hypothetical protein	FIG01211383	figfam	NA
ADO1|SEQ00183	27186587	VBIBifAdo136061_0183	SEQ00183	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264441	PATRIC	CDS		TonB-dependent receptor	FIG01260980	figfam	NA
ADO1|SEQ00185	27186593	VBIBifAdo136061_0185	SEQ00185	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264443	PATRIC	CDS		Putative ATP-binding component of a transport system	FIG00554366	figfam	NA
ADO1|SEQ00186	27186595	VBIBifAdo136061_0186	SEQ00186	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264443	PATRIC	CDS		Peptidase, M20/M25/M40 family	FIG01364805	figfam	NA
ADO1|SEQ00187	27186597	VBIBifAdo136061_0187	SEQ00187	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264443	PATRIC	CDS		O-antigen acetylase	FIG01370327	figfam	NA
ADO1|SEQ00188	27186599	VBIBifAdo136061_0188	SEQ00188	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264443	PATRIC	CDS		O-antigen acetylase	FIG01370327	figfam	NA
ADO1|SEQ00190	27186604	VBIBifAdo136061_0190	SEQ00190	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264444	PATRIC	CDS		Reductase	FIG01329194	figfam	NA
ADO1|SEQ00193	27186612	VBIBifAdo136061_0193	SEQ00193	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264446	PATRIC	CDS		FIG131328: Predicted ATP-dependent endonuclease of the OLD family	FIG00131328	figfam	NA
ADO1|SEQ00194	27186615	VBIBifAdo136061_0194	SEQ00194	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264447	PATRIC	CDS		Oligopeptide transporter	FIG01313833	figfam	NA
ADO1|SEQ00195	27186618	VBIBifAdo136061_0195	SEQ00195	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264448	PATRIC	CDS		Glutathione synthetase (EC 6.3.2.3)	FIG00000722	figfam	NA
ADO1|SEQ00196	27186620	VBIBifAdo136061_0196	SEQ00196	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264448	PATRIC	CDS		FIG00953656: hypothetical protein	FIG00953654	figfam	NA
ADO1|SEQ00197	27186623	VBIBifAdo136061_0197	SEQ00197	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264449	PATRIC	CDS		Sugar phosphate isomerases/epimerases	FIG01374069	figfam	NA
ADO1|SEQ00199	27186627	VBIBifAdo136061_0199	SEQ00199	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264449	PATRIC	CDS		Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	FIG00001629	figfam	NA
ADO1|SEQ00200	27186630	VBIBifAdo136061_0200	SEQ00200	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264450	PATRIC	CDS		Choline-sulfatase (EC 3.1.6.6)	FIG00001198	figfam	NA
ADO1|SEQ00203	27186640	VBIBifAdo136061_0203	SEQ00203	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264452	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00208	27186652	VBIBifAdo136061_0208	SEQ00208	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		COG0270: Site-specific DNA methylase	FIG01431730	figfam	NA
ADO1|SEQ00214	27186664	VBIBifAdo136061_0214	SEQ00214	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Single-stranded DNA-binding protein	FIG00077620	figfam	NA
ADO1|SEQ00226	27186688	VBIBifAdo136061_0226	SEQ00226	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00239	27186718	VBIBifAdo136061_0239	SEQ00239	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		FIG00672247: hypothetical protein	FIG00672245	figfam	NA
ADO1|SEQ00252	27186744	VBIBifAdo136061_0252	SEQ00252	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Transcriptional regulator, GntR family	FIG00621925	figfam	NA
ADO1|SEQ00254	27186748	VBIBifAdo136061_0254	SEQ00254	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Nicotinamidase (EC 3.5.1.19)	FIG00067300	figfam	NA
ADO1|SEQ00256	27186752	VBIBifAdo136061_0256	SEQ00256	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00259	27186760	VBIBifAdo136061_0259	SEQ00259	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00260	27186762	VBIBifAdo136061_0260	SEQ00260	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		polyhydroxybutyrate depolymerase	FIG01819788	figfam	NA
ADO1|SEQ00264	27186770	VBIBifAdo136061_0264	SEQ00264	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Mobile element protein	FIG01306568	figfam	NA
ADO1|SEQ00268	27186778	VBIBifAdo136061_0268	SEQ00268	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00280	27186810	VBIBifAdo136061_0280	SEQ00280	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00290	27186830	VBIBifAdo136061_0290	SEQ00290	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00295	27186840	VBIBifAdo136061_0295	SEQ00295	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00315	27186886	VBIBifAdo136061_0315	SEQ00315	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00317	27186890	VBIBifAdo136061_0317	SEQ00317	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Sugar transporter	FIG00847390	figfam	NA
ADO1|SEQ00318	27186892	VBIBifAdo136061_0318	SEQ00318	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Alpha-galactosidase (EC 3.2.1.22)	FIG00002020	figfam	NA
ADO1|SEQ00324	27186904	VBIBifAdo136061_0324	SEQ00324	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00338	27186932	VBIBifAdo136061_0338	SEQ00338	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00343	27186942	VBIBifAdo136061_0343	SEQ00343	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00358	27186976	VBIBifAdo136061_0358	SEQ00358	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		FIG00423915: hypothetical protein	FIG01330868	figfam	NA
ADO1|SEQ00367	27186994	VBIBifAdo136061_0367	SEQ00367	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00370	27187001	VBIBifAdo136061_0370	SEQ00370	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Lactam utilization protein LamB	FIG00003076	figfam	NA
ADO1|SEQ00371	27187003	VBIBifAdo136061_0371	SEQ00371	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00388	27187037	VBIBifAdo136061_0388	SEQ00388	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00393	27187047	VBIBifAdo136061_0393	SEQ00393	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00421	27187105	VBIBifAdo136061_0421	SEQ00421	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00427	27187117	VBIBifAdo136061_0427	SEQ00427	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00428	27187119	VBIBifAdo136061_0428	SEQ00428	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Sortase A, LPXTG specific	FIG00007328	figfam	NA
ADO1|SEQ00449	27187161	VBIBifAdo136061_0449	SEQ00449	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ADO1|SEQ00456	27187175	VBIBifAdo136061_0456	SEQ00456	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		ABC transporter, sugar binding protein	FIG00628699	figfam	NA
ADO1|SEQ00458	27187179	VBIBifAdo136061_0458	SEQ00458	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		N-Acetyl-D-glucosamine ABC transport system, permease protein 2	FIG00501923	figfam	NA
ADO1|SEQ00459	27187181	VBIBifAdo136061_0459	SEQ00459	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
