id_short	id_full	genbank	genome_status	chromosomes	plasmids	contigs	genome_size	gc_content	patric_cds	isolation_source	isolation_source2
ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497.1	Complete	1	0	0	1.94	60.5	1604	Unknown	NA
ANI2	Bifidobacterium animalis subsp. lactis Bi-07	CP003498.1	Complete	1	0	0	1.94	60.5	1601	Unknown	NA
ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	Complete	1	0	0	1.94	NA	1613	GI tract	Infant feces
BIF1	Bifidobacterium bifidum BGN4	CP001361.1	Complete	1	0	0	2.22	62.6	1828	GI tract	Feces
BRE1	Bifidobacterium breve 12L	CP006711.1	Complete	1	0	0	2.24	58.9	1907	Mammary gland	Human milk
LON1	Bifidobacterium longum NCC2705	"AE014295,AF540971"	Complete	1	1	0	2.26	60.1	1868	GI tract	Infant feces
LON2	Bifidobacterium longum subsp. longum BBMN68	CP002286	Complete	1	0	0	2.27	NA	1882	GI tract	Long-lived adult male
BRE4	Bifidobacterium breve JCM 7017	CP006712.1	Complete	1	0	0	2.29	58.7	1944	GI tract	Infant feces
THE1	Bifidobacterium thermophilum RBL67	CP004346.1	Complete	1	0	0	2.29	60.1	1839	GI tract	Infant feces
BRE8	Bifidobacterium breve S27	CP006716.1	Complete	1	0	0	2.29	58.7	1948	GI tract	Infant feces
BRE7	Bifidobacterium breve NCFB 2258	CP006714.1	Complete	1	0	0	2.32	58.7	1978	GI tract	Infant feces
BRE3	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	Complete	1	0	0	2.33	NA	1972	Urogenital tract	NA
BRE2	Bifidobacterium breve 689b	CP006715.1	Complete	1	0	0	2.33	58.7	1991	GI tract	Infant feces
BRE6	Bifidobacterium breve JCP7499	AWSX00000000	WGS	0	0	91	2.36	58.6	2073	Urogenital tract	Vagina
BRE5	Bifidobacterium breve JCM 7019	CP006713.1	Complete	1	0	0	2.36	58.6	2073	GI tract	Adult feces
ADO1	Bifidobacterium adolescentis L2-32	AAXD00000000	WGS	0	0	35	2.38	59.3	2031	GI tract	Infant feces
LON3	Bifidobacterium longum subsp. longum F8	FP929034	Complete	1	0	0	2.38	NA	1997	GI tract	NA
LON4	Bifidobacterium longum subsp. longum JCM 1217	AP010888	Complete	1	0	0	2.39	NA	1998	GI tract	NA
INF1	Bifidobacterium longum subsp. infantis 157F	"AP010890,AP010891,AP010892"	Complete	1	2	0	2.41	NA	2058	GI tract	NA
BRE9	Bifidobacterium breve UCC2003	CP000303	Complete	1	0	0	2.42	58	2071	GI tract	Nursing infant feces
DEN2	Bifidobacterium dentium JCVIHMP022	AEHJ00000000	WGS	0	0	27	2.62	NA	2302	Urogenital tract	NA
DEN1	Bifidobacterium dentium ATCC 27679	AEEQ00000000	WGS	0	0	6	2.64	NA	2233	Urogenital tract	NA
