cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
THE1|SEQ00057	124733275	VBIBifThe274299_0057	SEQ00057	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	FIG00018865	figfam	NA
THE1|SEQ00063	124733287	VBIBifThe274299_0063	SEQ00063	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00093	124733349	VBIBifThe274299_0093	SEQ00093	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	FIG00621114	figfam	NA
THE1|SEQ00122	124733407	VBIBifThe274299_0122	SEQ00122	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00149	124733461	VBIBifThe274299_0149	SEQ00149	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		Oxidoreductase (EC 1.1.1.-)	FIG00905558	figfam	NA
THE1|SEQ00155	124733473	VBIBifThe274299_0155	SEQ00155	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00162	124733487	VBIBifThe274299_0162	SEQ00162	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		Cys-tRNA(Pro) deacylase YbaK	FIG00003050	figfam	NA
THE1|SEQ00170	124733503	VBIBifThe274299_0170	SEQ00170	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00185	124733533	VBIBifThe274299_0185	SEQ00185	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00197	124733559	VBIBifThe274299_0197	SEQ00197	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		Ammonium transporter	FIG00004764	figfam	NA
THE1|SEQ00235	124733635	VBIBifThe274299_0235	SEQ00235	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00236	124733637	VBIBifThe274299_0236	SEQ00236	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00238	124733641	VBIBifThe274299_0238	SEQ00238	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00259	124733684	VBIBifThe274299_0259	SEQ00259	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
THE1|SEQ00265	124733700	VBIBifThe274299_0265	SEQ00265	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
