cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
THE1|SEQ00093	124733349	VBIBifThe274299_0093	SEQ00093	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase activity	go	NA
THE1|SEQ00299	124733768	VBIBifThe274299_0299	SEQ00299	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0005840	ribosome	go	NA
THE1|SEQ00299	124733768	VBIBifThe274299_0299	SEQ00299	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0003735	structural constituent of ribosome	go	NA
THE1|SEQ00299	124733768	VBIBifThe274299_0299	SEQ00299	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0006412	translation	go	NA
THE1|SEQ00299	124733768	VBIBifThe274299_0299	SEQ00299	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0005622	intracellular	go	NA
THE1|SEQ00366	124733907	VBIBifThe274299_0366	SEQ00366	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Serine acetyltransferase (EC 2.3.1.30)	GO:0009001	serine O-acetyltransferase activity	go	NA
THE1|SEQ00512	124734200	VBIBifThe274299_0512	SEQ00512	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	S-adenosylmethionine synthetase (EC 2.5.1.6)	GO:0004478	methionine adenosyltransferase activity	go	NA
THE1|SEQ00525	124734226	VBIBifThe274299_0525	SEQ00525	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	D-lactate dehydrogenase (EC 1.1.1.28)	GO:0008720	D-lactate dehydrogenase activity	go	NA
THE1|SEQ00645	124734468	VBIBifThe274299_0645	SEQ00645	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	NA
THE1|SEQ00795	124734773	VBIBifThe274299_0795	SEQ00795	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	GO:0004735	pyrroline-5-carboxylate reductase activity	go	NA
THE1|SEQ00901	124734994	VBIBifThe274299_0901	SEQ00901	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Serine--pyruvate aminotransferase (EC 2.6.1.51) / L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	GO:0004760	serine-pyruvate transaminase activity	go	NA
THE1|SEQ00901	124734994	VBIBifThe274299_0901	SEQ00901	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Serine--pyruvate aminotransferase (EC 2.6.1.51) / L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	GO:0008453	alanine-glyoxylate transaminase activity	go	NA
THE1|SEQ01066	124735342	VBIBifThe274299_1066	SEQ01066	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0016021	integral to membrane	go	NA
THE1|SEQ01066	124735342	VBIBifThe274299_1066	SEQ01066	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	go	NA
THE1|SEQ01066	124735342	VBIBifThe274299_1066	SEQ01066	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0009306	protein secretion	go	NA
THE1|SEQ01169	124735558	VBIBifThe274299_1169	SEQ01169	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	GO:0042286	glutamate-1-semialdehyde 2,1-aminomutase activity	go	NA
THE1|SEQ01188	124735596	VBIBifThe274299_1188	SEQ01188	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	NA
