cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
GV35|SEQ00119	184006517	VBIGarVag272169_0119	SEQ00119	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000005	PATRIC	CDS	NA	Type III restriction-modification system methylation subunit (EC 2.1.1.72)	FIG00005727	figfam	NA
GV35|SEQ00120	184006519	VBIGarVag272169_0120	SEQ00120	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000005	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV35|SEQ00122	184006523	VBIGarVag272169_0122	SEQ00122	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000005	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV35|SEQ00213	184006709	VBIGarVag272169_0213	SEQ00213	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000005	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	FIG00001563	figfam	NA
GV35|SEQ00522	184007372	VBIGarVag272169_0522	SEQ00522	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000032	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV35|SEQ00800	184007998	VBIGarVag272169_0800	SEQ00800	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000074	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV35|SEQ00974	184008417	VBIGarVag272169_0974	SEQ00974	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000123	PATRIC	CDS	NA	SSU ribosomal protein S16p	FIG00000193	figfam	NA
GV35|SEQ00989	184008452	VBIGarVag272169_0989	SEQ00989	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000128	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV35|SEQ00998	184008476	VBIGarVag272169_0998	SEQ00998	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000134	PATRIC	CDS	NA	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	FIG00000113	figfam	NA
GV35|SEQ01069	184008637	VBIGarVag272169_1069	SEQ01069	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000153	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
GV35|SEQ01101	184008710	VBIGarVag272169_1101	SEQ01101	Gardnerella vaginalis JCP8522	GV35	Gardnerella vaginalis JCP8522	ATJE01000162	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	NA
